Function,Times,combination164,combination162
F1,Times1,4.782639600766631e-05,2494.278003602679
F1,Times2,3504.091786611288,4164.463290236526
F1,Times3,4.695597274595308e-05,10811.44913022315
F1,Times4,3095.900174478616,7520.467814063782
F1,Times5,4116.340024862942,6201.454285516022
F1,Times6,2795.866081667913,4059.234505379927
F1,Times7,1021.08086343758,7310.241866269585
F1,Times8,1211.4534682359,9149.228273238852
F1,Times9,2712.966694427083,11101.59113367894
F1,Times10,1031.641909294415,10002.04268535751
F2,Times1,413.0737677281289,529.4424955219429
F2,Times2,325.9874542023828,450.8382739467286
F2,Times3,275.512412687416,407.9968279626461
F2,Times4,287.1590137302417,311.6787032561335
F2,Times5,402.4076006640433,228.5376387947016
F2,Times6,321.8183583220203,579.1444261301866
F2,Times7,291.0401288944705,228.8762342800676
F2,Times8,396.0344968754716,445.1351576303065
F2,Times9,340.8157723392219,364.5633758014711
F2,Times10,247.9657546476718,213.6939238608138
F3,Times1,95597.00619825616,330294.9151135787
F3,Times2,173102.4076506373,449537.7384916355
F3,Times3,8996.026337020268,380988.1257455692
F3,Times4,96271.48532385647,389331.582244841
F3,Times5,30532.44479887778,438295.3971540035
F3,Times6,35851.00482831066,159766.5042835078
F3,Times7,4593.553821225511,400809.4894019451
F3,Times8,62143.11416460661,200205.1731778329
F3,Times9,23337.48911606783,400087.8108150158
F3,Times10,109311.034967142,343447.3409500917
F4,Times1,66.92558987910124,61.40434644450535
F4,Times2,58.12569375099172,53.20657123633503
F4,Times3,52.62733368422972,51.36998718302643
F4,Times4,53.03363029303858,64.83774814716377
F4,Times5,56.10180086564546,57.5938422579425
F4,Times6,56.24902675251374,58.82890897326796
F4,Times7,57.17676282351782,66.16546375189802
F4,Times8,55.43859272836553,65.51153040833513
F4,Times9,50.26105430948937,64.01608493933611
F4,Times10,57.43461665670399,45.04870534390574
F5,Times1,11.88063588953044,211.761532898985
F5,Times2,6.243244020291371,37.76861720231151
F5,Times3,1.424472624325901,30.71242573224385
F5,Times4,9.807866931360648,33.36148568486612
F5,Times5,0.04543141271719189,127.1710645367432
F5,Times6,11.63378514135462,32.25197758118095
F5,Times7,5.673468769723327,22.25728263232359
F5,Times8,0.3110316895148719,31.71332142233224
F5,Times9,122.2881603024816,86.50329918857562
F5,Times10,4.930936546206881,33.65333509979475
F6,Times1,2184.30319225785,6617.817238286565
F6,Times2,804.4593935154822,12192.77976620567
F6,Times3,1190.15019637508,7272.850302534405
F6,Times4,108.9678433916204,5138.610971457512
F6,Times5,801.1877312914401,5706.493694003522
F6,Times6,198.4559856386651,8048.845831484442
F6,Times7,1967.047379718801,9546.715194805303
F6,Times8,1163.071628288492,6618.980415813179
F6,Times9,4.998870261052856e-05,6978.435616471013
F6,Times10,1057.9022193543,9153.02642908497
F7,Times1,65.00066443270013,49.97653863694734
F7,Times2,89.51629861903415,30.72374039923533
F7,Times3,85.01352076165082,46.5773122131371
F7,Times4,55.58538258289362,70.05992553817981
F7,Times5,59.78226266770879,58.61549566811905
F7,Times6,61.50816727193618,37.98201194567592
F7,Times7,36.72458149499466,67.32548283452186
F7,Times8,61.08654995276409,74.03876732773416
F7,Times9,73.01138169818718,58.0753521378495
F7,Times10,51.33872519889037,66.11625847521093
F8,Times1,-13681.48435675586,-14027.4262978788
F8,Times2,-15329.55568034381,-13245.36743704364
F8,Times3,-14669.18997529671,-15072.56340985262
F8,Times4,-14600.53915561075,-14408.86093352236
F8,Times5,-14251.10417311339,-15024.56821944803
F8,Times6,-15953.66700164716,-12571.66907955545
F8,Times7,-13665.33391385256,-14569.59495510935
F8,Times8,-14101.80280530455,-13469.33483391875
F8,Times9,-14591.3584307706,-15076.61384157121
F8,Times10,-15132.88262364277,-13973.99107640573
F9,Times1,167.1525905706056,160.1879386390602
F9,Times2,196.0062424377072,172.1274069822661
F9,Times3,145.2636892590415,187.0516765530168
F9,Times4,121.3846565018406,160.1879741803225
F9,Times5,150.2384189149157,139.2939197598385
F9,Times6,172.1274574862813,186.0568084053717
F9,Times7,121.3847426904954,213.9153890505084
F9,Times8,186.0567730435803,189.0415490513803
F9,Times9,195.011318731562,139.2939955031759
F9,Times10,156.208148024205,145.2636540834484
F10,Times1,16.2178037755396,15.46179719445533
F10,Times2,16.66533490429248,16.12515598831948
F10,Times3,16.14959240615438,16.32785468623298
F10,Times4,16.60797025837288,16.0793820471666
F10,Times5,15.60599452093332,16.89042747291111
F10,Times6,16.27790971113445,16.47147755970706
F10,Times7,17.01482205704096,16.63079682640448
F10,Times8,16.17932942319839,16.12610061519492
F10,Times9,16.59646615190924,16.38774755433631
F10,Times10,15.51513339866354,16.89909866619938
F11,Times1,315.978029282883,196.4441863452155
F11,Times2,175.3640494448358,285.516146256418
F11,Times3,270.2009580883894,256.896939582323
F11,Times4,274.3767864036607,280.2651227509469
F11,Times5,166.6737465115038,251.8575072517024
F11,Times6,257.4783110282724,164.6775483808066
F11,Times7,292.5848174345437,276.221749010706
F11,Times8,228.1199960500089,287.7646950947466
F11,Times9,221.8521290101655,256.9432282168817
F11,Times10,208.68918431047,194.5235941105081
F12,Times1,197.6466728111104,204.5301358476339
F12,Times2,198.7432323333074,189.42689916596
F12,Times3,179.9053830136512,135.287194703841
F12,Times4,155.1068789185258,204.5040357819356
F12,Times5,200.7462528080198,167.3214070993064
F12,Times6,170.0245180013729,187.0302324727614
F12,Times7,224.7694719853336,159.532274614606
F12,Times8,184.2149399460053,177.6734049329243
F12,Times9,163.1653123336803,167.0066606918639
F12,Times10,149.990218133056,192.9270702476532
F13,Times1,141.9241571307212,184.2827037947198
F13,Times2,192.2586426948934,183.5559356222197
F13,Times3,203.9357044218243,182.1799925274627
F13,Times4,182.2540519091523,132.2080532435332
F13,Times5,196.8782210733313,212.8113119078216
F13,Times6,165.5022684886283,210.5916036212613
F13,Times7,163.3033475630783,182.9329879088941
F13,Times8,177.8960283842539,155.632772172013
F13,Times9,184.1898486208632,189.0586101805291
F13,Times10,191.3417286888211,127.3484159201601
F14,Times1,0.9998577532505802,5.928845125400146
F14,Times2,1.992030900220716,0.9999925849845297
F14,Times3,10.76318066677933,2.982105156816675
F14,Times4,0.9999018327350463,1.992030900220716
F14,Times5,1.000034884363737,1.992030900220716
F14,Times6,6.903335694220136,1.992030900220716
F14,Times7,0.9997434116617638,5.928845125400147
F14,Times8,0.999646480893023,15.50381680261233
F14,Times9,0.9980038416676253,0.9999342395773224
F14,Times10,5.928845125400146,0.9999326873844542
F15,Times1,0.0003497250925869166,0.02036333934811096
F15,Times2,0.0003496676050060306,0.0003493400230074715
F15,Times3,0.0003490595497597951,0.000348761369932127
F15,Times4,0.0003493558713311307,0.0003495877912337535
F15,Times5,0.0004242942080929812,0.000349530507010725
F15,Times6,0.0003497733142665779,0.0003497067086462622
F15,Times7,0.0003459267755876273,0.0003492120740077229
F15,Times8,0.001594050494197691,0.0003495155699867658
F15,Times9,0.02036333934812618,0.0004242985274996475
F15,Times10,0.0003499202676990939,0.001223173377622038
F16,Times1,-1.031601128779318,-1.031622388211389
F16,Times2,-1.031583476798838,-1.031596595082794
F16,Times3,-1.03161832213823,-1.03158015543035
F16,Times4,-1.031562544660383,-1.031560823203815
F16,Times5,-1.031589594062197,-1.031600610191339
F16,Times6,-1.031624444982886,-1.031586162268874
F16,Times7,-1.03159137150947,-1.031626926584124
F16,Times8,-1.031570043935495,-1.03162743714377
F16,Times9,-1.031571198870774,-1.031573665543748
F16,Times10,-1.031550184492854,-1.031551693546912
F17,Times1,0.3980042854936894,0.3979350595582325
F17,Times2,0.3980266402984469,0.3979826989105888
F17,Times3,0.3979645976814883,0.3980451706672401
F17,Times4,0.3980273849546805,0.3979724438431589
F17,Times5,0.398024312683404,0.3979759164424994
F17,Times6,0.3980144813765651,0.3980233590524911
F17,Times7,0.3979598729698637,0.3979730711051257
F17,Times8,0.3980142429258713,0.3979128993157595
F17,Times9,0.3979250240651186,0.3980327227911644
F17,Times10,0.3979334183990044,0.3979142741516277
F18,Times1,3.000025519067923,3.000030741989672
F18,Times2,3.000006319957554,3.000000095162775
F18,Times3,3.000032901557126,3.000037194405814
F18,Times4,3.000005070556184,3.000020279940861
F18,Times5,3.000016986085035,3.00003654891858
F18,Times6,3.000018950486006,3.000048371196698
F18,Times7,3.000001913189132,3.000046303784403
F18,Times8,3.000042139447365,3.000046888914378
F18,Times9,3.000010875486767,3.000007704957522
F18,Times10,3.000034511498511,3.000020256952274
F19,Times1,-0.3004789071949463,-0.3004789071949463
F19,Times2,-0.3004789071949463,-0.3004789071949463
F19,Times3,-0.3004789071949463,-0.3004789071949463
F19,Times4,-0.3004789071949463,-0.3004789071949463
F19,Times5,-0.3004789071949463,-0.3004789071949463
F19,Times6,-0.3004789071949463,-0.3004789071949463
F19,Times7,-0.3004789071949463,-0.3004789071949463
F19,Times8,-0.3004789071949463,-0.3004789071949463
F19,Times9,-0.3004789071949463,-0.3004789071949463
