Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,4.876615272254473e-05,4.822920200157504e-05,4.938023440006766e-05,4.982739293308394e-05,4.881621318351652e-05,3.67731628128441e-05,4.688078518628859e-05,4.825541822204413e-05,4.989517803452555e-05,4.975798827502273e-05,4.828487633942203e-05,4.919841493094529e-05,4.982446868087687e-05,4.540420111707743e-05,4.405091171887905e-05,3.221049038417631e-05,4.995305468304328e-05,4.063838583739848e-05,4.589808434967897e-05,3.24473981127192e-06
F1,Times2,4.964339499418439e-05,4.991402983308782e-05,4.995218765658246e-05,4.579471369413488e-05,4.943870028064509e-05,4.603625203930242e-05,4.802075755695595e-05,6.665282284068339e-06,9.731642245987609e-06,4.933440904263105e-05,4.719817712947227e-05,4.966845577767673e-05,4.955337134335792e-05,4.913830327973912e-05,4.961500735249689e-05,4.760127327251636e-05,4.566482412939508e-05,4.634675258750091e-05,2.973754186039158e-06,8.30262188984909e-06
F1,Times3,4.944318446893177e-05,4.694272506229137e-05,4.775359013682525e-05,4.197855827462585e-05,4.946968345900828e-05,4.757121075170053e-05,4.664611748654259e-05,4.959305124510294e-05,4.386747493206395e-05,4.307598272291183e-05,4.927265446463454e-05,4.83575615057402e-05,4.954451760215887e-05,4.992618256602889e-05,4.707716378479886e-05,3.382257858846832e-05,4.617641249812821e-05,4.63805186263861e-05,4.323554586875038e-05,2.207363548145138e-06
F1,Times4,4.713681970160862e-05,4.682084897521357e-05,4.564618081490504e-05,4.993679969978258e-05,4.989666232554696e-05,4.504182636153058e-05,4.598922268955125e-05,4.787008374260365e-05,4.050854184897896e-05,4.871543254048187e-05,4.806681611926875e-05,4.970810743141295e-05,4.865157243559494e-05,4.866209392655701e-05,4.832405717773352e-05,4.491792850788649e-05,4.006106158535264e-05,3.931615451504005e-05,3.326975914823029e-05,4.511187967361519e-07
F1,Times5,4.980634662690096e-05,4.976696931004711e-05,4.972630082135993e-05,4.865914747778921e-05,4.959678228997128e-05,4.926010027483314e-05,4.944162917706076e-05,4.999670411899201e-05,3.643238556513249e-05,4.947209712512155e-05,4.995235403295396e-05,4.994962756416083e-05,4.57282975977837e-05,4.941660143760207e-05,4.744669304764481e-05,4.945955103750245e-05,4.838068007351463e-05,4.939488218119141e-05,4.875178684280286e-05,2.870592782533844e-05
F1,Times6,4.636187096670961e-05,4.797838315662097e-05,4.797415935550988e-05,4.513987552003599e-05,3.589385455315858e-05,4.968479583691843e-05,4.821244152904334e-05,1.8158643528395e-05,4.916984995427469e-05,4.970576056095852e-05,4.87553377994544e-05,4.987891271682772e-05,4.979002814664366e-05,4.744937931768611e-05,4.816144832252664e-05,4.859701133317211e-05,4.169462416623843e-05,4.785110351734603e-05,5.191941747020847e-07,2.239740664402736e-05
F1,Times7,4.888839773319678e-05,4.992741823672482e-05,4.908553228061694e-05,4.577512162558829e-05,4.442633535676825e-05,4.289855284438061e-05,4.668506163899553e-05,4.793034232457962e-05,4.983391803344302e-05,4.97342354928292e-05,4.971820039585467e-05,4.265934927919179e-05,4.854774004720613e-05,4.673975866721903e-05,4.830590246004432e-05,4.732797125414505e-05,4.7982941240907e-05,4.779300532308246e-05,2.310174400695135e-05,8.702368666081738e-06
F1,Times8,4.669244626466313e-05,4.922452130656576e-05,4.991788633987893e-05,4.820547673332827e-05,3.92616858640912e-05,4.819207885485939e-05,4.208091848003087e-05,4.676839202722149e-05,4.919480369678e-05,4.908421105179095e-05,4.911234561722352e-05,4.648362941722364e-05,4.931234448521162e-05,4.756446082583516e-05,4.853742859135328e-05,4.940798344087307e-05,4.109925064249521e-05,4.99567991090642e-05,2.054505743423945e-05,3.255491486960858e-06
F1,Times9,4.987671002832018e-05,4.855888312030766e-05,4.697880195369353e-05,4.582732329053699e-05,4.966560984129849e-05,4.902104392077833e-05,4.797026994375915e-05,4.415538045026223e-05,4.837866695693383e-05,4.992822878951267e-05,4.914057728611653e-05,4.900104607041802e-05,4.766037111175301e-05,4.968070365330844e-05,4.991322583934436e-05,4.870880105905176e-05,4.75966430358274e-05,4.97005058814842e-05,1.767459127071206e-05,1.233994356597868e-05
F1,Times10,4.971130229082275e-05,4.998679640749158e-05,4.938998996267685e-05,4.938116533661786e-05,4.956924422158249e-05,4.041050491846054e-05,4.831359766980659e-05,3.780465000456251e-05,2.471021743615763e-05,4.979855292165696e-05,3.946125365782405e-05,4.38737340733203e-05,4.74823118443904e-05,4.602501496640718e-05,4.530486909309064e-05,4.563733542240109e-05,4.75713510943764e-05,4.446243413302971e-05,1.856673505513014e-06,8.915066477503629e-06
F2,Times1,0.001949785414819517,12.51343493658564,0.001192319653155319,0.005625910573198056,0.004998216882649315,0.004574778735911333,0.003505467813740559,0.0003022172263232549,0.00054392814677228,79.35141405995421,34.83670544906306,0.0007087972848588029,18.47215279229629,73.96736497808524,0.002784112781247597,0.006789442216480313,0.002907230331990307,0.005107622058754313,0.0002039064074439026,36.73833393781162
