Function,Times,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,4.778820604495344e-05,4.997428471450085e-05,4.95439062839313e-05,4.955059241925105e-05,4.933808931215592e-05,4.723429524509131e-05,4.253044544358809e-05,4.060824813789043e-05,717.654392247581,1158.039728578911
F1,Times2,1.680438846940471e-05,4.778811007456503e-05,0.2908131703579054,4.921975736018202e-05,4.545463661458492e-05,4.617867795702935e-05,4.347688461924234e-05,3.586170582064548e-05,24.42605723831316,9.43175811867478e-06
F1,Times3,4.153982176790371e-05,4.994541149151333e-05,4.366714481219084e-05,4.802578935204036e-05,4.394569346192136e-05,4.44767244952705e-05,4.849779226105117e-05,4.626510206368677e-05,18.83637921573999,93.71705081959604
F1,Times4,3.617038958975008e-05,4.539208582819943e-05,4.868266956295972e-05,4.855535811662407e-05,4.981260171069777e-05,4.776297273684455e-05,4.987968924883504e-05,4.90659260230911e-05,631.6183903268934,2.03478592332858e-05
F1,Times5,4.939322437116237e-05,4.874958426989041e-05,4.55021672826632e-05,4.604273633765984e-05,4.534073194802984e-05,4.83655250702607e-05,4.628784719367567e-05,4.362361565695299e-05,7.008010608024017,252.8048426130462
F1,Times6,4.099421653035451e-05,4.960867027153511e-05,4.840881105438195e-05,4.975606843065564e-05,4.816901602190804e-05,4.183185509450494e-05,4.440049142435603e-05,4.80484027313397e-05,1.157745149614281,270.4644093420336
F1,Times7,5.419882192215403e-06,3.991602489161906e-05,4.997336425438536e-05,4.938527832183269e-05,4.63605819217514e-05,4.997019109263715e-05,4.738495265581297e-05,4.930317881380177e-05,11.26164807371064,3.535419676759379e-05
F1,Times8,3.228171899461847e-05,4.983635677442261e-05,4.716785802285169e-05,4.940516295777116e-05,4.944345749965466e-05,4.727896287124845e-05,4.744223658320221e-05,3.941407427191516e-05,313.6134539576104,35.88685438235681
F1,Times9,3.192725238668953e-05,4.911920792663388e-05,2.232538033080376e-05,4.90388472336082e-05,4.820096388840451e-05,4.889382858473044e-05,4.844619017895282e-05,4.252653259887649e-05,9.3214660926579,513.7459911153688
F1,Times10,4.932659073350474e-05,4.661622152827753e-05,4.856517081606934e-05,4.946556010265385e-05,4.829003371147638e-05,4.722300505321797e-05,4.897013406753198e-05,4.009116504856314e-05,2.275949037846374e-07,830.2678076061499
F2,Times1,155.4904041496916,23.92638169140294,123.5455498396803,98.16394382108727,37.20112510494565,0.01191898014627529,0.007746814610136959,0.01056310359212145,112.0323623038682,181.5332598692559
F2,Times2,151.6559757629071,17.19254348236937,118.9896833801285,145.1219956948548,207.3486638334784,0.01175599220065421,0.00713211337246783,0.01230537726203457,147.6392478491256,81.47577526851832
F2,Times3,137.1917705586776,6.571252443825601,172.3076191827951,226.5037278424388,135.726101606559,0.01040177531163144,0.007376819564728992,0.01539520324026289,239.2584279364129,151.4725066211027
F2,Times4,46.0180615762787,170.8176066273302,127.3602738871772,75.71371555660404,9.692678343733204,0.01280119311178982,0.00765832821901849,0.01294463756805511,124.3693378092812,47.2280887071067
F2,Times5,145.5980382916096,79.23607412524579,192.6852312573197,73.05141476127248,134.6372997968821,0.009226443128678402,0.00927471647857836,0.01260487099677379,136.419917701682,133.2478362869817
F2,Times6,56.08693923742076,0.7765762576766563,120.3378199540604,91.27929754218847,191.3821580902741,0.01119875934880599,0.005823880842733775,0.01311025034759999,263.577975323372,166.4092826539393
F2,Times7,180.4700447622193,46.13369081288833,131.1379753386236,61.3640422459063,116.2097752590331,0.01081256581034098,0.006308289922214882,0.01560077871320784,72.7544931165638,65.10375063439844
F2,Times8,88.85907053144797,43.53255957184919,113.7780502574976,147.0908838107189,0.8620636629651867,0.01309906320178802,0.006261340101721247,0.01082287258254166,95.19296663209144,131.4996154328049
F2,Times9,34.54125388866574,205.9965152635278,94.99394159933887,71.10367586202477,137.5339377979692,0.01047292861712995,0.006833772365596458,0.01155659905657264,188.3579474065889,120.2375257728441
F2,Times10,38.61831012424388,26.91801289744094,87.53982806163715,109.356383726335,130.0344707353265,0.01606138397146809,0.008770012053711751,0.010759231965314,0.0008373477384953512,54.45133382185707
F3,Times1,3.886770493676263e-05,4.636608985738632e-05,4.976717966755492e-05,3.454735869555834e-05,4.500451074525514e-05,0.0002476094523916832,9.928173690688732e-05,0.0002276902421793304,13230.54839590001,7.369569189938776e-06
F3,Times2,4.596616802027837e-05,4.780020233127304e-05,4.99604292221394e-05,4.443120053444169e-05,4.95958770526083e-05,0.0001986252083922539,0.0001309905145523962,0.0001921359696443353,38760.14953985559,799.8150363632175
F3,Times3,4.978980369467044e-05,4.421500067593098e-05,4.307649626386936e-05,3.380346792649651e-05,4.933173034620524e-05,0.0002059727103612453,7.524058148159274e-05,0.0001489515766696371,1.155851865664106e-06,5764.262929825401
F3,Times4,4.329720114157931e-05,4.509758479346083e-05,4.960677112578962e-05,4.953137838311095e-05,4.904424325335987e-05,0.0002866651903809799,9.895008339179029e-05,0.0001829272259396501,101.9382525149148,3136.044418087637
F3,Times5,4.862760949550931e-05,4.629872010224415e-05,4.318141896540128e-05,4.603218965014183e-05,4.975281597031482e-05,0.0003615505451081137,6.657567884357438e-05,0.0001521622161191082,2555.103947630063,6121.876375828312
F3,Times6,4.915365784428232e-05,4.664811190830333e-05,4.727852221565985e-05,4.832799839778117e-05,4.633382758679847e-05,0.0003591161813253845,8.284093814835486e-05,0.0003392440650267141,67358.02463697038,1.371507077184694e-05
F3,Times7,4.689251519456355e-05,4.948461374610746e-05,4.750732718490512e-05,4.926862655704197e-05,4.902899667020278e-05,0.0002138507808535991,7.135811317730847e-05,0.0002002309451819949,8.347473025893327e-06,977.0326706368315
F3,Times8,4.982959261041874e-05,4.896239298253896e-05,4.910457722707621e-05,4.980471343775579e-05,4.90637979118171e-05,0.0001962969346823426,8.041438241741897e-05,0.0002094139392389738,16776.96137786491,2920.256215278119
F3,Times9,4.928388827994214e-05,4.672391304485272e-05,4.987235350596869e-05,4.897169601241953e-05,3.925045968008519e-05,9.331157146634958e-05,8.349797424511072e-05,0.0001854300121109222,2.136876935050515e-05,2.148668876304371e-05
F3,Times10,4.832131932760962e-05,4.865196921297786e-05,4.809507570044657e-05,4.985140151374809e-05,4.831181693446333e-05,0.0002491007383133465,0.000121485402291999,0.0002556003186671549,54462.67786646681,414.273072450681
F4,Times1,53.7701882288655,52.91125197440003,44.52101404652115,49.10192232212481,57.80010708619297,39.80610371238673,16.90018105425913,36.6354079524132,59.95699978886973,56.32238226956079
F4,Times2,56.29674565008261,47.04811636359278,52.6917602415707,55.55417082100401,51.39427389679208,42.73179311217513,24.75293810243078,38.09727677133788,57.01244915614976,58.04749392396177
F4,Times3,54.60412372647884,55.12984982873083,49.78474171866989,49.70461682750091,52.55186083205599,35.37797645519813,33.51549596904091,41.49018171046441,60.76292886130866,56.61829604191144
F4,Times4,52.75339366314324,51.82494468084634,55.46438488489964,48.52793470313585,48.85551636430171,44.50326899778276,21.68953935626323,38.02636259118151,59.76935000051814,64.14674556969858
F4,Times5,52.36283197499219,48.83680173231925,62.08079340245951,51.68291152522136,43.62220692688123,44.43644011782776,12.85912982754638,29.78466405084072,61.87748338117961,49.27216303093284
F4,Times6,54.72260705044924,44.14916461399699,58.89926044153912,63.97699435869567,45.09897622392969,28.41684038989312,25.54901575429456,24.71057182140617,58.26119261495752,59.44824487637818
F4,Times7,54.5246885242821,51.34538008400038,56.07667757166703,53.69330015677288,50.21144135516472,26.75510880077828,34.63876091319023,33.63089554352875,64.84142123179349,64.3496763750731
F4,Times8,58.46388651318345,62.28094468200508,60.43575281386553,57.16004118694965,48.51509411423697,49.26682867456356,25.6286832602217,28.27215809848234,58.05011066386215,46.50703485676696
F4,Times9,56.97316656041338,49.62139791759769,59.52173833774186,45.29681793974859,44.12756560395967,39.10123581623936,28.4957646532364,36.35077879605134,71.79426121646732,54.62883947105272
F4,Times10,60.0855097286936,51.28532486529708,56.1384056537331,58.08518705268845,51.02628818082599,39.30398221943751,29.05961569654643,32.31553079584995,60.44598282628346,56.92730724727763
F5,Times1,49.14178709027975,31.88323431137924,32.41003976168928,35.63744159316808,136.5953895782191,99.89646790207006,45.97723471268108,283.8442893578352,32.08430099543248,33.41651697270801
F5,Times2,137.3169166564306,33.19827915698666,31.74897472316503,35.08735970161877,39.26188266745906,46.23175971756009,101.8324495075892,514.08661195262,32.49645443220493,33.51324067631921
F5,Times3,31.56125875586861,33.15205319186538,32.08239017151202,46.36217910294566,42.81235310855424,114.4176135389842,46.02134851749121,84.3420331818409,36.23767863062447,32.72071504061595
F5,Times4,29.65157618370433,32.05175971809209,32.90702927508938,36.00869422802263,35.29991187632041,148.6134909827006,45.92189872257933,102.9114532608,39.79223974512843,33.23798765195544
F5,Times5,28.46869777066674,32.6294976210968,31.99874915682951,35.56983466258075,34.18834230217272,452.595394819309,204.700068103666,46.52304525643825,31.16532547877025,33.78455067995981
F5,Times6,30.33177981223687,33.2354985513902,31.37840088323605,35.80848008038849,45.00451938237043,101.4907395512786,45.81643709493546,40.37934565599637,32.26701145213683,33.81615305525848
F5,Times7,29.27834464541756,33.02059728304042,30.88186372471404,36.21269558049472,34.91016924734235,161.7293914141672,102.0662230640716,98.17726299689387,39.89003245468577,33.58935514671589
F5,Times8,28.45951221270426,34.52804448172998,31.47307360405026,35.75804335161723,34.65772290839089,151.0805307614203,94.49582548792898,95.70116752794182,31.83694540902787,33.21556024712577
F5,Times9,27.87178035098752,31.67850595875597,32.08030435698264,35.55487569397319,34.58089369408802,46.51720344686056,76.71394347360223,100.2779150681323,127.3734277478295,49.2007325771921
F5,Times10,28.97537691884872,32.81224475402659,31.11384853911936,41.50894636880248,33.9741039410121,140.4281455110455,43.99732192664413,153.3142262444568,137.1124265379311,33.61335393817814
