Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,100%,0%,0%,100%,100%,100%,0%,100%,100%,10%,90%,100%,0%,0%,100%,0%,10%,100%,100%,100%
F3,100%,100%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,10%,100%,20%,100%,100%,100%,100%
F4,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,100%,40%,0%,100%,100%,100%,50%,100%,100%,100%,100%,100%,50%,0%,100%,0%,80%,100%,100%,100%
F10,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F14,90%,100%,100%,30%,50%,60%,100%,50%,70%,100%,50%,90%,100%,100%,70%,100%,100%,80%,60%,50%
F15,30%,0%,0%,40%,80%,20%,0%,90%,70%,10%,20%,10%,10%,0%,40%,0%,0%,10%,40%,30%
F16,100%,70%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,70%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,10%,10%,10%,20%,20%,30%,30%,10%,20%,20%,10%,0%,30%,30%,30%,40%,20%,30%,20%,20%
F21,80%,50%,50%,50%,80%,90%,80%,80%,80%,60%,70%,50%,60%,40%,80%,20%,30%,80%,50%,70%
F22,60%,70%,10%,50%,70%,60%,70%,50%,80%,60%,70%,70%,60%,30%,70%,30%,30%,70%,70%,60%
F23,70%,90%,40%,100%,50%,70%,50%,70%,80%,60%,80%,60%,70%,30%,90%,40%,90%,60%,60%,90%
