Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,100%,60%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,40%,0%,100%,0%,100%,100%,100%,100%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F4,100%,100%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,60%,0%,100%,10%,100%,100%,100%,100%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,100%,100%,70%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,70%,100%,80%,100%,100%,100%,100%
F10,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F11,100%,100%,100%,70%,30%,80%,80%,90%,30%,20%,60%,60%,90%,100%,0%,100%,100%,20%,0%,0%
F12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F14,30%,100%,100%,20%,20%,60%,100%,40%,80%,100%,70%,60%,100%,100%,60%,100%,100%,60%,10%,40%
F15,0%,0%,0%,30%,50%,10%,0%,40%,10%,0%,0%,10%,0%,0%,30%,0%,0%,10%,20%,10%
F16,100%,70%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,60%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,10%,20%,20%,50%,40%,70%,70%,30%,20%,30%,50%,20%,40%,30%,40%,40%,60%,50%,40%,40%
F21,90%,70%,40%,90%,60%,90%,70%,80%,50%,60%,90%,80%,60%,10%,40%,40%,60%,60%,80%,70%
F22,60%,80%,30%,70%,30%,10%,40%,50%,40%,20%,50%,70%,50%,20%,60%,10%,20%,40%,20%,50%
F23,70%,60%,0%,70%,90%,90%,70%,70%,80%,60%,100%,50%,30%,30%,70%,20%,70%,50%,100%,50%
