Function,Times,combination570,combination562
F1,Times1,4.970861941433338e-05,0.0002259357494826611
F1,Times2,3.714316244573112e-05,0.0003464672406944727
F1,Times3,4.157262484238482e-05,0.0002992705243303555
F1,Times4,4.804856667957295e-05,0.0003215593649993776
F1,Times5,4.828333460339067e-05,0.0003162167138641709
F1,Times6,4.708569856652335e-05,0.0002294311864627531
F1,Times7,4.739817065092342e-05,0.000568293170903435
F1,Times8,4.958245242658291e-05,0.0003620900410145396
F1,Times9,3.458871804715543e-05,0.0002302712747256145
F1,Times10,4.998890639225935e-05,0.0002490073539999306
F2,Times1,0.01047592195800379,0.08392772081050914
F2,Times2,0.01137336493554286,0.1059791055688271
F2,Times3,0.01194329008325834,0.09076180459633765
F2,Times4,0.01137982324306996,0.06727980620884022
F2,Times5,0.009744128429739984,0.08697074009272487
F2,Times6,0.01216445813621503,0.08784348885297133
F2,Times7,0.01172431451729816,0.09673192351401871
F2,Times8,0.01503114154262186,0.1031436337536338
F2,Times9,0.01100325403287278,0.07803812603135496
F2,Times10,0.01337300246458462,0.0805996836861742
F3,Times1,0.0002535264791714397,0.01591834541942066
F3,Times2,0.0001594200196608682,0.01861682867584476
F3,Times3,0.0003524273599071033,0.01223790551160888
F3,Times4,0.0001276470828590835,0.01652359661685549
F3,Times5,0.0003056065864733023,0.01735223551743992
F3,Times6,0.0003605634633781123,0.0211694002086788
F3,Times7,0.0002809383921270403,0.01708999375409063
F3,Times8,0.0003561985050605184,0.03705504474063426
F3,Times9,0.0003318042767697647,0.01237869903121258
F3,Times10,0.0002165929078308314,0.02995915137862555
F4,Times1,0.01448486415222383,0.1047665889883191
F4,Times2,0.0174781507994477,0.10588953109733
F4,Times3,0.01907827701730846,0.0904213073297866
F4,Times4,0.01710558662387135,0.08817428287132056
F4,Times5,0.01700848072531325,0.0884797741017489
F4,Times6,0.01902405134816465,0.08592560687488016
F4,Times7,0.01720766645486016,0.106506253374322
F4,Times8,0.02324051255624499,0.07377219072549757
F4,Times9,0.01568279433231434,0.08457411277374227
F4,Times10,0.01773677354680375,0.1173774749468324
F5,Times1,46.28417727222288,80.60494767538914
F5,Times2,46.2397613863925,104.885898632305
F5,Times3,46.56793310983981,85.18229960807751
F5,Times4,45.87117958037768,75.97903032867116
F5,Times5,40.2164500811107,84.40908980370102
F5,Times6,100.0310105587111,80.8595091803336
F5,Times7,107.6110303473176,160.4892517427851
F5,Times8,97.13266130632731,46.60971822554218
F5,Times9,46.41759389168021,150.0320930686675
F5,Times10,46.43794326179108,145.6474878760883
F6,Times1,4.963040216102812e-05,0.0002769506310010951
F6,Times2,4.504129174458429e-05,0.0003602407455333493
F6,Times3,4.327522969072026e-05,0.0002929800324362594
F6,Times4,4.423975853436131e-05,0.000189083517907833
F6,Times5,4.795680826417044e-05,0.0002624623026866706
F6,Times6,4.989417765380037e-05,0.0004349433138253573
F6,Times7,4.038802412067326e-05,0.000333453676516375
F6,Times8,4.872181086398628e-05,0.000398284680121158
F6,Times9,4.865455647199493e-05,0.0004067828372496621
F6,Times10,4.993500390283279e-05,0.0003663707072943924
F7,Times1,18.29797027440701,26.16666064500464
F7,Times2,17.50434859553857,19.71681979953263
F7,Times3,19.42220417450418,20.71143704325269
F7,Times4,20.35112881368375,28.08126631814255
F7,Times5,14.60935113697701,19.05747182462289
F7,Times6,16.29733634988631,25.3656639515865
F7,Times7,15.65685372409495,28.94375197237726
F7,Times8,15.64334865369,30.87023685295226
F7,Times9,16.92231186191429,21.34202013858934
F7,Times10,15.52844951343822,24.03498261089344
F8,Times1,-15599.05622253216,-14727.93363562985
F8,Times2,-15240.85658704505,-13289.69148716208
F8,Times3,-15933.0581903058,-13822.58874620747
F8,Times4,-15382.15520962784,-14708.14879026226
F8,Times5,-14551.62878512005,-13523.51372559496
F8,Times6,-15554.57140910044,-12164.30249164018
F8,Times7,-16724.64827331823,-14095.95152840578
F8,Times8,-14648.75840413458,-14709.4891227496
