Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,100%,60%,0%,100%,100%,100%,100%,100%,100%,100%,100%,100%,30%,0%,100%,0%,100%,100%,100%,100%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F4,100%,20%,0%,100%,100%,100%,100%,100%,100%,90%,100%,100%,50%,0%,100%,0%,80%,100%,100%,100%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,100%,100%,10%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,0%,100%,20%,100%,100%,100%,100%
F10,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F11,40%,100%,100%,0%,0%,20%,20%,70%,10%,0%,10%,10%,60%,70%,0%,90%,40%,10%,0%,0%
F12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F14,30%,100%,100%,30%,10%,0%,100%,10%,50%,100%,10%,20%,100%,100%,20%,100%,100%,50%,30%,10%
F15,0%,0%,0%,30%,40%,0%,0%,20%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%
F16,90%,60%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,50%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,60%,50%,50%,40%,70%,70%,40%,50%,20%,60%,40%,30%,30%,40%,70%,30%,30%,40%,40%,40%
F21,60%,60%,10%,40%,70%,60%,40%,40%,70%,30%,80%,50%,60%,10%,30%,10%,30%,50%,40%,30%
F22,40%,40%,30%,40%,20%,70%,50%,80%,50%,10%,60%,20%,40%,20%,30%,20%,40%,40%,50%,20%
F23,90%,30%,10%,50%,40%,60%,0%,50%,50%,30%,80%,60%,60%,20%,40%,40%,40%,50%,60%,20%
