Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,100%,100%,70%,100%,100%,100%,100%,100%,90%,10%,100%,90%,100%,0%,100%,30%,100%,90%,20%,10%
F3,100%,100%,90%,100%,100%,100%,100%,100%,90%,30%,100%,100%,100%,0%,80%,0%,100%,90%,30%,20%
F4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,100%,90%,100%,100%,90%,100%,100%,90%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,90%,90%
F11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F12,70%,80%,70%,70%,70%,80%,30%,80%,50%,20%,80%,50%,90%,30%,70%,40%,30%,70%,40%,50%
F13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F14,30%,40%,40%,10%,0%,20%,70%,30%,20%,0%,20%,40%,10%,40%,40%,30%,50%,70%,0%,0%
F15,30%,70%,50%,50%,60%,70%,30%,70%,30%,10%,50%,30%,60%,0%,20%,0%,70%,40%,10%,0%
F16,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,90%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,80%,90%,100%,80%,90%,80%,90%,100%,100%,100%,100%,90%,100%,100%,100%,60%,100%,80%,80%,80%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,60%,70%,30%,60%,40%,40%,30%,60%,40%,60%,60%,40%,60%,10%,40%,80%,50%,50%,30%,50%
F21,20%,40%,30%,10%,30%,40%,10%,60%,50%,50%,20%,20%,40%,20%,30%,10%,30%,30%,10%,20%
F22,10%,30%,40%,10%,30%,20%,30%,40%,40%,40%,0%,30%,40%,30%,30%,40%,50%,20%,20%,30%
F23,30%,10%,10%,10%,40%,30%,40%,40%,30%,50%,30%,40%,40%,30%,10%,0%,30%,20%,30%,10%
