,,Combination1
F1,Times1,42876.0
F1,Times2,42390.0
F1,Times3,43656.0
F1,Times4,44166.0
F1,Times5,41440.0
F1,Times6,42434.0
F1,Times7,41008.0
F1,Times8,40732.0
F1,Times9,43152.0
F1,Times10,44932.0
F2,Times1,100652.0
F2,Times2,105240.0
F2,Times3,111364.0
F2,Times4,130962.0
F2,Times5,106736.0
F2,Times6,116344.0
F2,Times7,112946.0
F2,Times8,125060.0
F2,Times9,132550.0
F2,Times10,114756.0
F3,Times1,117012.0
F3,Times2,111088.0
F3,Times3,113728.0
F3,Times4,105554.0
F3,Times5,98642.0
F3,Times6,115412.0
F3,Times7,108562.0
F3,Times8,110630.0
F3,Times9,108092.0
F3,Times10,136280.0
F4,Times1,370874.0
F4,Times2,288592.0
F4,Times3,376268.0
F4,Times4,357794.0
F4,Times5,362984.0
F4,Times6,311284.0
F4,Times7,385960.0
F4,Times8,388336.0
F4,Times9,388514.0
F4,Times10,347186.0
F5,Times1,2000398.0
F5,Times2,2000398.0
F5,Times3,2000398.0
F5,Times4,2000398.0
F5,Times5,2000398.0
F5,Times6,2000398.0
F5,Times7,2000398.0
F5,Times8,2000398.0
F5,Times9,2000398.0
F5,Times10,2000398.0
F6,Times1,40420.0
F6,Times2,41672.0
F6,Times3,39166.0
F6,Times4,40632.0
F6,Times5,45440.0
F6,Times6,39486.0
F6,Times7,42826.0
F6,Times8,42922.0
F6,Times9,39484.0
F6,Times10,43228.0
F7,Times1,2000398.0
F7,Times2,2000398.0
F7,Times3,2000398.0
F7,Times4,2000398.0
F7,Times5,2000398.0
F7,Times6,2000398.0
F7,Times7,2000398.0
F7,Times8,2000398.0
F7,Times9,2000398.0
F7,Times10,2000398.0
F8,Times1,2000398.0
F8,Times2,2000398.0
F8,Times3,2000398.0
F8,Times4,2000398.0
F8,Times5,2000398.0
F8,Times6,2000398.0
F8,Times7,2000398.0
F8,Times8,2000398.0
F8,Times9,2000398.0
F8,Times10,2000398.0
F9,Times1,2000398.0
F9,Times2,2000398.0
F9,Times3,2000398.0
F9,Times4,2000398.0
F9,Times5,2000398.0
F9,Times6,2000398.0
F9,Times7,2000398.0
F9,Times8,2000398.0
F9,Times9,2000398.0
F9,Times10,2000398.0
F10,Times1,49440.0
F10,Times2,68374.0
F10,Times3,74296.0
F10,Times4,79914.0
F10,Times5,58846.0
F10,Times6,85722.0
F10,Times7,65790.0
F10,Times8,68634.0
F10,Times9,64122.0
F10,Times10,63200.0
F11,Times1,45936.0
F11,Times2,39998.0
F11,Times3,45058.0
F11,Times4,39298.0
F11,Times5,38302.0
F11,Times6,41440.0
F11,Times7,41256.0
F11,Times8,43150.0
F11,Times9,43728.0
F11,Times10,40568.0
F12,Times1,2000398.0
F12,Times2,68450.0
F12,Times3,2000398.0
F12,Times4,2000398.0
F12,Times5,112660.0
F12,Times6,2000398.0
F12,Times7,2000398.0
F12,Times8,2000398.0
F12,Times9,2000398.0
F12,Times10,179770.0
F13,Times1,44776.0
F13,Times2,40692.0
F13,Times3,41062.0
F13,Times4,47882.0
F13,Times5,46308.0
F13,Times6,39548.0
F13,Times7,40748.0
F13,Times8,39940.0
F13,Times9,43906.0
F13,Times10,43340.0
F14,Times1,2000398.0
F14,Times2,550.0
F14,Times3,2000398.0
F14,Times4,2000398.0
F14,Times5,552.0
F14,Times6,2000398.0
F14,Times7,2000398.0
F14,Times8,600.0
F14,Times9,586.0
F14,Times10,1190.0
F15,Times1,195248.0
F15,Times2,352122.0
F15,Times3,2000398.0
F15,Times4,208788.0
F15,Times5,2000398.0
F15,Times6,296176.0
F15,Times7,2000398.0
F15,Times8,219804.0
F15,Times9,167630.0
F15,Times10,232240.0
F16,Times1,1394.0
F16,Times2,1038.0
F16,Times3,938.0
F16,Times4,1720.0
F16,Times5,1358.0
F16,Times6,1400.0
F16,Times7,1022.0
F16,Times8,1428.0
F16,Times9,1026.0
F16,Times10,1150.0
F17,Times1,894.0
F17,Times2,694.0
F17,Times3,726.0
F17,Times4,722.0
F17,Times5,822.0
F17,Times6,590.0
F17,Times7,888.0
F17,Times8,926.0
F17,Times9,938.0
F17,Times10,706.0
F18,Times1,698.0
F18,Times2,834.0
F18,Times3,586.0
F18,Times4,582.0
F18,Times5,488.0
F18,Times6,496.0
F18,Times7,716.0
F18,Times8,468.0
F18,Times9,428.0
F18,Times10,458.0
F19,Times1,2000398.0
F19,Times2,2000398.0
F19,Times3,2000398.0
F19,Times4,2000398.0
F19,Times5,2000398.0
F19,Times6,2000398.0
F19,Times7,2000398.0
F19,Times8,2000398.0
F19,Times9,2000398.0
F19,Times10,2000398.0
F20,Times1,1124.0
F20,Times2,2000398.0
F20,Times3,2000398.0
F20,Times4,2000398.0
F20,Times5,1378.0
F20,Times6,1994.0
F20,Times7,1160.0
F20,Times8,1416.0
F20,Times9,2000398.0
F20,Times10,2000398.0
F21,Times1,2000398.0
F21,Times2,12502.0
F21,Times3,5376.0
F21,Times4,2000398.0
F21,Times5,2000398.0
F21,Times6,15920.0
F21,Times7,2000398.0
F21,Times8,2000398.0
F21,Times9,2000398.0
F21,Times10,2000398.0
F22,Times1,2000398.0
F22,Times2,6666.0
F22,Times3,2000398.0
F22,Times4,16290.0
F22,Times5,5880.0
F22,Times6,8630.0
F22,Times7,2000398.0
F22,Times8,2000398.0
F22,Times9,6036.0
F22,Times10,2000398.0
F23,Times1,2000398.0
F23,Times2,2000398.0
F23,Times3,2000398.0
F23,Times4,2000398.0
F23,Times5,2000398.0
F23,Times6,2000398.0
F23,Times7,9218.0
F23,Times8,2000398.0
F23,Times9,12974.0
F23,Times10,6644.0
