,,Combination1
F1,Times1,0.499118932743683
F1,Times2,0.4990736078428584
F1,Times3,0.4902026569520836
F1,Times4,0.4959835457440091
F1,Times5,0.49702055305015935
F1,Times6,0.47998547266232655
F1,Times7,0.4844100608471967
F1,Times8,0.4959270350668619
F1,Times9,0.4983060169140649
F1,Times10,0.4754045513354985
F2,Times1,0.5075216396219233
F2,Times2,0.8963275416207721
F2,Times3,0.5548413770842675
F2,Times4,0.7862303977202483
F2,Times5,0.5720097041174577
F2,Times6,1.0727701935316085
F2,Times7,0.5337847523843458
F2,Times8,0.6877060917564549
F2,Times9,0.7139355726841585
F2,Times10,0.5224115006152946
F3,Times1,0.957772267827935
F3,Times2,1.7293028205354677
F3,Times3,1.0827614459211277
F3,Times4,1.282106114350693
F3,Times5,0.8869317964022134
F3,Times6,1.6049736500286262
F3,Times7,1.2285233295153268
F3,Times8,1.2022040361576742
F3,Times9,0.7282457225670989
F3,Times10,1.0113557837436673
F4,Times1,0.49586590323589874
F4,Times2,0.49823415674187954
F4,Times3,0.4977561819300489
F4,Times4,0.49618509678454303
F4,Times5,0.4889649803653302
F4,Times6,0.49588541310655754
F4,Times7,0.49928442739414214
F4,Times8,0.4861386160147355
F4,Times9,0.49206856457670667
F4,Times10,0.4880446386166295
F5,Times1,78.17295886937183
F5,Times2,92.72074099743328
F5,Times3,150.6139514442957
F5,Times4,148.2736589507337
F5,Times5,351.8768912063202
F5,Times6,220.30003036710593
F5,Times7,149.3018094141842
F5,Times8,17.11242971800694
F5,Times9,22.11301644749968
F5,Times10,139.64847808540299
F6,Times1,0.4839451554100327
F6,Times2,0.4911396053104804
F6,Times3,0.4939763398557354
F6,Times4,0.36049041088087197
F6,Times5,0.4630928942837131
F6,Times6,0.44235254742648544
F6,Times7,0.478727251265218
F6,Times8,0.4957062150741462
F6,Times9,0.4913774465691062
F6,Times10,0.4839989565784125
F7,Times1,47.1084401583296
F7,Times2,42.7443828429452
F7,Times3,33.735129010777285
F7,Times4,44.81616145401857
F7,Times5,36.39188880754323
F7,Times6,51.52646810911521
F7,Times7,55.934506161403014
F7,Times8,45.698201067643915
F7,Times9,54.48785286074743
F7,Times10,30.515412596526218
F8,Times1,-15242.481853455358
F8,Times2,-14055.039982756765
F8,Times3,-14592.474513086192
F8,Times4,-16290.263328379137
F8,Times5,-15282.013654393391
F8,Times6,-15142.203152526423
F8,Times7,-15793.651686271
F8,Times8,-15184.823797026467
F8,Times9,-15971.506788396739
F8,Times10,-14568.429108474642
F9,Times1,132.34489976962485
F9,Times2,156.22301307279335
F9,Times3,145.28001823166653
F9,Times4,176.1130889674875
F9,Times5,121.40085591319219
F9,Times6,155.22383892894564
F9,Times7,150.2575332630127
F9,Times8,166.16587030400817
F9,Times9,141.29108629429507
F9,Times10,246.75768793616814
F10,Times1,0.44918645091886233
F10,Times2,0.4747451870760315
F10,Times3,0.49791439411125893
F10,Times4,0.4730944353188278
F10,Times5,0.4456664028168227
F10,Times6,0.4820039763433428
F10,Times7,0.4600339701512972
F10,Times8,0.4819157645231016
F10,Times9,0.4991193639066296
F10,Times10,0.48449147788725355
F11,Times1,0.4998481929040368
F11,Times2,0.4919528056156047
F11,Times3,0.4945744445939444
F11,Times4,0.4907664180710103
F11,Times5,0.49033805632045946
F11,Times6,0.47074126095129565
F11,Times7,0.4899343450245116
F11,Times8,0.4895457944597299
F11,Times9,0.4994238969226453
F11,Times10,0.49808160037791027
F12,Times1,0.4666979319346201
F12,Times2,0.8127313428558757
F12,Times3,0.6232595998107292
F12,Times4,1.0631259832763058
F12,Times5,0.48598113917419855
F12,Times6,0.47643940275167074
F12,Times7,0.8110490237080537
F12,Times8,0.7489138267824396
F12,Times9,1.8216004961756462
F12,Times10,2.370675977152059
F13,Times1,0.4988180213907379
F13,Times2,0.4954480599547478
F13,Times3,0.4786142632915211
F13,Times4,0.06587624740208345
F13,Times5,0.49996227177291036
F13,Times6,0.48930229572142925
F13,Times7,0.3686835752485831
F13,Times8,0.4865417040472202
F13,Times9,0.49683079621284953
F13,Times10,0.4705281230218346
F14,Times1,4.950491232016411
F14,Times2,1.088284805459441
F14,Times3,5.92884512540202
F14,Times4,1.013123133331874
F14,Times5,1.0251197038784914
F14,Times6,1.2270720742421368
F14,Times7,5.928845125448874
F14,Times8,2.982105156818463
F14,Times9,5.928845125416485
F14,Times10,1.9920309002268721
F15,Times1,0.0006216752821761051
F15,Times2,0.0007607168855462241
F15,Times3,0.0006895428433051974
F15,Times4,0.0006097800394016667
F15,Times5,0.0006522037290225959
F15,Times6,0.02036513080575489
F15,Times7,0.0007043643436022048
F15,Times8,0.0012235544744465107
F15,Times9,0.0005111173105945406
F15,Times10,0.0017258567071477585
F16,Times1,-1.0316009953252836
F16,Times2,-1.0315886152176073
F16,Times3,-1.0316188048887607
F16,Times4,-1.0315963638195835
F16,Times5,-1.0315542910364315
F16,Times6,-1.0315538599321623
F16,Times7,-1.0315923750881033
F16,Times8,-1.0315999286646946
F16,Times9,-1.0315608219614971
F16,Times10,-1.0316045676795311
F17,Times1,0.39794485959715686
F17,Times2,0.3984217547899238
F17,Times3,0.39798931011445937
F17,Times4,0.39830634329293524
F17,Times5,0.3980321795883075
F17,Times6,0.39831901068065356
F17,Times7,0.3981280684145645
F17,Times8,0.3984722070425537
F17,Times9,0.3980207935523108
F17,Times10,0.39805739029755394
F18,Times1,3.331486300968117
F18,Times2,3.0781437499215936
F18,Times3,3.0850183588271336
F18,Times4,3.2811276633163855
F18,Times5,3.3681003087811163
F18,Times6,3.184884464785477
F18,Times7,3.206597376618157
F18,Times8,3.00247953889277
F18,Times9,3.4256054466203025
F18,Times10,3.2856924820746793
F19,Times1,-0.30047890719494624
F19,Times2,-0.30047890719494624
F19,Times3,-0.30047890719494624
F19,Times4,-0.30047890719494624
F19,Times5,-0.30047890719494624
F19,Times6,-0.30047890719494624
F19,Times7,-0.30047890719494624
F19,Times8,-0.30047890719494624
F19,Times9,-0.30047890719494624
F19,Times10,-0.30047890719494624
F20,Times1,-3.2031012984894667
F20,Times2,-3.203101994903255
F20,Times3,-3.2031020116995643
F20,Times4,-3.203101989434286
F20,Times5,-3.203101905860662
F20,Times6,-3.3187396534962263
F20,Times7,-3.203101973244948
F20,Times8,-3.203101966105811
F20,Times9,-3.203102019561441
F20,Times10,-3.2031020369972154
F21,Times1,-5.055187117785137
F21,Times2,-2.682860065299055
F21,Times3,-2.6828601767438194
F21,Times4,-2.6828545762306026
F21,Times5,-10.153177606704249
F21,Times6,-2.6828598336444376
F21,Times7,-10.15315088131838
F21,Times8,-2.682859936965296
F21,Times9,-2.6828601048141163
F21,Times10,-2.6828599668204416
