,,Combination1
F1,Times1,85.17982965839145
F1,Times2,88.99612563208554
F1,Times3,83.93514780853418
F1,Times4,79.36910824466283
F1,Times5,84.11356749729315
F1,Times6,74.44853157739801
F1,Times7,81.42369332091285
F1,Times8,77.8004624522587
F1,Times9,87.6657281778411
F1,Times10,82.57621992069488
F2,Times1,95.11764705882331
F2,Times2,93.08144796380073
F2,Times3,94.74057315233767
F2,Times4,92.81749622926074
F2,Times5,90.15521215743193
F2,Times6,95.11764705882331
F2,Times7,93.72247360482633
F2,Times8,92.17149036682885
F2,Times9,91.43370613847847
F2,Times10,95.11764705882331
F3,Times1,94.06184012066353
F3,Times2,85.26711529930175
F3,Times3,93.30769230769215
F3,Times4,93.23227752639501
F3,Times5,94.96824041663088
F3,Times6,91.43939782008583
F3,Times7,92.76050036205395
F3,Times8,91.43086029767474
F3,Times9,91.36113719798502
F3,Times10,95.11764705882331
F4,Times1,88.52239518610207
F4,Times2,91.58769774641016
F4,Times3,78.8987926941701
F4,Times4,88.66433652671162
F4,Times5,91.59853925003743
F4,Times6,85.42458833968264
F4,Times7,84.35843659080996
F4,Times8,77.37255306886125
F4,Times9,82.53525813143871
F4,Times10,80.11434304597266
F5,Times1,99.0
F5,Times2,99.0
F5,Times3,99.0
F5,Times4,99.0
F5,Times5,99.0
F5,Times6,99.0
F5,Times7,99.0
F5,Times8,99.0
F5,Times9,99.0
F5,Times10,99.0
F6,Times1,80.74141827517175
F6,Times2,82.03749897551309
F6,Times3,82.21969078771463
F6,Times4,85.99135837648593
F6,Times5,78.36061816667936
F6,Times6,87.88676165368722
F6,Times7,82.65667019202412
F6,Times8,88.86430232323673
F6,Times9,81.35958607209852
F6,Times10,90.19292529725381
F7,Times1,73.68436956822
F7,Times2,55.905493076506154
F7,Times3,69.06157282938813
F7,Times4,59.296021174978115
F7,Times5,75.04569612693943
F7,Times6,63.37192663821791
F7,Times7,76.17603653464585
F7,Times8,54.92184346388344
F7,Times9,69.2760532177531
F7,Times10,76.38995018388572
F8,Times1,99.0
F8,Times2,99.0
F8,Times3,99.0
F8,Times4,99.0
F8,Times5,99.0
F8,Times6,99.0
F8,Times7,99.0
F8,Times8,99.0
F8,Times9,99.0
F8,Times10,99.0
F9,Times1,99.0
F9,Times2,99.0
F9,Times3,99.0
F9,Times4,99.0
F9,Times5,99.0
F9,Times6,99.0
F9,Times7,99.0
F9,Times8,99.0
F9,Times9,99.0
F9,Times10,99.0
F10,Times1,77.52863775093371
F10,Times2,73.08694314866064
F10,Times3,73.54454775752033
F10,Times4,84.17731959193041
F10,Times5,77.97335917849307
F10,Times6,84.23050777619295
F10,Times7,99.0
F10,Times8,79.58233685548443
F10,Times9,81.79651554294658
F10,Times10,77.10454980145633
F11,Times1,84.451659285236
F11,Times2,82.04336021450703
F11,Times3,82.37464764078476
F11,Times4,84.59117423583011
F11,Times5,80.65287609803175
F11,Times6,84.91637446975733
F11,Times7,82.2054572977152
F11,Times8,88.44132178094438
F11,Times9,79.48647511064935
F11,Times10,76.5651870057919
F12,Times1,81.03613641771169
F12,Times2,63.65139844681868
F12,Times3,99.0
F12,Times4,66.96753107162732
F12,Times5,65.59991051696936
F12,Times6,78.95145294338643
F12,Times7,99.0
F12,Times8,72.77129043518053
F12,Times9,75.76459522355975
F12,Times10,85.32032535095573
F13,Times1,70.69640277355751
F13,Times2,65.2895001685093
F13,Times3,69.48434183037358
F13,Times4,65.1536470900263
F13,Times5,60.52959855853006
F13,Times6,63.954223639388246
F13,Times7,70.22560613160235
F13,Times8,69.85840859585483
F13,Times9,75.28202559859106
F13,Times10,70.02653092168093
F14,Times1,0.0
F14,Times2,0.0
F14,Times3,0.0
F14,Times4,0.0
F14,Times5,0.0
F14,Times6,0.0
F14,Times7,0.0
F14,Times8,0.0
F14,Times9,0.0
F14,Times10,0.0
F15,Times1,99.0
F15,Times2,99.0
F15,Times3,24.619047619047574
F15,Times4,99.0
F15,Times5,11.71428571428571
F15,Times6,0.0
F15,Times7,10.285714285714286
F15,Times8,1.8095238095238093
F15,Times9,20.2380952380952
F15,Times10,19.47619047619044
F16,Times1,0.0
F16,Times2,0.0
F16,Times3,0.0
F16,Times4,0.0
F16,Times5,0.0
F16,Times6,0.0
F16,Times7,0.0
F16,Times8,0.0
F16,Times9,0.0
F16,Times10,0.0
F17,Times1,0.0
F17,Times2,0.0
F17,Times3,0.0
F17,Times4,0.0
F17,Times5,0.0
F17,Times6,0.0
F17,Times7,0.0
F17,Times8,0.0
F17,Times9,0.0
F17,Times10,0.0
F18,Times1,0.0
F18,Times2,0.0
F18,Times3,0.0
F18,Times4,0.0
F18,Times5,0.0
F18,Times6,0.0
F18,Times7,0.0
F18,Times8,0.0
F18,Times9,0.0
F18,Times10,0.0
F19,Times1,99.0
F19,Times2,99.0
F19,Times3,99.0
F19,Times4,99.0
F19,Times5,99.0
F19,Times6,99.0
F19,Times7,99.0
F19,Times8,99.0
F19,Times9,99.0
F19,Times10,99.0
F20,Times1,99.0
F20,Times2,6.303030303030303
F20,Times3,2.048484848484848
F20,Times4,1.7909090909090903
F20,Times5,1.1090909090909091
F20,Times6,99.0
F20,Times7,99.0
F20,Times8,3.024242424242423
F20,Times9,9.733333333333338
F20,Times10,99.0
F21,Times1,57.00000000000009
F21,Times2,57.0000000000001
F21,Times3,59.4000000000001
F21,Times4,51.66666666666679
F21,Times5,39.93333333333333
F21,Times6,99.0
F21,Times7,99.0
F21,Times8,99.0
F21,Times9,99.0
F21,Times10,58.33333333333343
F22,Times1,99.0
F22,Times2,99.0
F22,Times3,99.0
F22,Times4,99.0
F22,Times5,35.70476190476189
F22,Times6,51.93333333333346
F22,Times7,99.0
F22,Times8,44.80952380952387
F22,Times9,99.0
F22,Times10,37.93333333333338
F23,Times1,33.114285714285685
F23,Times2,99.0
F23,Times3,99.0
F23,Times4,99.0
F23,Times5,99.0
F23,Times6,37.647619047619045
F23,Times7,99.0
F23,Times8,25.647619047619024
F23,Times9,59.4000000000001
F23,Times10,99.0
