Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555
F1,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F2,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F3,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F4,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F7,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F11,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F13,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F14,10%,30%,70%,0%,30%,30%,70%,10%,40%,50%,30%,60%,10%,70%,20%,20%,40%,40%,20%,0%
F15,50%,60%,50%,70%,40%,50%,70%,60%,60%,60%,50%,80%,50%,90%,70%,70%,90%,70%,60%,90%
F16,100%,100%,100%,100%,100%,100%,100%,90%,100%,90%,90%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,90%,100%,100%,60%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,80%,90%,100%,100%,90%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,50%,30%,40%,60%,80%,50%,20%,50%,40%,70%,50%,80%,40%,30%,60%,30%,30%,50%,70%
F21,20%,20%,10%,20%,50%,30%,20%,30%,50%,40%,20%,20%,10%,10%,10%,20%,20%,0%,0%,20%
F22,30%,20%,30%,50%,30%,10%,40%,20%,20%,30%,20%,30%,30%,40%,30%,10%,20%,20%,30%,30%
F23,20%,40%,30%,40%,20%,30%,20%,50%,40%,30%,50%,40%,30%,30%,60%,20%,0%,50%,20%,10%
