,,Combination1
F1,Times1,4612122.0
F1,Times2,4877346.0
F1,Times3,4309376.0
F1,Times4,4537078.0
F1,Times5,4247953.0
F1,Times6,4431451.0
F1,Times7,4899705.0
F1,Times8,5250510.0
F1,Times9,4908957.0
F1,Times10,4261831.0
F2,Times1,12931983.0
F2,Times2,13725856.0
F2,Times3,13495584.0
F2,Times4,12713790.0
F2,Times5,14252706.0
F2,Times6,11622054.0
F2,Times7,13119079.0
F2,Times8,13961268.0
F2,Times9,14295882.0
F2,Times10,13389700.0
F3,Times1,13802185.0
F3,Times2,12903199.0
F3,Times3,13448553.0
F3,Times4,13820175.0
F3,Times5,15490675.0
F3,Times6,12056898.0
F3,Times7,14537462.0
F3,Times8,13940451.0
F3,Times9,13747958.0
F3,Times10,11789104.0
F4,Times1,42017958.0
F4,Times2,41216632.0
F4,Times3,39072481.0
F4,Times4,45170834.0
F4,Times5,40371873.0
F4,Times6,36023947.0
F4,Times7,33377618.0
F4,Times8,39000264.0
F4,Times9,41937260.0
F4,Times10,45226860.0
F5,Times1,257051143.0
F5,Times2,257051143.0
F5,Times3,257051143.0
F5,Times4,257051143.0
F5,Times5,257051143.0
F5,Times6,257051143.0
F5,Times7,257051143.0
F5,Times8,257051143.0
F5,Times9,257051143.0
F5,Times10,257051143.0
F6,Times1,4344071.0
F6,Times2,4521915.0
F6,Times3,4389817.0
F6,Times4,4744991.0
F6,Times5,4342015.0
F6,Times6,4350239.0
F6,Times7,4593361.0
F6,Times8,4464347.0
F6,Times9,4564577.0
F6,Times10,4154919.0
F7,Times1,2254918.0
F7,Times2,1460788.0
F7,Times3,1712648.0
F7,Times4,1643515.0
F7,Times5,1657393.0
F7,Times6,2083242.0
F7,Times7,2198378.0
F7,Times8,2051631.0
F7,Times9,1990979.0
F7,Times10,1868133.0
F8,Times1,257051143.0
F8,Times2,257051143.0
F8,Times3,257051143.0
F8,Times4,257051143.0
F8,Times5,257051143.0
F8,Times6,257051143.0
F8,Times7,257051143.0
F8,Times8,257051143.0
F8,Times9,257051143.0
F8,Times10,257051143.0
F9,Times1,257051143.0
F9,Times2,257051143.0
F9,Times3,257051143.0
F9,Times4,257051143.0
F9,Times5,257051143.0
F9,Times6,257051143.0
F9,Times7,257051143.0
F9,Times8,257051143.0
F9,Times9,257051143.0
F9,Times10,257051143.0
F10,Times1,8731318.0
F10,Times2,6968555.0
F10,Times3,6488993.0
F10,Times4,6779660.0
F10,Times5,8565553.0
F10,Times6,7274128.0
F10,Times7,8064917.0
F10,Times8,6406496.0
F10,Times9,5958545.0
F10,Times10,9531359.0
F11,Times1,4533737.0
F11,Times2,4237930.0
F11,Times3,4702072.0
F11,Times4,4243070.0
F11,Times5,4505981.0
F11,Times6,4844964.0
F11,Times7,4742421.0
F11,Times8,4716721.0
F11,Times9,4123822.0
F11,Times10,4666349.0
F12,Times1,49124008.0
F12,Times2,106913542.0
F12,Times3,13333931.0
F12,Times4,8548848.0
F12,Times5,11503320.0
F12,Times6,9686587.0
F12,Times7,8354556.0
F12,Times8,11113708.0
F12,Times9,42747838.0
F12,Times10,54660816.0
F13,Times1,4244098.0
F13,Times2,4155176.0
F13,Times3,4701301.0
F13,Times4,3771989.0
F13,Times5,4400611.0
F13,Times6,4739080.0
F13,Times7,4626257.0
F13,Times8,4651700.0
F13,Times9,4420143.0
F13,Times10,4427082.0
F14,Times1,3451.0
F14,Times2,5185.0
F14,Times3,17003383.0
F14,Times4,6817.0
F14,Times5,8058.0
F14,Times6,17003383.0
F14,Times7,4454.0
F14,Times8,17003383.0
F14,Times9,4335.0
F14,Times10,4063.0
