,,Combination1
F1,Times1,0.48925958621825755
F1,Times2,0.47572042861538005
F1,Times3,0.47809932121630494
F1,Times4,0.49945558679976665
F1,Times5,0.4462930613966281
F1,Times6,0.46725317012439804
F1,Times7,0.458002193877204
F1,Times8,0.4903426431516343
F1,Times9,0.48159480581059444
F1,Times10,0.49997017491399265
F2,Times1,0.4867044352434276
F2,Times2,0.4884262036420095
F2,Times3,0.48873712878160624
F2,Times4,0.4977589365071642
F2,Times5,0.4809124134602516
F2,Times6,0.46726096275359913
F2,Times7,0.49351458686891164
F2,Times8,0.4930371168473208
F2,Times9,0.49519265742770957
F2,Times10,0.49880957708207696
F3,Times1,0.48143685478834064
F3,Times2,0.4987635812276892
F3,Times3,0.4799559949090201
F3,Times4,0.47216235659724204
F3,Times5,0.4890615412819232
F3,Times6,0.4994918527402299
F3,Times7,0.46945098084995474
F3,Times8,0.47741390665874894
F3,Times9,0.48765798003735694
F3,Times10,0.4575752945098146
F4,Times1,0.4995716897795045
F4,Times2,0.49898697608573517
F4,Times3,0.495769211223366
F4,Times4,0.4962431022714918
F4,Times5,0.49664352616377205
F4,Times6,0.49756418267953484
F4,Times7,0.4931900367446036
F4,Times8,0.49747096553904996
F4,Times9,0.49759612811951903
F4,Times10,0.4953865539844514
F5,Times1,43.15572120782575
F5,Times2,18.425247494641738
F5,Times3,71.56589497066787
F5,Times4,45.688220202305246
F5,Times5,90.71903012899693
F5,Times6,79.66860504443818
F5,Times7,604.1193939403931
F5,Times8,43.93504810689045
F5,Times9,156.97657843615633
F5,Times10,11.359945638436363
F6,Times1,0.47625419835277516
F6,Times2,0.49826298327961815
F6,Times3,0.48359654165308025
F6,Times4,0.4944398357043006
F6,Times5,0.4905379591605618
F6,Times6,0.4870535563911866
F6,Times7,0.4972635440174918
F6,Times8,0.4834188778421269
F6,Times9,0.49368585994892905
F6,Times10,0.4906551450993583
F7,Times1,0.48776534740206196
F7,Times2,0.4910478577409757
F7,Times3,0.49716014551549953
F7,Times4,0.4938847424230903
F7,Times5,0.49201625029093293
F7,Times6,0.49407381306505815
F7,Times7,0.49687269308438986
F7,Times8,0.49831353716432064
F7,Times9,0.49983232979297565
F7,Times10,0.4970096446997227
F8,Times1,-15184.914510063578
F8,Times2,-15224.35807668077
F8,Times3,-15441.297649546646
F8,Times4,-14765.815031753711
F8,Times5,-14631.85268240324
F8,Times6,-16130.850337147798
F8,Times7,-13388.292550012235
F8,Times8,-15935.059305511122
F8,Times9,-15046.647294136279
F8,Times10,-15893.987537020186
F9,Times1,139.29398751346406
F9,Times2,196.00619016561257
F9,Times3,154.21814829211345
F9,Times4,136.308977072219
F9,Times5,200.98113975260708
F9,Times6,159.19300157833467
F9,Times7,142.27884162703023
F9,Times8,130.3393315465512
F9,Times9,131.33428416384942
F9,Times10,188.0465272142692
F10,Times1,0.4661330708676381
F10,Times2,0.4969154908017295
F10,Times3,0.49635991308259975
F10,Times4,0.4912870797428859
F10,Times5,0.49540799599702723
F10,Times6,0.48818735526270274
F10,Times7,0.4901352324375239
F10,Times8,0.4479465530459841
F10,Times9,0.49673717051216926
F10,Times10,0.48686998423910666
F11,Times1,0.40109926406004737
F11,Times2,0.49212576373949624
F11,Times3,0.49887270515018367
F11,Times4,0.4996132923811857
F11,Times5,0.49835985372440583
F11,Times6,0.48711496883853767
F11,Times7,0.499557964066796
F11,Times8,0.4990701430803093
F11,Times9,0.48509165603681526
F11,Times10,0.497120051976091
F12,Times1,0.49132688820356496
F12,Times2,0.49971952885689863
F12,Times3,0.49250881716869394
F12,Times4,0.49908678111314847
F12,Times5,0.4846057551095155
F12,Times6,0.4902181679272767
F12,Times7,0.48821936831061646
F12,Times8,0.4999362491093317
F12,Times9,0.4911567970593904
F12,Times10,0.47751245243347945
