,,Combination1
F1,Times1,22.711795786806828
F1,Times2,20.65676591596679
F1,Times3,39.58239436424495
F1,Times4,36.60889530310184
F1,Times5,31.335980240410315
F1,Times6,11.188847753889338
F1,Times7,19.718938638760278
F1,Times8,44.38159848814884
F1,Times9,18.97420193852326
F1,Times10,40.51795193857557
F2,Times1,5.44722060325484
F2,Times2,4.839688064161202
F2,Times3,0.9837420429760392
F2,Times4,4.459440698928617
F2,Times5,1.1334068534199353
F2,Times6,2.9405937068262236
F2,Times7,1.9223326371110856
F2,Times8,2.5562660477099
F2,Times9,4.014638044012917
F2,Times10,2.610330986716443
F3,Times1,2.5394572648164657
F3,Times2,0.9370009235217326
F3,Times3,1.84213698140824
F3,Times4,5.24411828903805
F3,Times5,0.9658591174107791
F3,Times6,3.8242165704573314
F3,Times7,6.898910452225425
F3,Times8,5.166018214720996
F3,Times9,6.028100785272915
F3,Times10,9.026476036524446
F4,Times1,67.58016875074381
F4,Times2,73.24224074013271
F4,Times3,36.079399506143986
F4,Times4,80.0093811698322
F4,Times5,68.58990872479185
F4,Times6,60.50909977046267
F4,Times7,51.85816346655293
F4,Times8,89.8906564776688
F4,Times9,36.31416471190371
F4,Times10,92.05565679039675
F5,Times1,1.162912533794764
F5,Times2,0.0
F5,Times3,0.6198486095774711
F5,Times4,0.041911189686339785
F5,Times5,0.6370406723983736
F5,Times6,0.2934754152398104
F5,Times7,0.1387294655264544
F5,Times8,0.0
F5,Times9,0.0
F5,Times10,0.14214122818163644
F6,Times1,21.26362533865894
F6,Times2,73.04848385180264
F6,Times3,42.869112204773224
F6,Times4,22.261589744967694
F6,Times5,30.059527675352218
F6,Times6,40.16440313877191
F6,Times7,34.007588150745086
F6,Times8,34.90719256580004
F6,Times9,19.710212334240655
F6,Times10,45.85368310815131
F7,Times1,9.769006120957771
F7,Times2,9.856217309127782
F7,Times3,13.789096003050455
F7,Times4,6.4195878636896415
F7,Times5,11.282838637976838
F7,Times6,10.148089060556341
F7,Times7,10.8160978801571
F7,Times8,8.70317199048457
F7,Times9,11.154378353458526
F7,Times10,10.526812452847524
F8,Times1,12.37375106897619
F8,Times2,0.0
F8,Times3,0.0
F8,Times4,6.497205845936151
F8,Times5,0.0
F8,Times6,0.0
F8,Times7,4.856146079774049
F8,Times8,4.427511609587839
F8,Times9,4.802928042133374
F8,Times10,8.847343768871339
F9,Times1,0.1479448759653759
F9,Times2,0.06853185292709833
F9,Times3,0.0
F9,Times4,0.0
F9,Times5,0.02003383556814775
F9,Times6,0.0
F9,Times7,0.2268745302578562
F9,Times8,0.0
F9,Times9,0.11659279556134487
F9,Times10,0.0015735222149704242
F10,Times1,77.27458968893613
F10,Times2,55.921495562661214
F10,Times3,39.60654156363244
F10,Times4,67.10367362643893
F10,Times5,69.30286820426768
F10,Times6,62.27038297042197
F10,Times7,30.286241358133026
F10,Times8,44.705895422518715
F10,Times9,16.844658976305
F10,Times10,51.30895425082195
F11,Times1,1313.77497620133
F11,Times2,353.1989789737547
F11,Times3,444.0004129350273
F11,Times4,207.9568567843444
F11,Times5,259.8462807713184
F11,Times6,261.3599118687885
F11,Times7,143.04383302687896
F11,Times8,1598.0732998617173
F11,Times9,101.64846635911395
F11,Times10,94.55253245036408
F12,Times1,160.1835249231561
F12,Times2,320.4216233766421
F12,Times3,133.77677931598276
F12,Times4,151.21968561355573
F12,Times5,7.809594677867377
F12,Times6,88.45510676438978
F12,Times7,359.18671510701625
F12,Times8,321.9905430553786
F12,Times9,191.36501003759852
F12,Times10,2.008703119172423
F13,Times1,48.17492233351121
F13,Times2,112.57108567589025
F13,Times3,121.6493211731276
F13,Times4,72.24385092524666
F13,Times5,158.2419694601471
F13,Times6,218.59281246071893
F13,Times7,200.86339937751939
F13,Times8,79.0648094480542
F13,Times9,290.8737446076528
F13,Times10,180.067398211413
F14,Times1,4849.771461443418
F14,Times2,0.06998711165736005
F14,Times3,1.6643185946657173
F14,Times4,1.8995630990746797
F14,Times5,1.6466788584911511
F14,Times6,0.44979097808796453
F14,Times7,0.779476151499023
F14,Times8,1.2703435489177544
F14,Times9,0.0
F14,Times10,5495.735056878937
F15,Times1,7.221647000049372
F15,Times2,9.065261002768791
F15,Times3,3.4374345527038734
F15,Times4,12.099923315682377
F15,Times5,3.981683361753526
F15,Times6,11.913243320547494
F15,Times7,2.30484917749847
F15,Times8,0.05300933789384832
F15,Times9,0.0
F15,Times10,0.0
F16,Times1,4.825634185418446
F16,Times2,3.8914151190223087
F16,Times3,5.67100463646088
F16,Times4,3.216928275265648
F16,Times5,0.6379612683210951
F16,Times6,3.7325190761470894
F16,Times7,1.1852188484025388
F16,Times8,6.548596870603088
F16,Times9,3.0604139796328313
F16,Times10,55.43965282057597
F17,Times1,11.963044948343605
F17,Times2,94.49924792996092
F17,Times3,161.15624560983858
F17,Times4,91.171711593668
F17,Times5,41.85771315086149
F17,Times6,42.4831946533083
F17,Times7,229.03697211712404
F17,Times8,223.89438463922983
F17,Times9,115.84150611331889
F17,Times10,291.71164455398093
F18,Times1,133.93604108511678
F18,Times2,169.37391356331088
F18,Times3,130.0003844451966
F18,Times4,54.83857965285787
F18,Times5,0.028890331043543105
F18,Times6,52.914654956329706
F18,Times7,93.33682886481029
F18,Times8,63.69539213640501
F18,Times9,0.01207438982242448
F18,Times10,93.13139785452701
F19,Times1,0.0
F19,Times2,0.0
F19,Times3,0.018329452399910906
F19,Times4,0.0
F19,Times5,0.0
F19,Times6,0.01936287346490606
F19,Times7,0.013068828984920592
F19,Times8,0.0062461742177626345
F19,Times9,0.0
F19,Times10,0.0
F20,Times1,3.3132111894694254
F20,Times2,0.01719539182289649
F20,Times3,6.313043321020616
F20,Times4,4.535552426452892
F20,Times5,3.27534667967751
F20,Times6,0.0328763874131815
F20,Times7,5.942696966502723
F20,Times8,0.0037509032028279488
F20,Times9,3.238931226332659
F20,Times10,0.0
F21,Times1,0.09143438662622216
F21,Times2,0.0
F21,Times3,0.1502277722338854
F21,Times4,0.06071885460534417
F21,Times5,0.044266471593966905
F21,Times6,0.045961281627518585
F21,Times7,0.0
F21,Times8,0.12899747686415752
F21,Times9,0.1501675136004079
F21,Times10,0.24022970739179283
F22,Times1,0.06832487573958268
F22,Times2,0.0
F22,Times3,0.025380542470156944
F22,Times4,0.000656178043190625
F22,Times5,0.0
F22,Times6,0.07371670633957983
F22,Times7,0.04058724791135404
F22,Times8,0.14353898906694365
F22,Times9,0.01668262470357096
F22,Times10,0.16650047397264478
F23,Times1,0.0
F23,Times2,0.10906871317744482
F23,Times3,0.16617305944016691
F23,Times4,0.05560172488913726
F23,Times5,0.09164980265301331
F23,Times6,0.027166414157012042
F23,Times7,0.0
F23,Times8,0.11414307559249703
F23,Times9,0.13660759581107046
F23,Times10,0.03123148744142086
