,,Combination1
F1,Times1,19782.0
F1,Times2,22784.0
F1,Times3,20430.0
F1,Times4,20757.0
F1,Times5,23151.0
F1,Times6,24210.0
F1,Times7,24645.0
F1,Times8,21390.0
F1,Times9,24508.0
F1,Times10,21160.0
F2,Times1,59893.0
F2,Times2,56557.0
F2,Times3,55109.0
F2,Times4,57710.0
F2,Times5,58438.0
F2,Times6,62546.0
F2,Times7,61462.0
F2,Times8,57726.0
F2,Times9,58371.0
F2,Times10,60996.0
F3,Times1,51019.0
F3,Times2,52927.0
F3,Times3,56832.0
F3,Times4,54740.0
F3,Times5,62457.0
F3,Times6,47531.0
F3,Times7,55830.0
F3,Times8,61290.0
F3,Times9,56170.0
F3,Times10,57701.0
F4,Times1,134427.0
F4,Times2,176251.0
F4,Times3,178252.0
F4,Times4,151327.0
F4,Times5,194767.0
F4,Times6,188140.0
F4,Times7,176222.0
F4,Times8,169977.0
F4,Times9,185565.0
F4,Times10,199474.0
F5,Times1,1000199.0
F5,Times2,1000199.0
F5,Times3,1000199.0
F5,Times4,1000199.0
F5,Times5,1000199.0
F5,Times6,1000199.0
F5,Times7,1000199.0
F5,Times8,1000199.0
F5,Times9,1000199.0
F5,Times10,1000199.0
F6,Times1,23449.0
F6,Times2,20860.0
F6,Times3,18752.0
F6,Times4,18887.0
F6,Times5,21110.0
F6,Times6,22846.0
F6,Times7,22632.0
F6,Times8,23308.0
F6,Times9,21950.0
F6,Times10,20239.0
F7,Times1,1000199.0
F7,Times2,1000199.0
F7,Times3,1000199.0
F7,Times4,1000199.0
F7,Times5,1000199.0
F7,Times6,1000199.0
F7,Times7,1000199.0
F7,Times8,1000199.0
F7,Times9,1000199.0
F7,Times10,1000199.0
F8,Times1,1000199.0
F8,Times2,1000199.0
F8,Times3,1000199.0
F8,Times4,1000199.0
F8,Times5,1000199.0
F8,Times6,1000199.0
F8,Times7,1000199.0
F8,Times8,1000199.0
F8,Times9,1000199.0
F8,Times10,1000199.0
F9,Times1,1000199.0
F9,Times2,1000199.0
F9,Times3,1000199.0
F9,Times4,1000199.0
F9,Times5,1000199.0
F9,Times6,1000199.0
F9,Times7,1000199.0
F9,Times8,1000199.0
F9,Times9,1000199.0
F9,Times10,1000199.0
F10,Times1,41750.0
F10,Times2,28482.0
F10,Times3,33095.0
F10,Times4,33216.0
F10,Times5,31226.0
F10,Times6,31975.0
F10,Times7,39684.0
F10,Times8,35848.0
F10,Times9,32953.0
F10,Times10,29903.0
F11,Times1,21292.0
F11,Times2,21369.0
F11,Times3,18752.0
F11,Times4,20828.0
F11,Times5,22628.0
F11,Times6,19138.0
F11,Times7,20738.0
F11,Times8,20549.0
F11,Times9,21290.0
F11,Times10,19856.0
F12,Times1,41285.0
F12,Times2,205193.0
F12,Times3,202385.0
F12,Times4,88054.0
F12,Times5,378447.0
F12,Times6,164927.0
F12,Times7,36899.0
F12,Times8,305448.0
F12,Times9,42137.0
F12,Times10,51001.0
F13,Times1,20559.0
F13,Times2,19223.0
F13,Times3,22477.0
F13,Times4,21826.0
F13,Times5,18899.0
F13,Times6,21718.0
F13,Times7,18482.0
F13,Times8,22659.0
F13,Times9,24564.0
F13,Times10,19893.0
F14,Times1,1000199.0
F14,Times2,266.0
F14,Times3,1000199.0
F14,Times4,201.0
F14,Times5,351.0
F14,Times6,594.0
F14,Times7,1000199.0
F14,Times8,217.0
F14,Times9,1000199.0
F14,Times10,319.0
F15,Times1,1000199.0
F15,Times2,1000199.0
F15,Times3,148529.0
F15,Times4,1000199.0
F15,Times5,153935.0
F15,Times6,1000199.0
F15,Times7,163600.0
F15,Times8,216004.0
F15,Times9,196381.0
F15,Times10,1000199.0
F16,Times1,516.0
F16,Times2,662.0
F16,Times3,694.0
F16,Times4,1646.0
F16,Times5,728.0
F16,Times6,594.0
F16,Times7,339.0
F16,Times8,401.0
F16,Times9,705.0
F16,Times10,320.0
F17,Times1,375.0
F17,Times2,340.0
F17,Times3,413.0
F17,Times4,327.0
F17,Times5,325.0
F17,Times6,219.0
F17,Times7,282.0
F17,Times8,310.0
F17,Times9,273.0
F17,Times10,339.0
F18,Times1,208.0
F18,Times2,206.0
F18,Times3,243.0
F18,Times4,248.0
F18,Times5,202.0
F18,Times6,1000199.0
F18,Times7,201.0
F18,Times8,244.0
F18,Times9,202.0
F18,Times10,303.0
F19,Times1,1000199.0
F19,Times2,1000199.0
F19,Times3,1000199.0
F19,Times4,1000199.0
F19,Times5,1000199.0
F19,Times6,1000199.0
F19,Times7,1000199.0
F19,Times8,1000199.0
F19,Times9,1000199.0
F19,Times10,1000199.0
F20,Times1,1000199.0
F20,Times2,976.0
F20,Times3,1000199.0
F20,Times4,686.0
F20,Times5,972.0
F20,Times6,1000199.0
F20,Times7,715.0
F20,Times8,668.0
F20,Times9,1000199.0
F20,Times10,1000199.0
F21,Times1,1000199.0
F21,Times2,6374.0
F21,Times3,1000199.0
F21,Times4,1000199.0
F21,Times5,1000199.0
F21,Times6,1000199.0
F21,Times7,1000199.0
F21,Times8,1000199.0
F21,Times9,1000199.0
F21,Times10,1000199.0
F22,Times1,3243.0
F22,Times2,1000199.0
F22,Times3,5093.0
F22,Times4,1000199.0
F22,Times5,1000199.0
F22,Times6,1000199.0
F22,Times7,3561.0
F22,Times8,1000199.0
F22,Times9,4381.0
F22,Times10,1000199.0
F23,Times1,1000199.0
F23,Times2,2171.0
