,,Combination1
F1,Times1,0.49906766242301065
F1,Times2,0.49546049529184016
F1,Times3,0.4976273401047108
F1,Times4,0.48806342521683177
F1,Times5,0.49379930466806465
F1,Times6,0.36841848828016516
F1,Times7,0.49961891729885877
F1,Times8,0.489358068336926
F1,Times9,0.49499077640895284
F1,Times10,0.49971790557203793
F2,Times1,0.49122407647309996
F2,Times2,0.49922228235726
F2,Times3,0.49888364752626835
F2,Times4,0.48895206135580555
F2,Times5,0.4929774631385296
F2,Times6,0.4690838274022574
F2,Times7,0.4964663576543453
F2,Times8,0.49076207057177745
F2,Times9,0.4998632374820453
F2,Times10,0.4641446334331123
F3,Times1,0.4841775180983389
F3,Times2,0.4993553744153821
F3,Times3,0.4805452852048472
F3,Times4,0.4262797037533703
F3,Times5,0.4947100675534965
F3,Times6,0.48394334509532283
F3,Times7,0.49908879482206636
F3,Times8,0.4995661708596226
F3,Times9,0.4424469344878553
F3,Times10,0.49207763429286133
F4,Times1,0.4895532057636023
F4,Times2,0.48631492769529366
F4,Times3,0.4823773597020268
F4,Times4,0.4910891855820927
F4,Times5,0.49472333210619657
F4,Times6,0.48961650604309864
F4,Times7,0.470137448981476
F4,Times8,0.49695465424916196
F4,Times9,0.4835300354681542
F4,Times10,0.4940011594368219
F5,Times1,44.10442216557351
F5,Times2,94.26656943765228
F5,Times3,94.8672915133143
F5,Times4,86.78647730552629
F5,Times5,46.31938214797469
F5,Times6,37.02817652839802
F5,Times7,291.5941186307398
F5,Times8,91.57365074875024
F5,Times9,93.25981212450756
F5,Times10,82.91938248994538
F6,Times1,0.49469925563749595
F6,Times2,0.4955956304566875
F6,Times3,0.49868559321319883
F6,Times4,0.4994344650544428
F6,Times5,0.49664692396107596
F6,Times6,0.4920880797400053
F6,Times7,0.4813780724633744
F6,Times8,0.487041714216519
F6,Times9,0.49453860565952373
F6,Times10,0.4703230674865027
F7,Times1,38.95128983375946
F7,Times2,40.6599625304655
F7,Times3,67.16665461562319
F7,Times4,40.16373922886067
F7,Times5,46.654260057774344
F7,Times6,54.63479288767879
F7,Times7,44.64687282848297
F7,Times8,46.291274255278985
F7,Times9,60.5004772311299
F7,Times10,47.80373311933186
F8,Times1,-13919.830366619291
F8,Times2,-13108.779152866382
F8,Times3,-13169.66326307601
F8,Times4,-12144.539414517389
F8,Times5,-13268.067220728293
F8,Times6,-13029.695788456347
F8,Times7,-12200.543669882421
F8,Times8,-14036.741540554345
F8,Times9,-14038.383937155042
F8,Times10,-13682.979785559968
F9,Times1,196.0061985955312
F9,Times2,202.97091845084088
F9,Times3,223.86494093328932
F9,Times4,189.04155881802873
F9,Times5,235.80456139764357
F9,Times6,276.5971281541699
F9,Times7,167.15251388814013
F9,Times8,215.90519859755327
F9,Times9,198.9911074203759
F9,Times10,190.036617234628
F10,Times1,0.46671346400418656
F10,Times2,0.4840422463495351
F10,Times3,0.49099936347048256
F10,Times4,0.46959382393504256
F10,Times5,0.4995295515163818
F10,Times6,0.48291536484858355
F10,Times7,0.4766408614062527
F10,Times8,0.4969461705711815
F10,Times9,0.47954248137680366
F10,Times10,0.49106187801582024
F11,Times1,0.49853914802925725
F11,Times2,0.49423154057094276
F11,Times3,0.49728392109195296
F11,Times4,0.49880778080324295
F11,Times5,0.46722239708348223
F11,Times6,0.49133283473908806
F11,Times7,0.49987855679041526
F11,Times8,0.4975631705190786
F11,Times9,0.4793195152947409
F11,Times10,0.4989659413915499
F12,Times1,0.49833526141482076
F12,Times2,0.47618852878957174
F12,Times3,0.476870308086581
F12,Times4,0.48490572002754234
F12,Times5,0.4867424002448375
F12,Times6,0.4858111609512972
F12,Times7,0.49794303964457126
F12,Times8,0.4614750656458576
F12,Times9,0.4797133719123049
F12,Times10,0.49883661750317304
F13,Times1,0.48484821172387715
F13,Times2,0.49710841448579846
F13,Times3,0.49585964387261755
F13,Times4,0.4963658016695349
F13,Times5,0.49003594238147125
F13,Times6,0.4888551369858718
F13,Times7,0.4952290995196098
F13,Times8,0.4620521428726824
F13,Times9,0.4673710852159973
F13,Times10,0.48910071445728287
F14,Times1,1.9920309002227854
F14,Times2,6.903335694237172
F14,Times3,2.9821051568192116
F14,Times4,16.440907314192863
F14,Times5,6.903335694239036
F14,Times6,15.503816802730487
F14,Times7,2.9821051568228034
F14,Times8,2.9821051568170556
F14,Times9,1.992030900224772
F14,Times10,9.803897942946158
F15,Times1,0.00034770517442556196
F15,Times2,0.00034641254734987846
F15,Times3,0.020363339432174447
F15,Times4,0.0003450506967595807
F15,Times5,0.020363339588618332
F15,Times6,0.000343160588609022
F15,Times7,0.020363339509271626
F15,Times8,0.001223179974446713
F15,Times9,0.0003358413381358391
F15,Times10,0.020363339671143028
