,,590,593,579,588,589
F1,Times1,1,1,1,1,1
F1,Times2,1,1,1,1,1
F1,Times3,1,1,1,1,1
F1,Times4,1,1,1,1,1
F1,Times5,1,1,1,1,1
F1,Times6,1,1,1,1,1
F1,Times7,1,1,1,1,1
F1,Times8,1,1,1,1,1
F1,Times9,1,1,1,1,1
F1,Times10,1,1,1,1,1
F2,Times1,1,1,1,1,1
F2,Times2,1,1,1,1,1
F2,Times3,1,1,1,1,1
F2,Times4,1,1,1,1,1
F2,Times5,1,1,1,1,1
F2,Times6,1,1,1,1,1
F2,Times7,1,1,1,1,1
F2,Times8,1,1,1,1,1
F2,Times9,1,1,1,1,1
F2,Times10,1,1,1,1,1
F3,Times1,1,1,1,1,1
F3,Times2,1,1,1,1,1
F3,Times3,1,1,1,1,1
F3,Times4,1,1,1,1,1
F3,Times5,1,1,1,1,1
F3,Times6,1,1,1,1,1
F3,Times7,1,1,1,1,1
F3,Times8,1,1,1,1,1
F3,Times9,1,1,1,1,1
F3,Times10,1,1,1,1,1
F4,Times1,1,1,1,1,1
F4,Times2,1,1,1,1,1
F4,Times3,1,1,1,1,1
F4,Times4,1,1,1,1,1
F4,Times5,1,1,1,1,1
F4,Times6,1,1,1,1,1
F4,Times7,1,1,1,1,1
F4,Times8,1,1,1,1,1
F4,Times9,1,1,1,1,1
F4,Times10,1,1,1,1,1
F5,Times1,0,0,0,0,0
F5,Times2,0,0,0,0,0
F5,Times3,0,0,0,0,0
F5,Times4,0,0,0,0,0
F5,Times5,0,0,0,0,0
F5,Times6,0,0,0,0,0
F5,Times7,0,0,0,0,0
F5,Times8,0,0,0,0,0
F5,Times9,0,0,0,0,0
F5,Times10,0,0,0,0,0
F6,Times1,1,1,1,1,1
F6,Times2,1,1,1,1,1
F6,Times3,1,1,1,1,1
F6,Times4,1,1,1,1,1
F6,Times5,1,1,1,1,1
F6,Times6,1,1,1,1,1
F6,Times7,1,1,1,1,1
F6,Times8,1,1,1,1,1
F6,Times9,1,1,1,1,1
F6,Times10,1,1,1,1,1
F7,Times1,0,0,0,0,0
F7,Times2,0,0,0,0,0
F7,Times3,0,0,0,0,0
F7,Times4,0,0,0,0,0
F7,Times5,0,0,0,0,0
F7,Times6,0,0,0,0,0
F7,Times7,0,0,0,0,0
F7,Times8,0,0,0,0,0
F7,Times9,0,0,0,0,0
F7,Times10,0,0,0,0,0
F8,Times1,0,0,0,0,0
F8,Times2,0,0,0,0,0
F8,Times3,0,0,0,0,0
F8,Times4,0,0,0,0,0
F8,Times5,0,0,0,0,0
F8,Times6,0,0,0,0,0
F8,Times7,0,0,0,0,0
F8,Times8,0,0,0,0,0
F8,Times9,0,0,0,0,0
F8,Times10,0,0,0,0,0
F9,Times1,0,0,0,0,0
F9,Times2,0,0,0,0,0
F9,Times3,0,0,0,0,0
F9,Times4,0,0,0,0,0
F9,Times5,0,0,0,0,0
F9,Times6,0,0,0,0,0
F9,Times7,0,0,0,0,0
F9,Times8,0,0,0,0,0
F9,Times9,0,0,0,0,0
F9,Times10,0,0,0,0,0
F10,Times1,1,1,1,1,1
F10,Times2,1,1,1,1,1
F10,Times3,1,1,1,1,1
F10,Times4,1,1,1,1,1
F10,Times5,1,1,1,1,1
F10,Times6,1,1,1,1,1
F10,Times7,1,1,1,1,1
F10,Times8,1,1,1,1,1
F10,Times9,1,1,1,1,1
F10,Times10,1,1,1,1,1
F11,Times1,1,1,1,1,1
F11,Times2,1,1,1,1,1
F11,Times3,1,1,1,1,1
F11,Times4,1,1,1,1,1
F11,Times5,1,1,1,1,1
F11,Times6,1,1,1,1,1
