,,Combination1
F1,Times1,18478.0
F1,Times2,16929.0
F1,Times3,16653.0
F1,Times4,21109.0
F1,Times5,16420.0
F1,Times6,16668.0
F1,Times7,19216.0
F1,Times8,19493.0
F1,Times9,16947.0
F1,Times10,16148.0
F2,Times1,46468.0
F2,Times2,49494.0
F2,Times3,51650.0
F2,Times4,45837.0
F2,Times5,52889.0
F2,Times6,49951.0
F2,Times7,55527.0
F2,Times8,51304.0
F2,Times9,52064.0
F2,Times10,53007.0
F3,Times1,48341.0
F3,Times2,47370.0
F3,Times3,50592.0
F3,Times4,50040.0
F3,Times5,53007.0
F3,Times6,44802.0
F3,Times7,56952.0
F3,Times8,46220.0
F3,Times9,50055.0
F3,Times10,48282.0
F4,Times1,163210.0
F4,Times2,149829.0
F4,Times3,175672.0
F4,Times4,170901.0
F4,Times5,167688.0
F4,Times6,150689.0
F4,Times7,175410.0
F4,Times8,153341.0
F4,Times9,162836.0
F4,Times10,148361.0
F5,Times1,78069.0
F5,Times2,111452.0
F5,Times3,65462.0
F5,Times4,100061.0
F5,Times5,88741.0
F5,Times6,100923.0
F5,Times7,86229.0
F5,Times8,81136.0
F5,Times9,117510.0
F5,Times10,80031.0
F6,Times1,19636.0
F6,Times2,18696.0
F6,Times3,16630.0
F6,Times4,16783.0
F6,Times5,16728.0
F6,Times6,17615.0
F6,Times7,18784.0
F6,Times8,17205.0
F6,Times9,15233.0
F6,Times10,17913.0
F7,Times1,1000199.0
F7,Times2,1000199.0
F7,Times3,1000199.0
F7,Times4,1000199.0
F7,Times5,1000199.0
F7,Times6,1000199.0
F7,Times7,1000199.0
F7,Times8,1000199.0
F7,Times9,1000199.0
F7,Times10,1000199.0
F8,Times1,50622.0
F8,Times2,56051.0
F8,Times3,45869.0
F8,Times4,49363.0
F8,Times5,60528.0
F8,Times6,46279.0
F8,Times7,57958.0
F8,Times8,47569.0
F8,Times9,53028.0
F8,Times10,60518.0
F9,Times1,53408.0
F9,Times2,56739.0
F9,Times3,54191.0
F9,Times4,48332.0
F9,Times5,55037.0
F9,Times6,55203.0
F9,Times7,48334.0
F9,Times8,52410.0
F9,Times9,51117.0
F9,Times10,54859.0
F10,Times1,27029.0
F10,Times2,39395.0
F10,Times3,17949.0
F10,Times4,34718.0
F10,Times5,33241.0
F10,Times6,23488.0
F10,Times7,24456.0
F10,Times8,19276.0
F10,Times9,25807.0
F10,Times10,28448.0
F11,Times1,16660.0
F11,Times2,18424.0
F11,Times3,18486.0
F11,Times4,16893.0
F11,Times5,17919.0
F11,Times6,15898.0
F11,Times7,15607.0
F11,Times8,16455.0
F11,Times9,16888.0
F11,Times10,15173.0
F12,Times1,85397.0
F12,Times2,78070.0
F12,Times3,98069.0
F12,Times4,37222.0
F12,Times5,88772.0
F12,Times6,82414.0
F12,Times7,60804.0
F12,Times8,41941.0
F12,Times9,39426.0
F12,Times10,58894.0
F13,Times1,19126.0
F13,Times2,17062.0
F13,Times3,15564.0
F13,Times4,15253.0
F13,Times5,16730.0
F13,Times6,15783.0
F13,Times7,15298.0
F13,Times8,18035.0
F13,Times9,17318.0
F13,Times10,18390.0
F14,Times1,16163.0
F14,Times2,17297.0
F14,Times3,19581.0
F14,Times4,533.0
F14,Times5,224.0
F14,Times6,18244.0
F14,Times7,15502.0
F14,Times8,240.0
F14,Times9,20612.0
F14,Times10,200.0
F15,Times1,107408.0
F15,Times2,56252.0
F15,Times3,137383.0
F15,Times4,104627.0
F15,Times5,63863.0
F15,Times6,99991.0
F15,Times7,22412.0
F15,Times8,121896.0
F15,Times9,26330.0
F15,Times10,54220.0
F16,Times1,474.0
F16,Times2,524.0
F16,Times3,576.0
F16,Times4,347.0
F16,Times5,371.0
F16,Times6,393.0
F16,Times7,856.0
F16,Times8,526.0
F16,Times9,345.0
F16,Times10,436.0
F17,Times1,339.0
F17,Times2,257.0
F17,Times3,467.0
F17,Times4,277.0
F17,Times5,355.0
F17,Times6,402.0
F17,Times7,307.0
F17,Times8,290.0
F17,Times9,248.0
F17,Times10,309.0
F18,Times1,200.0
F18,Times2,247.0
F18,Times3,276.0
F18,Times4,269.0
F18,Times5,205.0
F18,Times6,294.0
F18,Times7,284.0
F18,Times8,249.0
F18,Times9,294.0
F18,Times10,215.0
F19,Times1,6125.0
F19,Times2,6018.0
F19,Times3,6231.0
F19,Times4,6139.0
F19,Times5,6427.0
F19,Times6,6187.0
F19,Times7,6310.0
F19,Times8,6113.0
F19,Times9,6077.0
F19,Times10,5951.0
F20,Times1,20414.0
F20,Times2,543.0
F20,Times3,23387.0
F20,Times4,21233.0
F20,Times5,19594.0
F20,Times6,795.0
F20,Times7,19470.0
F20,Times8,21376.0
F20,Times9,508.0
F20,Times10,19492.0
F21,Times1,16975.0
F21,Times2,7363.0
F21,Times3,3844.0
F21,Times4,15936.0
F21,Times5,17195.0
F21,Times6,19112.0
F21,Times7,7489.0
F21,Times8,3331.0
F21,Times9,20344.0
F21,Times10,16676.0
F22,Times1,18337.0
F22,Times2,15061.0
F22,Times3,4098.0
F22,Times4,16182.0
F22,Times5,4513.0
F22,Times6,20381.0
F22,Times7,18798.0
F22,Times8,2601.0
F22,Times9,3655.0
F22,Times10,17890.0
F23,Times1,18690.0
F23,Times2,16494.0
F23,Times3,13256.0
F23,Times4,2862.0
F23,Times5,16336.0
F23,Times6,17059.0
F23,Times7,19591.0
F23,Times8,4751.0
F23,Times9,18575.0
F23,Times10,16177.0
