,,Combination1
F1,Times1,0.48537827604810496
F1,Times2,0.49113664775233773
F1,Times3,0.4992926575461143
F1,Times4,0.4661980373182297
F1,Times5,0.48539205205793007
F1,Times6,0.4999525372384323
F1,Times7,0.4984704401072807
F1,Times8,0.43334314619833914
F1,Times9,0.4911452141936903
F1,Times10,0.4823075888554281
F2,Times1,0.4955315299267008
F2,Times2,0.45698168093657887
F2,Times3,0.49938074885348555
F2,Times4,0.5235777526408415
F2,Times5,0.48796524225213533
F2,Times6,0.49317010586611065
F2,Times7,0.49554130356839454
F2,Times8,0.4891843133614377
F2,Times9,0.49223773939606846
F2,Times10,0.49945484339021345
F3,Times1,0.49771387513171655
F3,Times2,0.49521795428793935
F3,Times3,0.4931952634511346
F3,Times4,0.47445198041289577
F3,Times5,0.4425680888048571
F3,Times6,0.5121933895665779
F3,Times7,0.4541742196439334
F3,Times8,0.41952479551517347
F3,Times9,0.4930578592758683
F3,Times10,0.498274007380636
F4,Times1,0.49223143897323485
F4,Times2,0.49563425869386935
F4,Times3,0.45769295796998843
F4,Times4,0.49911051488999036
F4,Times5,0.4661511808635138
F4,Times6,0.4989409015242026
F4,Times7,0.47132109854967574
F4,Times8,0.4950823746137907
F4,Times9,0.47125314657827494
F4,Times10,0.4815277506491157
F5,Times1,140.84247544807556
F5,Times2,147.68674641516947
F5,Times3,477.72646163114126
F5,Times4,8.299130811433432
F5,Times5,93.92806401749502
F5,Times6,151.5258880689042
F5,Times7,99.15245588104642
F5,Times8,145.38248411339572
F5,Times9,90.97145514868276
F5,Times10,200.7156916083939
F6,Times1,0.496726437485421
F6,Times2,0.4875198637076913
F6,Times3,0.49614904898115686
F6,Times4,0.4776324713825324
F6,Times5,0.43891522528943705
F6,Times6,0.48951644238143777
F6,Times7,0.49871970132832844
F6,Times8,0.4715457729713059
F6,Times9,0.4621273259234357
F6,Times10,0.4757955057385606
F7,Times1,43.53397850367438
F7,Times2,46.447826319987115
F7,Times3,54.817698795428285
F7,Times4,52.35438239881671
F7,Times5,35.721966005895105
F7,Times6,39.161353699682756
F7,Times7,42.10255436686297
F7,Times8,44.150330879997824
F7,Times9,53.6251211058516
F7,Times10,47.48350990436656
F8,Times1,-15322.989198258078
F8,Times2,-16229.561735750232
F8,Times3,-15619.145132415624
F8,Times4,-14808.215706552275
F8,Times5,-16050.308956771052
F8,Times6,-16073.264109835749
F8,Times7,-14750.560481807375
F8,Times8,-13980.522403012617
