,,Combination1
F1,Times1,83.9869671167856
F1,Times2,88.18598661994899
F1,Times3,81.98937700170255
F1,Times4,74.90573271278089
F1,Times5,91.30787398156977
F1,Times6,86.06459371857456
F1,Times7,80.98194695811377
F1,Times8,89.26999756522503
F1,Times9,88.17533196445504
F1,Times10,87.51924728783762
F2,Times1,94.17496229260922
F2,Times2,95.11764705882331
F2,Times3,91.67275676598642
F2,Times4,95.11764705882331
F2,Times5,95.11764705882331
F2,Times6,92.55496741512259
F2,Times7,95.11764705882331
F2,Times8,95.11764705882331
F2,Times9,92.7420814479636
F2,Times10,95.07993966817475
F3,Times1,93.76018099547491
F3,Times2,94.7042886820909
F3,Times3,95.11764705882331
F3,Times4,95.11764705882331
F3,Times5,92.81891914966258
F3,Times6,95.11764705882331
F3,Times7,88.47158111752996
F3,Times8,94.28808446455491
F3,Times9,90.32027092404452
F3,Times10,94.6693480811126
F4,Times1,79.57895757525327
F4,Times2,87.3034861562812
F4,Times3,84.62514830026727
F4,Times4,87.54595189541732
F4,Times5,87.8459147010756
F4,Times6,86.13810392410187
F4,Times7,82.59593050640201
F4,Times8,82.58277098097741
F4,Times9,78.00993029717817
F4,Times10,87.23767706030107
F5,Times1,99.0
F5,Times2,99.0
F5,Times3,99.0
F5,Times4,99.0
F5,Times5,99.0
F5,Times6,99.0
F5,Times7,99.0
F5,Times8,99.0
F5,Times9,99.0
F5,Times10,99.0
F6,Times1,83.96367295885376
F6,Times2,87.03865037827298
F6,Times3,84.20479044659774
F6,Times4,82.08266370431217
F6,Times5,82.16066043607738
F6,Times6,85.37350139070452
F6,Times7,77.55009712303773
F6,Times8,85.15420067463764
F6,Times9,75.49267516288283
F6,Times10,76.86350644610035
F7,Times1,73.35189700553146
F7,Times2,57.63605990201995
F7,Times3,67.73201596612776
F7,Times4,74.72420042413475
F7,Times5,65.79635309568049
F7,Times6,80.52813620833308
F7,Times7,77.06858591196082
F7,Times8,57.37804559192758
F7,Times9,65.87378882229822
F7,Times10,79.69642506872955
F8,Times1,99.0
F8,Times2,99.0
F8,Times3,99.0
F8,Times4,99.0
F8,Times5,99.0
F8,Times6,99.0
F8,Times7,99.0
F8,Times8,99.0
F8,Times9,99.0
F8,Times10,99.0
F9,Times1,99.0
F9,Times2,99.0
F9,Times3,99.0
F9,Times4,99.0
F9,Times5,99.0
F9,Times6,99.0
F9,Times7,99.0
F9,Times8,99.0
F9,Times9,99.0
F9,Times10,99.0
F10,Times1,80.81770401249162
F10,Times2,76.7692890888429
F10,Times3,77.1382457252724
F10,Times4,82.92774548468557
F10,Times5,75.34204435158877
F10,Times6,81.51514619820958
F10,Times7,76.77952551001746
F10,Times8,79.07751128606415
F10,Times9,69.5720421892549
F10,Times10,81.96748942963373
F11,Times1,75.68460463637204
F11,Times2,76.51744443094411
F11,Times3,76.83488135619848
F11,Times4,83.02403053514237
F11,Times5,88.65192549876228
F11,Times6,77.93812077057034
F11,Times7,84.32559136563962
F11,Times8,87.09122513118066
F11,Times9,77.28095469558464
F11,Times10,83.4326873979306
F12,Times1,95.00452488687762
F12,Times2,72.06045616814244
F12,Times3,72.49587247167914
F12,Times4,99.0
F12,Times5,78.03215010107611
F12,Times6,55.78129160020948
F12,Times7,99.0
F12,Times8,67.52648799532952
F12,Times9,79.18426646228171
F12,Times10,69.95216105500266
F13,Times1,71.99061569143524
F13,Times2,64.47020182235472
F13,Times3,69.87201499243095
F13,Times4,76.4269989442263
F13,Times5,71.95991268702164
F13,Times6,67.0325373347555
F13,Times7,60.441594208108604
F13,Times8,61.27129317092177
F13,Times9,62.62614006376157
F13,Times10,71.134058802362
F14,Times1,0.0
F14,Times2,0.0
F14,Times3,0.0
F14,Times4,0.0
F14,Times5,0.0
F14,Times6,0.0
F14,Times7,0.0
F14,Times8,0.0
F14,Times9,0.0
F14,Times10,0.0
F15,Times1,6.219047619047624
F15,Times2,14.14285714285713
F15,Times3,25.152380952380913
F15,Times4,99.0
F15,Times5,13.314285714285715
F15,Times6,99.0
F15,Times7,0.0
F15,Times8,21.952380952380917
F15,Times9,22.86666666666666
F15,Times10,8.428571428571427
F16,Times1,0.0
F16,Times2,0.0
F16,Times3,0.0
F16,Times4,0.0
F16,Times5,0.0
F16,Times6,0.0
F16,Times7,0.0
F16,Times8,0.0
F16,Times9,0.0
F16,Times10,0.0
F17,Times1,0.0
F17,Times2,0.0
F17,Times3,0.0
F17,Times4,0.0
F17,Times5,0.0
F17,Times6,0.0
F17,Times7,0.0
F17,Times8,0.0
F17,Times9,0.0
F17,Times10,0.0
F18,Times1,0.0
F18,Times2,0.0
F18,Times3,0.0
F18,Times4,0.0
F18,Times5,0.0
F18,Times6,0.0
F18,Times7,0.0
F18,Times8,0.0
F18,Times9,0.0
F18,Times10,0.0
F19,Times1,99.0
F19,Times2,99.0
F19,Times3,99.0
F19,Times4,99.0
F19,Times5,99.0
F19,Times6,99.0
F19,Times7,99.0
F19,Times8,99.0
F19,Times9,99.0
F19,Times10,99.0
F20,Times1,99.0
F20,Times2,99.0
F20,Times3,99.0
F20,Times4,2.436363636363636
F20,Times5,99.0
F20,Times6,99.0
F20,Times7,99.0
F20,Times8,5.8545454545454545
F20,Times9,99.0
F20,Times10,99.0
F21,Times1,32.047619047619
F21,Times2,99.0
F21,Times3,99.0
F21,Times4,99.0
F21,Times5,57.00000000000009
F21,Times6,99.0
F21,Times7,99.0
F21,Times8,99.0
F21,Times9,99.0
F21,Times10,99.0
F22,Times1,99.0
F22,Times2,99.0
F22,Times3,99.0
F22,Times4,99.0
F22,Times5,99.0
F22,Times6,99.0
F22,Times7,99.0
F22,Times8,99.0
F22,Times9,99.0
F22,Times10,33.20952380952378
F23,Times1,99.0
F23,Times2,99.0
F23,Times3,46.142857142857224
F23,Times4,59.13333333333343
F23,Times5,38.71428571428571
F23,Times6,30.295238095238055
F23,Times7,99.0
F23,Times8,39.66666666666666
F23,Times9,99.0
F23,Times10,99.0
