Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,similarity,,
F1,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F2,100.00%,100.00%,70.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,10.00%,100.00%,90.00%,100.00%,0.00%,100.00%,30.00%,100.00%,90.00%,20.00%,10.00%,,,
F3,100.00%,100.00%,90.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,30.00%,100.00%,100.00%,100.00%,0.00%,80.00%,0.00%,100.00%,90.00%,30.00%,20.00%,,,
F4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
F6,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F7,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
F9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
F10,100.00%,90.00%,100.00%,100.00%,90.00%,100.00%,100.00%,90.00%,100.00%,90.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,90.00%,,,
F11,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F12,70.00%,80.00%,70.00%,70.00%,70.00%,80.00%,30.00%,80.00%,50.00%,20.00%,80.00%,50.00%,90.00%,30.00%,70.00%,40.00%,30.00%,70.00%,40.00%,50.00%,,,
F13,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F14,100.00%,100.00%,40.00%,100.00%,100.00%,100.00%,70.00%,100.00%,20.00%,0.00%,100.00%,40.00%,100.00%,40.00%,40.00%,30.00%,50.00%,70.00%,0.00%,0.00%,,,
F15,30.00%,70.00%,50.00%,50.00%,60.00%,70.00%,30.00%,70.00%,30.00%,10.00%,50.00%,30.00%,60.00%,0.00%,20.00%,0.00%,70.00%,40.00%,10.00%,0.00%,,,
F16,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,100.00%,100.00%,100.00%,90.00%,,,
F17,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F18,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,100.00%,100.00%,100.00%,100.00%,90.00%,100.00%,100.00%,100.00%,60.00%,100.00%,80.00%,80.00%,80.00%,,,
F19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
F20,60.00%,70.00%,30.00%,60.00%,40.00%,40.00%,30.00%,60.00%,40.00%,60.00%,60.00%,40.00%,60.00%,10.00%,40.00%,80.00%,50.00%,50.00%,30.00%,50.00%,,,
F21,20.00%,40.00%,30.00%,10.00%,30.00%,40.00%,10.00%,60.00%,50.00%,50.00%,20.00%,20.00%,40.00%,20.00%,30.00%,10.00%,30.00%,30.00%,10.00%,20.00%,,,
F22,10.00%,30.00%,40.00%,10.00%,30.00%,20.00%,30.00%,40.00%,40.00%,40.00%,0.00%,30.00%,40.00%,30.00%,30.00%,40.00%,50.00%,20.00%,20.00%,30.00%,,,
F23,30.00%,10.00%,10.00%,10.00%,40.00%,30.00%,40.00%,40.00%,30.00%,50.00%,30.00%,40.00%,40.00%,30.00%,10.00%,0.00%,30.00%,20.00%,30.00%,10.00%,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Function,590,593,579,588,589,591,576,587,569,558,592,572,594,542,570,562,575,573,552,555,,,
F1,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,baldwin,,
F2,100.00%,100.00%,70.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,10.00%,100.00%,90.00%,100.00%,0.00%,100.00%,30.00%,100.00%,90.00%,20.00%,10.00%,,,
F3,100.00%,100.00%,90.00%,100.00%,100.00%,100.00%,100.00%,100.00%,90.00%,30.00%,100.00%,100.00%,100.00%,0.00%,80.00%,0.00%,100.00%,90.00%,30.00%,20.00%,,,
F4,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,,,
F5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,
