,,Combination1
F1,Times1,34690.0
F1,Times2,39248.0
F1,Times3,38030.0
F1,Times4,38540.0
F1,Times5,34918.0
F1,Times6,31512.0
F1,Times7,35060.0
F1,Times8,37452.0
F1,Times9,36380.0
F1,Times10,39126.0
F2,Times1,94860.0
F2,Times2,92500.0
F2,Times3,2000398.0
F2,Times4,129204.0
F2,Times5,112898.0
F2,Times6,103598.0
F2,Times7,106082.0
F2,Times8,104972.0
F2,Times9,103980.0
F2,Times10,122750.0
F3,Times1,103872.0
F3,Times2,105866.0
F3,Times3,89430.0
F3,Times4,92444.0
F3,Times5,100340.0
F3,Times6,106548.0
F3,Times7,99600.0
F3,Times8,105334.0
F3,Times9,106434.0
F3,Times10,2000398.0
F4,Times1,309366.0
F4,Times2,352874.0
F4,Times3,308530.0
F4,Times4,315098.0
F4,Times5,295630.0
F4,Times6,369820.0
F4,Times7,361470.0
F4,Times8,289746.0
F4,Times9,290010.0
F4,Times10,294820.0
F5,Times1,2000398.0
F5,Times2,2000398.0
F5,Times3,2000398.0
F5,Times4,2000398.0
F5,Times5,2000398.0
F5,Times6,2000398.0
F5,Times7,2000398.0
F5,Times8,2000398.0
F5,Times9,2000398.0
F5,Times10,2000398.0
F6,Times1,31740.0
F6,Times2,37224.0
F6,Times3,31686.0
F6,Times4,35444.0
F6,Times5,36524.0
F6,Times6,33698.0
F6,Times7,35728.0
F6,Times8,36844.0
F6,Times9,35736.0
F6,Times10,33016.0
F7,Times1,2000398.0
F7,Times2,2000398.0
F7,Times3,2000398.0
F7,Times4,2000398.0
F7,Times5,2000398.0
F7,Times6,2000398.0
F7,Times7,2000398.0
F7,Times8,2000398.0
F7,Times9,2000398.0
F7,Times10,2000398.0
F8,Times1,2000398.0
F8,Times2,2000398.0
F8,Times3,2000398.0
F8,Times4,2000398.0
F8,Times5,2000398.0
F8,Times6,2000398.0
F8,Times7,2000398.0
F8,Times8,2000398.0
F8,Times9,2000398.0
F8,Times10,2000398.0
F9,Times1,2000398.0
F9,Times2,2000398.0
F9,Times3,2000398.0
F9,Times4,2000398.0
F9,Times5,2000398.0
F9,Times6,2000398.0
F9,Times7,2000398.0
F9,Times8,2000398.0
F9,Times9,2000398.0
F9,Times10,2000398.0
F10,Times1,53608.0
F10,Times2,57108.0
F10,Times3,58968.0
F10,Times4,58664.0
F10,Times5,68210.0
F10,Times6,65378.0
F10,Times7,56580.0
F10,Times8,80916.0
F10,Times9,57194.0
F10,Times10,61370.0
F11,Times1,36380.0
F11,Times2,34228.0
F11,Times3,35724.0
F11,Times4,30648.0
F11,Times5,33166.0
