,,Combination1
F1,Times1,0.447028337594173
F1,Times2,0.47605397026044616
F1,Times3,0.482876009072561
F1,Times4,0.493468276498323
F1,Times5,0.49879738452278816
F1,Times6,0.48663032468971423
F1,Times7,0.4845204371240892
F1,Times8,0.4716596964253546
F1,Times9,0.4580898811765811
F1,Times10,0.4828930104174254
F2,Times1,0.5941349357764478
F2,Times2,0.5704229253916402
F2,Times3,0.85909724627243
F2,Times4,0.7055457839659539
F2,Times5,0.6668359413573312
F2,Times6,0.5990803881066102
F2,Times7,0.4939779609646595
F2,Times8,0.49925937081527283
F2,Times9,0.6896294188143673
F2,Times10,0.4889144045530745
F3,Times1,0.5717335803081512
F3,Times2,1.05242913119952
F3,Times3,0.6984286073376769
F3,Times4,0.6537096117912511
F3,Times5,0.5059858340122908
F3,Times6,0.6260661535548949
F3,Times7,0.7114446953382725
F3,Times8,0.5622026186371882
F3,Times9,0.5064194787768039
F3,Times10,0.5146557442196479
F4,Times1,0.49981917631248296
F4,Times2,0.4905523040333831
F4,Times3,0.4943214491799859
F4,Times4,0.48467772356304395
F4,Times5,0.4964037423854992
F4,Times6,0.4861202926140344
F4,Times7,0.4947964047346738
F4,Times8,0.49295618925578344
F4,Times9,0.4843862978780462
F4,Times10,0.4631639345204448
F5,Times1,137.84673778810767
F5,Times2,92.3161275770381
F5,Times3,126.2698581405123
F5,Times4,98.07137551437971
F5,Times5,91.47666077249475
F5,Times6,306.66898552901847
F5,Times7,77.20998924414778
F5,Times8,76.9545973322956
F5,Times9,81.03195374812319
F5,Times10,83.10971118150674
F6,Times1,0.44798375593055945
F6,Times2,0.4525072604733049
F6,Times3,0.48235970379787496
F6,Times4,0.43072196769741267
F6,Times5,0.4831333572606579
F6,Times6,0.4861550333647374
F6,Times7,0.49899029847314585
F6,Times8,0.4656973937496074
F6,Times9,0.47595028058220096
F6,Times10,0.32374737051410185
F7,Times1,72.42817940005514
F7,Times2,87.04373232005112
F7,Times3,67.99561256359523
F7,Times4,57.53209406182422
F7,Times5,52.95902361051164
F7,Times6,73.08263214904092
F7,Times7,50.43294088908975
F7,Times8,68.48685181407768
F7,Times9,62.841254133586126
F7,Times10,58.57536217441141
F8,Times1,-13306.273849254612
F8,Times2,-13760.301477186473
F8,Times3,-15282.008542880974
F8,Times4,-13801.07258103144
F8,Times5,-13386.583281105148
F8,Times6,-11649.44876528946
F8,Times7,-14114.252384465392
F8,Times8,-13543.000337041143
F8,Times9,-13921.411890206524
F8,Times10,-13941.098416745333
F9,Times1,148.2534767149778
F9,Times2,248.74610268534096
F9,Times3,200.9854977549079
F9,Times4,205.96652265172523
F9,Times5,211.93339457287814
F9,Times6,237.80623321816284
F9,Times7,207.95037017411278
F9,Times8,228.8440435457043
F9,Times9,206.95617650362692
F9,Times10,209.94811346469046
F10,Times1,0.45064817291160963
F10,Times2,0.3382915070182335
F10,Times3,0.4756407824583633
F10,Times4,0.42242632127480917
F10,Times5,0.3984112819516987
F10,Times6,0.4938349320888804
F10,Times7,0.42208573225872925
F10,Times8,0.4994965911651441
F10,Times9,0.4540569087560691
F10,Times10,0.4823380927009957
F11,Times1,0.4763860498845498
F11,Times2,0.4991430767538525
F11,Times3,0.4930169247493451
F11,Times4,0.49691434268741885
F11,Times5,0.49992428675404343
F11,Times6,0.4939000426939557
F11,Times7,0.4889996861416417
F11,Times8,0.49373100902910305
F11,Times9,0.49811734355334947
F11,Times10,0.48845727630086766
F12,Times1,6.752436973775766
F12,Times2,0.500994270943314
F12,Times3,0.48939031210400363
F12,Times4,1.8089636271979936
F12,Times5,0.4999884036557339
F12,Times6,0.4756203891646485
F12,Times7,0.6246003088072692
F12,Times8,2.3782210706719176
F12,Times9,2.6282292196064727
F12,Times10,0.4906741096020931
F13,Times1,0.48536977888448735
F13,Times2,0.18672773831327033
F13,Times3,0.49873654683974666
F13,Times4,0.44225842446652913
F13,Times5,0.4876410982532886
F13,Times6,0.47760704941529114
F13,Times7,0.4323175388706978
F13,Times8,0.4886356426271597
F13,Times9,0.4567001947343281
F13,Times10,0.42669403683465845
F14,Times1,1.992030900223155
F14,Times2,7.873992977132526
F14,Times3,1.3009667085438774
F14,Times4,19.23067813044067
F14,Times5,8.8408359627569
F14,Times6,10.763180666783393
F14,Times7,12.670505811136211
F14,Times8,1.0018317095222418
F14,Times9,1.9920309002232008
F14,Times10,1.0069371460936076
F15,Times1,0.00036857853199329674
F15,Times2,0.0004475949091755761
F15,Times3,0.000405144693332346
F15,Times4,0.000790698219288214
F15,Times5,0.000445394256243567
F15,Times6,0.00047949442967566117
F15,Times7,0.020363389626656618
F15,Times8,0.0007751407527120376
