,,Combination1
F1,Times1,93.62745989161073
F1,Times2,87.50882454988991
F1,Times3,81.7499190041979
F1,Times4,92.36500754147792
F1,Times5,89.749205536109
F1,Times6,91.61141308644073
F1,Times7,87.79195696398799
F1,Times8,93.02429399432717
F1,Times9,85.30179687948828
F1,Times10,88.4590119873138
F2,Times1,99.0
F2,Times2,99.0
F2,Times3,99.0
F2,Times4,99.0
F2,Times5,99.0
F2,Times6,99.0
F2,Times7,99.0
F2,Times8,99.0
F2,Times9,93.34539969834073
F2,Times10,92.6289592760179
F3,Times1,99.0
F3,Times2,95.11764705882331
F3,Times3,99.0
F3,Times4,99.0
F3,Times5,99.0
F3,Times6,99.0
F3,Times7,92.36500754147792
F3,Times8,99.0
F3,Times9,95.07993966817475
F3,Times10,99.0
F4,Times1,90.53750918789754
F4,Times2,89.80407852105952
F4,Times3,94.29235322576035
F4,Times4,83.82693105930443
F4,Times5,93.95440963032509
F4,Times6,89.89087666557135
F4,Times7,93.9571764199953
F4,Times8,93.13891813780803
F4,Times9,88.31060518796356
F4,Times10,93.84682103771983
F5,Times1,99.0
F5,Times2,99.0
F5,Times3,99.0
F5,Times4,99.0
F5,Times5,99.0
F5,Times6,99.0
F5,Times7,99.0
F5,Times8,99.0
F5,Times9,99.0
F5,Times10,99.0
F6,Times1,85.74573993441919
F6,Times2,94.7782805429862
F6,Times3,87.89000192884751
F6,Times4,87.55710179572539
F6,Times5,89.07221162937034
F6,Times6,90.20809736569991
F6,Times7,94.02413273001487
F6,Times8,86.7465560295748
F6,Times9,91.7744955747174
F6,Times10,89.70795234280247
F7,Times1,77.88171476436337
F7,Times2,85.67241976555579
F7,Times3,83.67278309103679
F7,Times4,76.27271169263112
F7,Times5,85.63347045888027
F7,Times6,79.82694297655543
F7,Times7,72.83890809854464
F7,Times8,82.3991850784585
F7,Times9,84.20380255005892
F7,Times10,72.123578139077
F8,Times1,99.0
F8,Times2,99.0
F8,Times3,99.0
F8,Times4,99.0
F8,Times5,99.0
F8,Times6,99.0
F8,Times7,99.0
F8,Times8,99.0
F8,Times9,99.0
F8,Times10,99.0
F9,Times1,99.0
F9,Times2,99.0
F9,Times3,99.0
F9,Times4,99.0
F9,Times5,99.0
F9,Times6,99.0
F9,Times7,99.0
F9,Times8,99.0
F9,Times9,99.0
F9,Times10,99.0
F10,Times1,99.0
F10,Times2,89.59019438653168
F10,Times3,78.7700876130127
F10,Times4,81.37486871375314
F10,Times5,84.94826009406299
F10,Times6,81.6644808903994
F10,Times7,84.98707568650315
F10,Times8,88.57507629871651
F10,Times9,88.02892351615985
F10,Times10,85.64097507095713
F11,Times1,89.82826241871743
F11,Times2,92.26042289194326
F11,Times3,83.89356397292023
F11,Times4,93.26998491704359
F11,Times5,89.54643937884777
F11,Times6,90.55830538516437
F11,Times7,90.88061359038042
F11,Times8,91.34327164182872
F11,Times9,88.66351726951046
F11,Times10,89.58991750223717
F12,Times1,99.0
F12,Times2,79.21433303671225
F12,Times3,80.21741120584592
F12,Times4,91.2332669591269
F12,Times5,99.0
F12,Times6,99.0
F12,Times7,99.0
F12,Times8,99.0
F12,Times9,99.0
F12,Times10,77.26285768054632
F13,Times1,83.45613001630205
F13,Times2,84.67455919342716
F13,Times3,78.48480250264798
F13,Times4,82.08575994419711
F13,Times5,84.66319744364606
F13,Times6,81.70219539503512
F13,Times7,85.46172513996932
F13,Times8,65.4946651118021
F13,Times9,80.23583663377812
F13,Times10,69.8882008111706
F14,Times1,99.0
F14,Times2,99.0
F14,Times3,99.0
F14,Times4,99.0
F14,Times5,99.0
F14,Times6,99.0
F14,Times7,99.0
F14,Times8,99.0
F14,Times9,99.0
F14,Times10,99.0
F15,Times1,99.0
F15,Times2,99.0
F15,Times3,38.409523809523805
F15,Times4,99.0
F15,Times5,99.0
F15,Times6,99.0
F15,Times7,99.0
F15,Times8,99.0
F15,Times9,99.0
F15,Times10,99.0
F16,Times1,8.666666666666664
F16,Times2,4.999999999999999
F16,Times3,8.999999999999998
F16,Times4,0.6666666666666666
F16,Times5,4.333333333333333
F16,Times6,0.0
F16,Times7,7.33333333333333
F16,Times8,4.333333333333333
F16,Times9,12.000000000000004
F16,Times10,15.666666666666677
F17,Times1,1.3333333333333333
F17,Times2,1.9999999999999998
F17,Times3,5.333333333333332
F17,Times4,1.0
F17,Times5,2.333333333333333
F17,Times6,7.666666666666663
F17,Times7,4.999999999999999
F17,Times8,0.0
F17,Times9,5.999999999999998
F17,Times10,6.333333333333331
F18,Times1,1.0
F18,Times2,99.0
F18,Times3,99.0
F18,Times4,0.3333333333333333
F18,Times5,0.0
F18,Times6,1.3333333333333333
F18,Times7,3.666666666666667
F18,Times8,0.0
F18,Times9,0.3333333333333333
F18,Times10,0.0
F19,Times1,99.0
F19,Times2,99.0
F19,Times3,99.0
F19,Times4,99.0
F19,Times5,99.0
F19,Times6,99.0
F19,Times7,99.0
F19,Times8,99.0
F19,Times9,99.0
F19,Times10,99.0
F20,Times1,99.0
F20,Times2,99.0
F20,Times3,12.921212121212138
F20,Times4,99.0
F20,Times5,99.0
F20,Times6,5.224242424242423
F20,Times7,5.848484848484847
F20,Times8,99.0
F20,Times9,99.0
F20,Times10,99.0
F21,Times1,99.0
F21,Times2,99.0
F21,Times3,99.0
F21,Times4,99.0
F21,Times5,99.0
F21,Times6,99.0
F21,Times7,59.4000000000001
F21,Times8,99.0
F21,Times9,99.0
F21,Times10,99.0
F22,Times1,39.66666666666666
F22,Times2,99.0
F22,Times3,99.0
F22,Times4,99.0
F22,Times5,42.066666666666706
F22,Times6,99.0
F22,Times7,99.0
F22,Times8,99.0
F22,Times9,99.0
F22,Times10,99.0
F23,Times1,59.4000000000001
F23,Times2,59.4000000000001
F23,Times3,99.0
F23,Times4,99.0
F23,Times5,99.0
F23,Times6,99.0
F23,Times7,99.0
F23,Times8,99.0
F23,Times9,99.0
F23,Times10,36.73333333333332
