,,Combination1
F1,Times1,15561.0
F1,Times2,14594.0
F1,Times3,14119.0
F1,Times4,14296.0
F1,Times5,16193.0
F1,Times6,14933.0
F1,Times7,15948.0
F1,Times8,15405.0
F1,Times9,16872.0
F1,Times10,18012.0
F2,Times1,60040.0
F2,Times2,54734.0
F2,Times3,66914.0
F2,Times4,68073.0
F2,Times5,61069.0
F2,Times6,78462.0
F2,Times7,61262.0
F2,Times8,65030.0
F2,Times9,59746.0
F2,Times10,61450.0
F3,Times1,59219.0
F3,Times2,43762.0
F3,Times3,81685.0
F3,Times4,62240.0
F3,Times5,73521.0
F3,Times6,62441.0
F3,Times7,63265.0
F3,Times8,59323.0
F3,Times9,63033.0
F3,Times10,60557.0
F4,Times1,91888.0
F4,Times2,99760.0
F4,Times3,100174.0
F4,Times4,112819.0
F4,Times5,95634.0
F4,Times6,94486.0
F4,Times7,98716.0
F4,Times8,94248.0
F4,Times9,114541.0
F4,Times10,100266.0
F5,Times1,1000099.0
F5,Times2,1000099.0
F5,Times3,1000099.0
F5,Times4,1000099.0
F5,Times5,1000099.0
F5,Times6,1000099.0
F5,Times7,1000099.0
F5,Times8,1000099.0
F5,Times9,1000099.0
F5,Times10,1000099.0
F6,Times1,14430.0
F6,Times2,14446.0
F6,Times3,14540.0
F6,Times4,13814.0
F6,Times5,14203.0
F6,Times6,14040.0
F6,Times7,14744.0
F6,Times8,14201.0
F6,Times9,15716.0
F6,Times10,14355.0
F7,Times1,1000099.0
F7,Times2,1000099.0
F7,Times3,1000099.0
F7,Times4,1000099.0
F7,Times5,1000099.0
F7,Times6,1000099.0
F7,Times7,1000099.0
F7,Times8,1000099.0
F7,Times9,1000099.0
F7,Times10,1000099.0
F8,Times1,1000099.0
F8,Times2,1000099.0
F8,Times3,1000099.0
F8,Times4,1000099.0
F8,Times5,1000099.0
F8,Times6,1000099.0
F8,Times7,1000099.0
F8,Times8,1000099.0
F8,Times9,1000099.0
F8,Times10,1000099.0
F9,Times1,1000099.0
F9,Times2,1000099.0
F9,Times3,1000099.0
F9,Times4,1000099.0
F9,Times5,1000099.0
F9,Times6,1000099.0
F9,Times7,1000099.0
F9,Times8,1000099.0
F9,Times9,1000099.0
F9,Times10,1000099.0
F10,Times1,47344.0
F10,Times2,27373.0
F10,Times3,29390.0
F10,Times4,32627.0
F10,Times5,28112.0
F10,Times6,33891.0
F10,Times7,34781.0
F10,Times8,29877.0
F10,Times9,18478.0
F10,Times10,33282.0
F11,Times1,16249.0
F11,Times2,14955.0
F11,Times3,14691.0
F11,Times4,15208.0
F11,Times5,12909.0
F11,Times6,13438.0
F11,Times7,12632.0
F11,Times8,13959.0
F11,Times9,13671.0
F11,Times10,14769.0
F12,Times1,47792.0
F12,Times2,167838.0
F12,Times3,57753.0
F12,Times4,130680.0
F12,Times5,112712.0
F12,Times6,31476.0
F12,Times7,32561.0
F12,Times8,233316.0
F12,Times9,169325.0
F12,Times10,114491.0
F13,Times1,10814.0
F13,Times2,12191.0
F13,Times3,11925.0
F13,Times4,10047.0
F13,Times5,11732.0
F13,Times6,10578.0
F13,Times7,12197.0
F13,Times8,11615.0
F13,Times9,10969.0
F13,Times10,12146.0
F14,Times1,1000099.0
F14,Times2,1000099.0
F14,Times3,142.0
F14,Times4,539.0
F14,Times5,1000099.0
F14,Times6,1000099.0
F14,Times7,1000099.0
F14,Times8,1000099.0
F14,Times9,1000099.0
F14,Times10,1000099.0
F15,Times1,1000099.0
F15,Times2,36520.0
F15,Times3,26498.0
F15,Times4,67825.0
F15,Times5,1000099.0
F15,Times6,59069.0
F15,Times7,1000099.0
F15,Times8,1000099.0
F15,Times9,1000099.0
F15,Times10,1000099.0
F16,Times1,1155.0
F16,Times2,2000.0
F16,Times3,2176.0
F16,Times4,1000099.0
F16,Times5,859.0
F16,Times6,1584.0
F16,Times7,215.0
F16,Times8,1267.0
F16,Times9,1121.0
F16,Times10,217.0
F17,Times1,239.0
F17,Times2,163.0
F17,Times3,133.0
F17,Times4,248.0
F17,Times5,328.0
F17,Times6,353.0
F17,Times7,223.0
F17,Times8,318.0
F17,Times9,244.0
F17,Times10,152.0
F18,Times1,125.0
F18,Times2,130.0
F18,Times3,123.0
F18,Times4,124.0
F18,Times5,139.0
F18,Times6,132.0
F18,Times7,146.0
F18,Times8,126.0
F18,Times9,128.0
F18,Times10,1000099.0
