,,Combination1
F1,Times1,0.47060453233783667
F1,Times2,0.4674464371437964
F1,Times3,0.4736036343658876
F1,Times4,0.4988587674063709
F1,Times5,0.4752954938457043
F1,Times6,0.49982899231180894
F1,Times7,0.4659971059466902
F1,Times8,0.48044293476052796
F1,Times9,0.49515396327327993
F1,Times10,0.49829248751404964
F2,Times1,0.4871227223707389
F2,Times2,0.47106909727258417
F2,Times3,0.4949397581240683
F2,Times4,0.49781035520202543
F2,Times5,0.4970716556648194
F2,Times6,0.49963384637505553
F2,Times7,0.4951488738948951
F2,Times8,0.4984705294810537
F2,Times9,0.49196634456589566
F2,Times10,0.499489500368413
F3,Times1,0.48765719748425096
F3,Times2,0.49908525540836485
F3,Times3,0.46825068966255234
F3,Times4,0.4962381123418475
F3,Times5,0.47469556452894857
F3,Times6,0.4953203791072544
F3,Times7,0.465957747414929
F3,Times8,0.4734864364450424
F3,Times9,0.43716436756023536
F3,Times10,0.4582312326084806
F4,Times1,0.4557054055039317
F4,Times2,0.49433047977875094
F4,Times3,0.4959601754566289
F4,Times4,0.4995381242844623
F4,Times5,0.4880716870838322
F4,Times6,0.4827950538342951
F4,Times7,0.49323557870649115
F4,Times8,0.49640735319781737
F4,Times9,0.49417315263699946
F4,Times10,0.49872965407411685
F5,Times1,94.3669365451752
F5,Times2,31.99855311504448
F5,Times3,46.50718017379897
F5,Times4,89.64464958152159
F5,Times5,247.17278492688942
F5,Times6,89.13481081602264
F5,Times7,99.58770990811573
F5,Times8,80.88054346626927
F5,Times9,147.31776005566635
F5,Times10,91.0585495664586
F6,Times1,0.4991736990133112
F6,Times2,0.49959722732236395
F6,Times3,0.41102162531350894
F6,Times4,0.46564543178064954
F6,Times5,0.478995099814882
F6,Times6,0.4821277433733981
F6,Times7,0.49771066451045615
F6,Times8,0.49479278266834836
F6,Times9,0.49999934149985864
F6,Times10,0.4922209412166275
F7,Times1,40.55186387445898
F7,Times2,38.605103673610294
F7,Times3,37.9667760413695
F7,Times4,42.82300062274904
F7,Times5,50.71402776403957
F7,Times6,42.7242226665813
F7,Times7,49.626111129101375
F7,Times8,40.10275221338068
F7,Times9,38.667246748752575
F7,Times10,47.18582792014575
F8,Times1,-13781.600384250718
F8,Times2,-14313.088483425327
F8,Times3,-14055.1330515788
F8,Times4,-14846.399421857393
F8,Times5,-13210.66546438948
F8,Times6,-15695.151218232319
F8,Times7,-14158.283058508414
F8,Times8,-14390.6754594873
F8,Times9,-13222.8702137457
F8,Times10,-14117.08651865154
F9,Times1,165.16281356802543
F9,Times2,225.85462284425887
F9,Times3,206.95085838091316
F9,Times4,237.7942619448895
F9,Times5,168.14763092301058
F9,Times6,210.93060986175513
F9,Times7,155.21312778042605
F9,Times8,182.0766460820417
F9,Times9,225.85480377646846
F9,Times10,163.17266163161094
F10,Times1,0.4889615425346392
F10,Times2,0.47510038203043337
F10,Times3,0.49417584876791665
F10,Times4,0.49653349982716577
F10,Times5,0.490539822488536
F10,Times6,0.49648308621312154
F10,Times7,0.4935315280701609
F10,Times8,0.49056320545992804
F10,Times9,0.49919449641151914
F10,Times10,0.4889576642849427
F11,Times1,0.4914615226862502
F11,Times2,0.4693785858692068
F11,Times3,0.4975883836334024
F11,Times4,0.4994694177071639
F11,Times5,0.4985564294615251
F11,Times6,0.4936525731954139
