,,590,593,579,588,589
F1,Times1,15035,20042,18140,15979,12405
F1,Times2,17349,17553,16763,14706,11053
F1,Times3,19588,19818,17536,13995,13187
F1,Times4,17727,16810,19179,15963,11961
F1,Times5,18097,18754,19334,13621,12701
F1,Times6,18680,17217,19669,15276,12786
F1,Times7,17545,20838,17634,16090,12340
F1,Times8,19865,18859,18334,16553,13051
F1,Times9,20539,18051,18287,14879,13232
F1,Times10,16779,18041,16253,16169,12113
F2,Times1,74691,68137,55462,60801,49857
F2,Times2,67834,76701,51060,56089,55811
F2,Times3,72496,64560,45589,58276,51815
F2,Times4,74126,69404,69891,51647,77244
F2,Times5,78564,66541,58420,68364,67683
F2,Times6,69182,69269,48572,60545,47181
F2,Times7,82057,70065,52259,63692,58920
F2,Times8,72795,74473,45365,82250,69145
F2,Times9,71333,73375,61525,70534,50049
F2,Times10,78263,67009,48902,61394,67668
F3,Times1,75621,61532,57392,61986,56986
F3,Times2,72155,76211,40351,70609,54264
F3,Times3,57853,58671,45196,63798,51081
F3,Times4,62991,62057,57900,65640,89510
F3,Times5,59783,61050,46682,60975,59169
F3,Times6,63531,66420,51038,67000,70551
F3,Times7,64245,57713,47434,59218,52010
F3,Times8,59055,72704,52523,70238,51241
F3,Times9,66886,52847,51218,73982,46148
F3,Times10,62861,80731,47496,56618,55106
F4,Times1,106198,101667,172658,78945,103103
F4,Times2,109905,106964,175553,102533,92292
F4,Times3,97975,83554,165366,102151,91852
F4,Times4,115763,92777,179156,118659,88333
F4,Times5,123044,105226,160698,94413,84723
F4,Times6,98392,103797,157038,90303,109274
F4,Times7,115635,102572,171759,98363,94640
F4,Times8,107705,101398,167157,94025,100047
F4,Times9,84915,114746,150874,99763,96420
F4,Times10,116058,90618,159690,105042,84829
F5,Times1,1000099,1000099,1000199,1000099,1000099
F5,Times2,1000099,1000099,1000199,1000099,1000099
F5,Times3,1000099,1000099,1000199,1000099,1000099
F5,Times4,1000099,1000099,1000199,1000099,1000099
F5,Times5,1000099,1000099,1000199,1000099,1000099
F5,Times6,1000099,1000099,1000199,1000099,1000099
F5,Times7,1000099,1000099,1000199,1000099,1000099
F5,Times8,1000099,1000099,1000199,1000099,1000099
F5,Times9,1000099,1000099,1000199,1000099,1000099
F5,Times10,1000099,1000099,1000199,1000099,1000099
F6,Times1,16814,17154,17432,14682,11653
F6,Times2,17600,16105,17289,16050,12089
F6,Times3,19702,17290,17478,14489,12890
F6,Times4,18257,16519,18844,14859,13081
F6,Times5,17116,15944,16449,13537,13110
F6,Times6,16265,17010,18506,12076,14455
F6,Times7,16583,16752,16456,14111,13051
F6,Times8,16621,15010,18117,14457,13524
F6,Times9,17219,17718,16293,11971,11628
F6,Times10,14494,15783,18666,13595,11520
F7,Times1,1000099,1000099,1000199,1000099,1000099
F7,Times2,1000099,1000099,1000199,1000099,1000099
F7,Times3,1000099,1000099,1000199,1000099,1000099
F7,Times4,1000099,1000099,1000199,1000099,1000099
F7,Times5,1000099,1000099,1000199,1000099,1000099
F7,Times6,1000099,1000099,1000199,1000099,1000099
F7,Times7,1000099,1000099,1000199,1000099,1000099
F7,Times8,1000099,1000099,1000199,1000099,1000099
F7,Times9,1000099,1000099,1000199,1000099,1000099
F7,Times10,1000099,1000099,1000199,1000099,1000099
F8,Times1,1000099,1000099,1000199,1000099,1000099
F8,Times2,1000099,1000099,1000199,1000099,1000099
F8,Times3,1000099,1000099,1000199,1000099,1000099
F8,Times4,1000099,1000099,1000199,1000099,1000099
F8,Times5,1000099,1000099,1000199,1000099,1000099
F8,Times6,1000099,1000099,1000199,1000099,1000099
F8,Times7,1000099,1000099,1000199,1000099,1000099
F8,Times8,1000099,1000099,1000199,1000099,1000099
F8,Times9,1000099,1000099,1000199,1000099,1000099
F8,Times10,1000099,1000099,1000199,1000099,1000099
F9,Times1,1000099,1000099,1000199,1000099,1000099
F9,Times2,1000099,1000099,1000199,1000099,1000099
