Function,590,593,579,588,589,591,576,587,569,558
F1,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F2,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F3,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F7,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F13,20%,20%,80%,0%,30%,20%,70%,0%,60%,50%
F14,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F15,70%,60%,50%,40%,40%,50%,0%,30%,0%,10%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,70%,90%,100%,70%,70%,60%,100%,80%,100%,100%
F19,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F20,40%,50%,30%,40%,50%,30%,20%,30%,40%,50%
F21,80%,70%,70%,80%,100%,70%,40%,80%,50%,90%
F22,90%,90%,70%,90%,60%,90%,90%,70%,80%,70%
F23,80%,70%,90%,90%,100%,80%,80%,100%,90%,80%
