,,Combination1
F1,Times1,2000398.0
F1,Times2,2000398.0
F1,Times3,2000398.0
F1,Times4,2000398.0
F1,Times5,2000398.0
F1,Times6,2000398.0
F1,Times7,2000398.0
F1,Times8,2000398.0
F1,Times9,2000398.0
F1,Times10,2000398.0
F2,Times1,2000398.0
F2,Times2,2000398.0
F2,Times3,2000398.0
F2,Times4,2000398.0
F2,Times5,2000398.0
F2,Times6,2000398.0
F2,Times7,2000398.0
F2,Times8,2000398.0
F2,Times9,2000398.0
F2,Times10,2000398.0
F3,Times1,2000398.0
F3,Times2,2000398.0
F3,Times3,2000398.0
F3,Times4,2000398.0
F3,Times5,2000398.0
F3,Times6,2000398.0
F3,Times7,2000398.0
F3,Times8,2000398.0
F3,Times9,2000398.0
F3,Times10,2000398.0
F4,Times1,2000398.0
F4,Times2,2000398.0
F4,Times3,2000398.0
F4,Times4,2000398.0
F4,Times5,2000398.0
F4,Times6,2000398.0
F4,Times7,2000398.0
F4,Times8,2000398.0
F4,Times9,2000398.0
F4,Times10,2000398.0
F5,Times1,2000398.0
F5,Times2,2000398.0
F5,Times3,2000398.0
F5,Times4,2000398.0
F5,Times5,2000398.0
F5,Times6,2000398.0
F5,Times7,2000398.0
F5,Times8,2000398.0
F5,Times9,2000398.0
F5,Times10,2000398.0
F6,Times1,2000398.0
F6,Times2,2000398.0
F6,Times3,2000398.0
F6,Times4,2000398.0
F6,Times5,2000398.0
F6,Times6,2000398.0
F6,Times7,2000398.0
F6,Times8,2000398.0
F6,Times9,2000398.0
F6,Times10,2000398.0
F7,Times1,25424.0
F7,Times2,23850.0
F7,Times3,25596.0
F7,Times4,21128.0
F7,Times5,23934.0
F7,Times6,26142.0
F7,Times7,28320.0
F7,Times8,24578.0
F7,Times9,23144.0
F7,Times10,24020.0
F8,Times1,2000398.0
F8,Times2,2000398.0
F8,Times3,2000398.0
F8,Times4,2000398.0
F8,Times5,2000398.0
F8,Times6,2000398.0
F8,Times7,2000398.0
F8,Times8,2000398.0
F8,Times9,2000398.0
F8,Times10,2000398.0
F9,Times1,2000398.0
F9,Times2,2000398.0
F9,Times3,2000398.0
F9,Times4,2000398.0
F9,Times5,2000398.0
F9,Times6,2000398.0
F9,Times7,2000398.0
F9,Times8,2000398.0
F9,Times9,2000398.0
F9,Times10,2000398.0
F10,Times1,2000398.0
F10,Times2,2000398.0
F10,Times3,2000398.0
F10,Times4,2000398.0
F10,Times5,2000398.0
F10,Times6,2000398.0
F10,Times7,2000398.0
F10,Times8,2000398.0
F10,Times9,2000398.0
F10,Times10,2000398.0
F11,Times1,2000398.0
F11,Times2,2000398.0
F11,Times3,2000398.0
F11,Times4,2000398.0
F11,Times5,2000398.0
F11,Times6,2000398.0
F11,Times7,2000398.0
F11,Times8,2000398.0
F11,Times9,2000398.0
F11,Times10,2000398.0
F12,Times1,284624.0
F12,Times2,288194.0
F12,Times3,332586.0
F12,Times4,307706.0
F12,Times5,550558.0
F12,Times6,310792.0
F12,Times7,221342.0
F12,Times8,423488.0
F12,Times9,346796.0
F12,Times10,811642.0
F13,Times1,2000398.0
F13,Times2,2000398.0
F13,Times3,2000398.0
F13,Times4,2000398.0
F13,Times5,2000398.0
F13,Times6,2000398.0
F13,Times7,2000398.0
F13,Times8,1780654.0
F13,Times9,1673896.0
F13,Times10,2000398.0
F14,Times1,2000398.0
F14,Times2,2000398.0
F14,Times3,2000398.0
F14,Times4,2000398.0
F14,Times5,2000398.0
F14,Times6,2000398.0
F14,Times7,2000398.0
F14,Times8,2000398.0
F14,Times9,2000398.0
F14,Times10,2000398.0
F15,Times1,2000398.0
F15,Times2,2000398.0
F15,Times3,2000398.0
F15,Times4,2000398.0
F15,Times5,2000398.0
F15,Times6,2000398.0
F15,Times7,2000398.0
F15,Times8,2000398.0
F15,Times9,1076508.0
F15,Times10,2000398.0
F16,Times1,19078.0
F16,Times2,3384.0
F16,Times3,4170.0
F16,Times4,5650.0
F16,Times5,7200.0
F16,Times6,5488.0
F16,Times7,5342.0
F16,Times8,3794.0
F16,Times9,5986.0
F16,Times10,8882.0
F17,Times1,11334.0
F17,Times2,3000.0
F17,Times3,2620.0
F17,Times4,1816.0
F17,Times5,5490.0
F17,Times6,1368.0
F17,Times7,1030.0
F17,Times8,2148.0
F17,Times9,6502.0
F17,Times10,1576.0
F18,Times1,22676.0
F18,Times2,12376.0
F18,Times3,10856.0
F18,Times4,8994.0
F18,Times5,3966.0
F18,Times6,8208.0
F18,Times7,13704.0
F18,Times8,9598.0
F18,Times9,3720.0
F18,Times10,20184.0
F19,Times1,1956.0
F19,Times2,772.0
F19,Times3,2000398.0
F19,Times4,2000398.0
F19,Times5,2000398.0
F19,Times6,2000398.0
F19,Times7,2000398.0
F19,Times8,2000398.0
F19,Times9,2000398.0
F19,Times10,2000398.0
F20,Times1,2000398.0
F20,Times2,2000398.0
F20,Times3,2000398.0
F20,Times4,2000398.0
F20,Times5,2000398.0
F20,Times6,5006.0
F20,Times7,2000398.0
F20,Times8,2000398.0
F20,Times9,2000398.0
F20,Times10,2000398.0
F21,Times1,2000398.0
F21,Times2,70546.0
F21,Times3,1988284.0
F21,Times4,2000398.0
F21,Times5,119982.0
F21,Times6,2000398.0
F21,Times7,2000398.0
F21,Times8,83960.0
F21,Times9,52168.0
F21,Times10,2000398.0
F22,Times1,2000398.0
F22,Times2,191324.0
F22,Times3,49910.0
F22,Times4,2000398.0
F22,Times5,2000398.0
F22,Times6,2000398.0
F22,Times7,64894.0
F22,Times8,2000398.0
F22,Times9,2000398.0
