,,Combination1
F1,Times1,0.0019260538376201437
F1,Times2,0.0024393158327225086
F1,Times3,0.0026203719297040987
F1,Times4,0.0025584791951097354
F1,Times5,0.001725889619962882
F1,Times6,0.0026116895688478724
F1,Times7,0.002689304785320124
F1,Times8,0.0014783890469135983
F1,Times9,0.0026305485605789625
F1,Times10,0.0017749028760603808
F2,Times1,0.16714893460604868
F2,Times2,0.2157812488919156
F2,Times3,0.2082581481399392
F2,Times4,0.2835512760733366
F2,Times5,0.2622930766220542
F2,Times6,0.2728469625498325
F2,Times7,0.24832377093693586
F2,Times8,0.26656260600165205
F2,Times9,0.1813400180938624
F2,Times10,0.23334695407719405
F3,Times1,0.11163993377171184
F3,Times2,0.1253070947872216
F3,Times3,0.09783019224170761
F3,Times4,0.14335793987503395
F3,Times5,0.05197605164066212
F3,Times6,0.08253662343531647
F3,Times7,0.0876360804908397
F3,Times8,0.0904978011371604
F3,Times9,0.09005263945374999
F3,Times10,0.09775606879329057
F4,Times1,0.19322083534098078
F4,Times2,0.2420188229764042
F4,Times3,0.1839641919938848
F4,Times4,0.2406782290288828
F4,Times5,0.19248171393193125
F4,Times6,0.18585352738543315
F4,Times7,0.2439086725722871
F4,Times8,0.2685068817875673
F4,Times9,0.21882052469643543
F4,Times10,0.2073410054321842
F5,Times1,174.326141623487
F5,Times2,72.83984892270047
F5,Times3,93.49687799198134
F5,Times4,44.122814825314975
F5,Times5,152.85056193127753
F5,Times6,131.69666912475384
F5,Times7,162.2710493993982
F5,Times8,147.52622348136745
F5,Times9,25.54772117781667
F5,Times10,85.30449837771789
F6,Times1,0.0009722256513490096
F6,Times2,0.0015329180293491046
F6,Times3,0.001938834930079936
F6,Times4,0.002232850911689068
F6,Times5,0.0016178365772906102
F6,Times6,0.0018335121077368449
F6,Times7,0.0016911684599189806
F6,Times8,0.00282756739755347
F6,Times9,0.002204061779521047
F6,Times10,0.0019060638594571469
F7,Times1,9.775974010198937e-05
F7,Times2,9.51927099783198e-05
F7,Times3,9.746127454989014e-05
F7,Times4,9.712266014429406e-05
F7,Times5,8.457572497080428e-05
F7,Times6,9.659635531642317e-05
F7,Times7,9.514341111859073e-05
F7,Times8,9.825898998908631e-05
F7,Times9,9.983906792908684e-05
F7,Times10,9.941933485703715e-05
F8,Times1,-18106.617574078256
F8,Times2,-17988.179581800647
F8,Times3,-18225.05513326978
F8,Times4,-18225.050335427088
F8,Times5,-18935.685809584276
F8,Times6,-18225.05527173075
F8,Times7,-18106.617626720188
F8,Times8,-18580.36682388508
F8,Times9,-18461.93042805543
F8,Times10,-18698.807076685473
F9,Times1,0.0012350147255748567
F9,Times2,0.0007132927103405962
F9,Times3,0.0010096395825893723
F9,Times4,0.0009918723216681968
F9,Times5,0.0008915493447663181
F9,Times6,0.0009047823028947022
F9,Times7,0.0013142595494084475
F9,Times8,0.0006934655032644343
F9,Times9,0.0007583360597891442
F9,Times10,0.0017640722407659126
F10,Times1,0.010956860962771486
F10,Times2,0.009634247057604739
F10,Times3,0.009422164290047164
F10,Times4,0.007394054437302344
F10,Times5,0.010190109037257145
F10,Times6,0.009887652070958097
F10,Times7,0.009472795189989114
F10,Times8,0.012102446937937827
F10,Times9,0.009324938422555107
F10,Times10,0.009507165892038927
F11,Times1,0.008527095828289144
F11,Times2,0.0022188327297612
F11,Times3,0.07853051733545002
F11,Times4,0.011916336565330643
F11,Times5,0.003857102563292192
