,,Combination1
F1,Times1,39.44737913986238
F1,Times2,28.484947313521786
F1,Times3,2.3310109663639342
F1,Times4,9.85588960585922
F1,Times5,27.652917945142498
F1,Times6,33.425197865713926
F1,Times7,28.735740739378986
F1,Times8,28.318695522229515
F1,Times9,25.505177208738356
F1,Times10,36.12528150263672
F2,Times1,17.700182984153777
F2,Times2,3.3247575336964754
F2,Times3,5.670989227404414
F2,Times4,2.3901420572674184
F2,Times5,22.98437227153989
F2,Times6,20.900501233813376
F2,Times7,26.486910418445483
F2,Times8,44.10865523793076
F2,Times9,31.67213564895773
F2,Times10,0.0
F3,Times1,19.540079793371522
F3,Times2,12.622124773910254
F3,Times3,2.6472585705272897
F3,Times4,34.19849564595585
F3,Times5,28.199991930629285
F3,Times6,25.420995211190885
F3,Times7,39.762544002985685
F3,Times8,0.0
F3,Times9,21.165619208532195
F3,Times10,24.677765102821148
F4,Times1,10.821061050342866
F4,Times2,32.87392865556126
F4,Times3,25.130984659215365
F4,Times4,40.890413432863234
F4,Times5,9.262977254156361
F4,Times6,22.715220617711456
F4,Times7,0.0
F4,Times8,43.23865998243281
F4,Times9,12.522289818819297
F4,Times10,14.126246895831054
F5,Times1,9.802069729298129
F5,Times2,9.098768480840572
F5,Times3,0.0
F5,Times4,9.138656129707286
F5,Times5,16.847749794709575
F5,Times6,3.31085490739336
F5,Times7,11.844415525984893
F5,Times8,3.5578821276633534
F5,Times9,13.698126642954914
F5,Times10,9.304013964187078
F6,Times1,78.85806112761242
F6,Times2,59.92288398073852
F6,Times3,32.595623793082694
F6,Times4,64.02718849596528
F6,Times5,113.39048842004043
F6,Times6,184.74373182550042
F6,Times7,136.13990198940587
F6,Times8,42.84431183161432
F6,Times9,125.1512833364357
F6,Times10,99.45910479082636
F7,Times1,6.815856459872405
F7,Times2,8.840651403355878
F7,Times3,6.883198798950145
F7,Times4,5.7807992559943395
F7,Times5,4.577977681570516
F7,Times6,3.370889153636082
F7,Times7,7.012160166409267
F7,Times8,5.850883486694776
F7,Times9,4.464110454928531
F7,Times10,7.386108307381876
F8,Times1,0.0
F8,Times2,78.42347610009021
F8,Times3,50.11372740384811
F8,Times4,0.0
F8,Times5,156.8056466720342
F8,Times6,162.0549455787675
F8,Times7,111.70744775989398
F8,Times8,149.84218937915287
F8,Times9,142.95410004587865
F8,Times10,127.10016388229491
F9,Times1,1.3666998043985417
F9,Times2,0.3931304913918736
F9,Times3,1.7737553961974863
F9,Times4,1.8644073221268205
F9,Times5,0.700035058394846
F9,Times6,1.9038070906444646
F9,Times7,0.04751892630642992
F9,Times8,0.8733438707769292
F9,Times9,0.7570371043686828
F9,Times10,0.9552390409254985
F10,Times1,9.681567837165048
F10,Times2,10.75892604766152
F10,Times3,0.0
F10,Times4,6.442844907211522
F10,Times5,9.990619675630331
F10,Times6,14.500736994857876
F10,Times7,16.786838018745918
F10,Times8,4.400850611983826
F10,Times9,5.885230805789669
F10,Times10,12.75941165325523
F11,Times1,112.41338014971211
F11,Times2,176.740066626988
F11,Times3,74.1528025192797
F11,Times4,139.14570823112282
F11,Times5,30.95179127288388
F11,Times6,268.2450859427354
F11,Times7,0.0
F11,Times8,212.9141045078192
F11,Times9,247.09659725863145
F11,Times10,369.5993348846348
F12,Times1,2.3329318900078166
F12,Times2,3.0373537926455474
F12,Times3,1.527647029145014
F12,Times4,0.4756358481651686
F12,Times5,5.890322323209448
F12,Times6,2.37326325322965
F12,Times7,1.5546560257022541
F12,Times8,3.3431341745872625
F12,Times9,11.491078439941491
F12,Times10,4.712847156373241
F13,Times1,14.158552855179499
F13,Times2,0.7466479698589421
F13,Times3,26.411262351987098
F13,Times4,1.2005822470151994
F13,Times5,11.518899546894161
F13,Times6,4.339233441975518
F13,Times7,7.270933573269814
F13,Times8,13.847137414012542
F13,Times9,3.047280853152014
F13,Times10,10.201316133471227
F14,Times1,26.526270936948446
F14,Times2,25.418924630499795
F14,Times3,54.313894026175674
F14,Times4,15.029140451923768
F14,Times5,22.309517248013222
F14,Times6,45.82223153080645
F14,Times7,42.289447080456966
F14,Times8,29.411334383111626
F14,Times9,34.06668476163546
F14,Times10,4046.8239422810034
F15,Times1,1.2495392622287884
F15,Times2,1.0680843338759882
F15,Times3,0.22341676495669027
F15,Times4,1.5303391875665278
F15,Times5,1.032022439896659
F15,Times6,0.0
F15,Times7,0.18286140438396914
F15,Times8,17.405864855585374
F15,Times9,34.0577045433782
F15,Times10,48.66011364762857
F16,Times1,107.7630592679919
F16,Times2,42.27756503385711
F16,Times3,69.14901869676608
F16,Times4,45.8091219781435
F16,Times5,72.27455671040354
F16,Times6,73.51718607299543
F16,Times7,56.35170459630373
F16,Times8,67.38697248420188
F16,Times9,57.25907905479585
F16,Times10,51.699222474125975
F17,Times1,18.135489009186998
F17,Times2,9.274986621953584
F17,Times3,3.417324213284523
F17,Times4,1.956723890622177
F17,Times5,14.55950150771742
F17,Times6,32.90956982182892
F17,Times7,9.047622429582546
F17,Times8,61.01550067267568
F17,Times9,24.99975859011206
F17,Times10,9.152361880005639
F18,Times1,0.8628872602570732
F18,Times2,0.8427352364794675
F18,Times3,0.5929940505244737
F18,Times4,0.4933730487029254
F18,Times5,0.42625265352492103
F18,Times6,0.747008911067238
F18,Times7,0.4628275354085264
F18,Times8,1.0180210408647516
F18,Times9,1.3435207560933575
F18,Times10,1.148254651785627
F19,Times1,0.13515571999800918
F19,Times2,0.060939910103358086
F19,Times3,0.010238818614757839
F19,Times4,0.048847520072332284
F19,Times5,0.10411465434808177
F19,Times6,0.16979749176383793
F19,Times7,0.06336200462555097
F19,Times8,0.16550121571648468
F19,Times9,0.14808530627667132
F19,Times10,0.11200283078930844
F20,Times1,0.11013907825162383
F20,Times2,0.08938660873511836
F20,Times3,0.01906306818856847
F20,Times4,0.07026280697728265
F20,Times5,0.12822326345096913
F20,Times6,0.12835507051027667
F20,Times7,0.18465635263404484
F20,Times8,0.006238698847347325
F20,Times9,0.0
F20,Times10,0.10843343124312657
F21,Times1,2.22483936222549
F21,Times2,0.06095398687138864
F21,Times3,0.17207507837238678
F21,Times4,0.5947086585875293
F21,Times5,0.5410654963204671
F21,Times6,0.1078923961216054
F21,Times7,0.15560703386222885
F21,Times8,0.12108585995473131
F21,Times9,0.11301649074944686
F21,Times10,0.06438673464880873
F22,Times1,0.0548055963990155
F22,Times2,1.4125258158534013
F22,Times3,0.060267821958168266
F22,Times4,0.13855568599609613
F22,Times5,0.09550802276461262
F22,Times6,0.08568315248649237
F22,Times7,0.04190696050266496
F22,Times8,1.5118995383140195
F22,Times9,0.34164727886631363
F22,Times10,0.16502347391122463
F23,Times1,0.7289447998805932
F23,Times2,0.20377511060865228
