,,Combination1
F1,Times1,2000398.0
F1,Times2,2000398.0
F1,Times3,2000398.0
F1,Times4,2000398.0
F1,Times5,2000398.0
F1,Times6,2000398.0
F1,Times7,2000398.0
F1,Times8,2000398.0
F1,Times9,2000398.0
F1,Times10,2000398.0
F2,Times1,2000398.0
F2,Times2,2000398.0
F2,Times3,2000398.0
F2,Times4,2000398.0
F2,Times5,2000398.0
F2,Times6,2000398.0
F2,Times7,2000398.0
F2,Times8,2000398.0
F2,Times9,2000398.0
F2,Times10,2000398.0
F3,Times1,2000398.0
F3,Times2,2000398.0
F3,Times3,2000398.0
F3,Times4,2000398.0
F3,Times5,2000398.0
F3,Times6,2000398.0
F3,Times7,2000398.0
F3,Times8,2000398.0
F3,Times9,2000398.0
F3,Times10,2000398.0
F4,Times1,2000398.0
F4,Times2,2000398.0
F4,Times3,2000398.0
F4,Times4,2000398.0
F4,Times5,2000398.0
F4,Times6,2000398.0
F4,Times7,2000398.0
F4,Times8,2000398.0
F4,Times9,2000398.0
F4,Times10,2000398.0
F5,Times1,2000398.0
F5,Times2,2000398.0
F5,Times3,2000398.0
F5,Times4,2000398.0
F5,Times5,2000398.0
F5,Times6,2000398.0
F5,Times7,2000398.0
F5,Times8,2000398.0
F5,Times9,2000398.0
F5,Times10,2000398.0
F6,Times1,2000398.0
F6,Times2,2000398.0
F6,Times3,2000398.0
F6,Times4,2000398.0
F6,Times5,2000398.0
F6,Times6,2000398.0
F6,Times7,2000398.0
F6,Times8,2000398.0
F6,Times9,2000398.0
F6,Times10,2000398.0
F7,Times1,22576.0
F7,Times2,20222.0
F7,Times3,22812.0
F7,Times4,23310.0
F7,Times5,18680.0
F7,Times6,20002.0
F7,Times7,23940.0
F7,Times8,21952.0
F7,Times9,22960.0
F7,Times10,19994.0
F8,Times1,2000398.0
F8,Times2,2000398.0
F8,Times3,2000398.0
F8,Times4,2000398.0
F8,Times5,2000398.0
F8,Times6,2000398.0
F8,Times7,2000398.0
F8,Times8,2000398.0
F8,Times9,2000398.0
F8,Times10,2000398.0
F9,Times1,2000398.0
F9,Times2,2000398.0
F9,Times3,2000398.0
F9,Times4,2000398.0
F9,Times5,2000398.0
F9,Times6,2000398.0
F9,Times7,2000398.0
F9,Times8,2000398.0
F9,Times9,2000398.0
F9,Times10,2000398.0
F10,Times1,2000398.0
F10,Times2,2000398.0
F10,Times3,2000398.0
F10,Times4,2000398.0
F10,Times5,2000398.0
F10,Times6,2000398.0
F10,Times7,2000398.0
F10,Times8,2000398.0
F10,Times9,2000398.0
F10,Times10,2000398.0
F11,Times1,2000398.0
F11,Times2,2000398.0
F11,Times3,2000398.0
F11,Times4,2000398.0
F11,Times5,2000398.0
F11,Times6,2000398.0
F11,Times7,2000398.0
F11,Times8,2000398.0
F11,Times9,2000398.0
F11,Times10,2000398.0
F12,Times1,235734.0
F12,Times2,283464.0
F12,Times3,348712.0
F12,Times4,257056.0
F12,Times5,226712.0
F12,Times6,334338.0
F12,Times7,264810.0
F12,Times8,302080.0
F12,Times9,209736.0
F12,Times10,251810.0
F13,Times1,2000398.0
F13,Times2,1877256.0
F13,Times3,1250930.0
F13,Times4,2000398.0
F13,Times5,1420324.0
F13,Times6,2000398.0
F13,Times7,1695766.0
F13,Times8,2000398.0
F13,Times9,1907998.0
F13,Times10,1200664.0
F14,Times1,2000398.0
F14,Times2,2000398.0
F14,Times3,2000398.0
F14,Times4,2000398.0
F14,Times5,2000398.0
F14,Times6,2000398.0
F14,Times7,2000398.0
F14,Times8,2000398.0
F14,Times9,2000398.0
F14,Times10,2000398.0
F15,Times1,2000398.0
F15,Times2,2000398.0
F15,Times3,2000398.0
F15,Times4,2000398.0
F15,Times5,2000398.0
F15,Times6,2000398.0
F15,Times7,2000398.0
F15,Times8,28536.0
F15,Times9,798810.0
F15,Times10,2000398.0
F16,Times1,1910.0
F16,Times2,4168.0
F16,Times3,1992.0
F16,Times4,1824.0
F16,Times5,4028.0
F16,Times6,2784.0
F16,Times7,1034.0
F16,Times8,962.0
F16,Times9,3886.0
F16,Times10,7782.0
F17,Times1,4320.0
F17,Times2,1072.0
F17,Times3,1918.0
F17,Times4,1802.0
F17,Times5,1530.0
F17,Times6,2400.0
F17,Times7,3314.0
F17,Times8,2398.0
F17,Times9,2402.0
F17,Times10,1736.0
F18,Times1,14262.0
F18,Times2,5336.0
F18,Times3,6632.0
F18,Times4,7686.0
F18,Times5,2448.0
F18,Times6,11670.0
F18,Times7,21548.0
F18,Times8,10698.0
F18,Times9,9154.0
F18,Times10,9342.0
F19,Times1,2000398.0
F19,Times2,2000398.0
F19,Times3,2000398.0
F19,Times4,2000398.0
F19,Times5,2000398.0
F19,Times6,2000398.0
F19,Times7,2000398.0
F19,Times8,2000398.0
F19,Times9,2000398.0
F19,Times10,2000398.0
F20,Times1,2000398.0
F20,Times2,2000398.0
F20,Times3,2000398.0
F20,Times4,2000398.0
F20,Times5,2000398.0
F20,Times6,2000398.0
F20,Times7,2000398.0
F20,Times8,2000398.0
F20,Times9,2000398.0
F20,Times10,2000398.0
F21,Times1,56248.0
F21,Times2,161984.0
F21,Times3,49980.0
F21,Times4,280164.0
F21,Times5,826066.0
F21,Times6,67728.0
F21,Times7,1244022.0
F21,Times8,159866.0
F21,Times9,24710.0
F21,Times10,17362.0
F22,Times1,2000398.0
F22,Times2,53504.0
F22,Times3,38820.0
F22,Times4,2000398.0
F22,Times5,2000398.0
F22,Times6,15594.0
F22,Times7,2000398.0
F22,Times8,2000398.0
F22,Times9,22550.0
F22,Times10,62970.0
