,,Combination1
F1,Times1,0.0009600642869271854
F1,Times2,0.0010681749399989525
F1,Times3,0.001051183255963018
F1,Times4,0.0009020272282717726
F1,Times5,0.001182232714292908
F1,Times6,0.001107092092772535
F1,Times7,0.0013044433530486688
F1,Times8,0.001529117417685766
F1,Times9,0.0009550497893018549
F1,Times10,0.0008327537945623028
F2,Times1,0.16526458478057454
F2,Times2,0.16045790666799437
F2,Times3,0.16629164938132174
F2,Times4,0.17466226027293336
F2,Times5,0.19223171720070742
F2,Times6,0.151334827214229
F2,Times7,0.16331704046024445
F2,Times8,0.13574999668347626
F2,Times9,0.21239658126878289
F2,Times10,0.18898014651801612
F3,Times1,0.06098595636410341
F3,Times2,0.039599238710643324
F3,Times3,0.04794605891972946
F3,Times4,0.048181014119634755
F3,Times5,0.06801858213409429
F3,Times6,0.053146518610293465
F3,Times7,0.05563970186701626
F3,Times8,0.03485754091010164
F3,Times9,0.041617518593104134
F3,Times10,0.08992818924064928
F4,Times1,0.12967199729001128
F4,Times2,0.15367536698471218
F4,Times3,0.1269220828053539
F4,Times4,0.13324092556886646
F4,Times5,0.1617172980928976
F4,Times6,0.19850323922204213
F4,Times7,0.14591698995811409
F4,Times8,0.17816700518391548
F4,Times9,0.14735080437441692
F4,Times10,0.13949843486467348
F5,Times1,87.9618282312039
F5,Times2,163.10583926533093
F5,Times3,145.30428621983972
F5,Times4,217.73210350665417
F5,Times5,91.59665609566298
F5,Times6,99.45690927981104
F5,Times7,162.35348704703947
F5,Times8,85.47387937178526
F5,Times9,73.57585291724752
F5,Times10,142.11472220154266
F6,Times1,0.0014528523456421119
F6,Times2,0.0015780940080040299
F6,Times3,0.0008053276053783532
F6,Times4,0.0016017932422807803
F6,Times5,0.0010477213576892295
F6,Times6,0.001058458025825979
F6,Times7,0.0009282148881502318
F6,Times8,0.0008542932375211748
F6,Times9,0.0013324310546577334
F6,Times10,0.0011662868241351769
F7,Times1,9.957896564571289e-05
F7,Times2,8.907742967849355e-05
F7,Times3,9.635922711230027e-05
F7,Times4,9.717167616344856e-05
F7,Times5,7.815498863100325e-05
F7,Times6,7.066933161601289e-05
F7,Times7,7.511549497506349e-05
F7,Times8,5.222363355875645e-05
