,,Combination1
F1,Times1,0.0
F1,Times2,3.4169091577177726
F1,Times3,0.0
F1,Times4,0.0
F1,Times5,0.0
F1,Times6,0.0
F1,Times7,0.0
F1,Times8,0.0
F1,Times9,18.10778547766641
F1,Times10,0.0
F2,Times1,0.0
F2,Times2,0.0
F2,Times3,0.0
F2,Times4,15.78278394394708
F2,Times5,0.0
F2,Times6,6.001867432962968
F2,Times7,0.0
F2,Times8,3.847874918091072
F2,Times9,13.039626481130167
F2,Times10,0.0
F3,Times1,0.0
F3,Times2,29.937598311153167
F3,Times3,0.0
F3,Times4,36.69231194607263
F3,Times5,13.526600465481565
F3,Times6,0.0
F3,Times7,0.0
F3,Times8,0.0
F3,Times9,0.0
F3,Times10,0.0
F4,Times1,0.0
F4,Times2,0.47087070048663876
F4,Times3,0.07254155600344314
F4,Times4,11.308070377125173
F4,Times5,0.003760893698361578
F4,Times6,0.07606185452767789
F4,Times7,0.183435632428449
F4,Times8,3.8542693894565128
F4,Times9,0.9921063116323329
F4,Times10,45.5466208601514
F5,Times1,0.0
F5,Times2,4.323103165088141
F5,Times3,2.2358474597628626
F5,Times4,0.0
F5,Times5,8.000210005095367
F5,Times6,0.0
F5,Times7,0.0
F5,Times8,5.165486170612221
F5,Times9,0.0
F5,Times10,5.005417518628488
F6,Times1,28.56288027401436
F6,Times2,136.41272170202012
F6,Times3,130.43773125809204
F6,Times4,136.6823279688622
F6,Times5,34.118862129330104
F6,Times6,113.043842090498
F6,Times7,83.49685060265503
F6,Times8,249.8699489846334
F6,Times9,53.12902668623206
F6,Times10,81.38965178719027
F7,Times1,9.49934515487789
F7,Times2,9.532005826144932
F7,Times3,8.604153442545437
F7,Times4,10.597149240106079
F7,Times5,9.697186574322759
F7,Times6,13.632325517512298
F7,Times7,16.491886158827956
F7,Times8,6.004700141127503
F7,Times9,13.988975677890977
F7,Times10,4.0033572558135475
F8,Times1,0.0
F8,Times2,0.0
F8,Times3,151.231045445439
F8,Times4,0.0
F8,Times5,0.0
F8,Times6,0.0
F8,Times7,0.0
F8,Times8,0.0
F8,Times9,0.0
F8,Times10,183.5990320777962
F9,Times1,0.0
F9,Times2,0.33170905301601694
F9,Times3,0.4564297945013751
F9,Times4,0.0
F9,Times5,1.7894692026243215
F9,Times6,0.48930290165408563
F9,Times7,0.7453196369567643
F9,Times8,0.0
F9,Times9,0.0
F9,Times10,0.0
F10,Times1,0.0
F10,Times2,2.655267313031584
F10,Times3,0.0
F10,Times4,0.0
F10,Times5,0.0
F10,Times6,5.812543209715354
F10,Times7,17.885620283448066
F10,Times8,0.0
F10,Times9,3.9720802538544975
F10,Times10,12.871935759515202
F11,Times1,97.88190248360085
F11,Times2,0.0
F11,Times3,59.636877239291266
F11,Times4,0.0
F11,Times5,0.0
F11,Times6,0.0
F11,Times7,0.0
F11,Times8,17.451018118031033
F11,Times9,1.1079551315769662
F11,Times10,0.0
F12,Times1,1.2129835020683695
F12,Times2,1.7391176325730247
F12,Times3,3.500706420034733
F12,Times4,7.945683165855865
F12,Times5,7.089124608958684
F12,Times6,10.005698423600384
F12,Times7,7.751143594103022
F12,Times8,12.366618999404638
F12,Times9,30.147692935935275
F12,Times10,16.628395943505005
F13,Times1,1.4504129658624092
F13,Times2,13.935174039163368
F13,Times3,0.0
F13,Times4,1.1290051870875404
F13,Times5,2.3584386634127346
F13,Times6,0.0
F13,Times7,4.650458327381366
F13,Times8,0.6918247395358446
F13,Times9,2.3301081581490424
F13,Times10,0.9503844663932652
F14,Times1,0.0
F14,Times2,4.234789134318241
F14,Times3,17.611703538502553
F14,Times4,0.0
F14,Times5,0.0
F14,Times6,23.261847632449985
F14,Times7,10.048779456372714
F14,Times8,13.127632445415792
F14,Times9,0.0
F14,Times10,0.0
F15,Times1,1.3547846643220591
F15,Times2,0.0
F15,Times3,0.540005395125084
F15,Times4,3.9086759768667383
F15,Times5,0.0
F15,Times6,0.0
F15,Times7,0.0
F15,Times8,0.13468401694947585
F15,Times9,1.4596253370422327
F15,Times10,0.0
F16,Times1,3.6168705236870857
F16,Times2,2.6381348656954544
F16,Times3,1.7248005973813032
F16,Times4,3.1640199752505973
F16,Times5,1.6506529738039368
F16,Times6,1.7054969507770181
F16,Times7,1.6684801365429502
F16,Times8,100.20926477765134
F16,Times9,4.373862853996627
F16,Times10,2.302737369886216
F17,Times1,1.5455734106701993
F17,Times2,541.597132838953
F17,Times3,2.8260581858324065
F17,Times4,189.2433182807888
F17,Times5,0.0
F17,Times6,2.518778161309317
F17,Times7,185.8268054566749
F17,Times8,0.5955640226570895
F17,Times9,43.01107857736142
F17,Times10,1.4341798756579085
F18,Times1,0.40615409937538716
F18,Times2,0.16279721416907678
F18,Times3,0.1933568505425184
F18,Times4,0.200204704479245
F18,Times5,0.5659447945562679
F18,Times6,0.20661606143054875
F18,Times7,0.3750830240235401
F18,Times8,0.16359130560274115
F18,Times9,0.09498856748625861
F18,Times10,0.16288199129904268
F19,Times1,0.0
F19,Times2,0.0
F19,Times3,0.0
F19,Times4,0.15616253314821005
F19,Times5,0.0613034854107475
F19,Times6,4.150067748932217
F19,Times7,0.0
F19,Times8,0.0
F19,Times9,0.0
F19,Times10,0.11661515855967913
F20,Times1,0.0
F20,Times2,0.073090589693103
F20,Times3,0.0
F20,Times4,0.0
F20,Times5,0.0
F20,Times6,0.0
F20,Times7,0.019688686012663936
F20,Times8,0.0
F20,Times9,0.025417799596218482
F20,Times10,0.0
F21,Times1,0.17918831816878722
F21,Times2,1.205076333735833
F21,Times3,0.16694264849836804
F21,Times4,1.1969553350788402
F21,Times5,0.3735197626653628
F21,Times6,0.0
F21,Times7,0.09972833464683806
F21,Times8,0.17773882789039952
F21,Times9,0.0
F21,Times10,0.08883861064162613
F22,Times1,0.7045323613028844
F22,Times2,0.0
F22,Times3,0.43583447113483054
F22,Times4,1.6285117916172052
F22,Times5,0.0
F22,Times6,0.9604177344184879
F22,Times7,0.0
F22,Times8,1.2697357146464707
F22,Times9,1.5308148802428967
F22,Times10,0.3087208656405718
F23,Times1,0.2835924063035704
F23,Times2,0.07816718571954695
F23,Times3,0.08662003361202819
F23,Times4,0.44266839628490295
F23,Times5,0.7438777345829806
F23,Times6,0.1633458997763757
F23,Times7,0.4784821560643082
F23,Times8,0.8204357866028955
F23,Times9,0.9120121861870557
F23,Times10,0.5769154740853377
