,,Combination1
F1,Times1,1000099.0
F1,Times2,1000099.0
F1,Times3,1000099.0
F1,Times4,1000099.0
F1,Times5,1000099.0
F1,Times6,1000099.0
F1,Times7,1000099.0
F1,Times8,1000099.0
F1,Times9,1000099.0
F1,Times10,1000099.0
F2,Times1,1000099.0
F2,Times2,1000099.0
F2,Times3,1000099.0
F2,Times4,1000099.0
F2,Times5,1000099.0
F2,Times6,1000099.0
F2,Times7,1000099.0
F2,Times8,1000099.0
F2,Times9,1000099.0
F2,Times10,1000099.0
F3,Times1,1000099.0
F3,Times2,1000099.0
F3,Times3,1000099.0
F3,Times4,1000099.0
F3,Times5,1000099.0
F3,Times6,1000099.0
F3,Times7,1000099.0
F3,Times8,1000099.0
F3,Times9,1000099.0
F3,Times10,1000099.0
F4,Times1,1000099.0
F4,Times2,1000099.0
F4,Times3,1000099.0
F4,Times4,1000099.0
F4,Times5,1000099.0
F4,Times6,1000099.0
F4,Times7,1000099.0
F4,Times8,1000099.0
F4,Times9,1000099.0
F4,Times10,1000099.0
F5,Times1,1000099.0
F5,Times2,1000099.0
F5,Times3,1000099.0
F5,Times4,1000099.0
F5,Times5,1000099.0
F5,Times6,1000099.0
F5,Times7,1000099.0
F5,Times8,1000099.0
F5,Times9,1000099.0
F5,Times10,1000099.0
F6,Times1,1000099.0
F6,Times2,1000099.0
F6,Times3,1000099.0
F6,Times4,1000099.0
F6,Times5,1000099.0
F6,Times6,1000099.0
F6,Times7,1000099.0
F6,Times8,1000099.0
F6,Times9,1000099.0
F6,Times10,1000099.0
F7,Times1,11304.0
F7,Times2,8966.0
F7,Times3,9274.0
F7,Times4,11186.0
F7,Times5,12366.0
F7,Times6,9240.0
F7,Times7,9027.0
F7,Times8,8706.0
F7,Times9,8972.0
F7,Times10,10044.0
F8,Times1,1000099.0
F8,Times2,1000099.0
F8,Times3,1000099.0
F8,Times4,1000099.0
F8,Times5,1000099.0
F8,Times6,1000099.0
F8,Times7,1000099.0
F8,Times8,1000099.0
F8,Times9,1000099.0
F8,Times10,1000099.0
F9,Times1,1000099.0
F9,Times2,1000099.0
F9,Times3,1000099.0
F9,Times4,1000099.0
F9,Times5,1000099.0
F9,Times6,1000099.0
F9,Times7,1000099.0
F9,Times8,1000099.0
F9,Times9,1000099.0
F9,Times10,1000099.0
F10,Times1,1000099.0
F10,Times2,1000099.0
F10,Times3,1000099.0
F10,Times4,1000099.0
F10,Times5,1000099.0
F10,Times6,1000099.0
F10,Times7,1000099.0
F10,Times8,1000099.0
F10,Times9,1000099.0
F10,Times10,1000099.0
F11,Times1,1000099.0
F11,Times2,1000099.0
F11,Times3,1000099.0
F11,Times4,1000099.0
F11,Times5,1000099.0
F11,Times6,1000099.0
F11,Times7,1000099.0
F11,Times8,1000099.0
F11,Times9,1000099.0
F11,Times10,1000099.0
F12,Times1,127925.0
F12,Times2,218070.0
F12,Times3,181548.0
F12,Times4,304242.0
F12,Times5,157156.0
F12,Times6,165300.0
F12,Times7,141475.0
F12,Times8,159757.0
F12,Times9,151696.0
F12,Times10,230488.0
F13,Times1,1000099.0
F13,Times2,1000099.0
F13,Times3,1000099.0
F13,Times4,1000099.0
F13,Times5,1000099.0
F13,Times6,936009.0
F13,Times7,1000099.0
F13,Times8,989485.0
F13,Times9,1000099.0
F13,Times10,1000099.0
F14,Times1,1000099.0
F14,Times2,1000099.0
F14,Times3,1000099.0
F14,Times4,1000099.0
F14,Times5,6487.0
F14,Times6,1000099.0
F14,Times7,1000099.0
F14,Times8,1000099.0
F14,Times9,1000099.0
F14,Times10,1000099.0
F15,Times1,851868.0
F15,Times2,915668.0
F15,Times3,308296.0
F15,Times4,559029.0
F15,Times5,1000099.0
F15,Times6,1000099.0
F15,Times7,1000099.0
F15,Times8,561411.0
F15,Times9,812207.0
F15,Times10,1000099.0
F16,Times1,184099.0
F16,Times2,53382.0
F16,Times3,17128.0
F16,Times4,16381.0
F16,Times5,59738.0
F16,Times6,53150.0
F16,Times7,27868.0
F16,Times8,20546.0
F16,Times9,382931.0
F16,Times10,89893.0
F17,Times1,3279.0
F17,Times2,8673.0
F17,Times3,4150.0
F17,Times4,3920.0
F17,Times5,11699.0
F17,Times6,17685.0
F17,Times7,32920.0
F17,Times8,52576.0
F17,Times9,6613.0
F17,Times10,3054.0
F18,Times1,15053.0
F18,Times2,436735.0
F18,Times3,609466.0
F18,Times4,366444.0
F18,Times5,638826.0
F18,Times6,1000099.0
F18,Times7,916683.0
F18,Times8,1000099.0
F18,Times9,1000099.0
F18,Times10,452271.0
F19,Times1,310.0
F19,Times2,1000099.0
F19,Times3,1000099.0
F19,Times4,1000099.0
F19,Times5,1000099.0
F19,Times6,354.0
F19,Times7,1000099.0
F19,Times8,1000099.0
F19,Times9,1000099.0
F19,Times10,1000099.0
F20,Times1,1000099.0
F20,Times2,662.0
F20,Times3,1000099.0
F20,Times4,1000099.0
F20,Times5,879.0
F20,Times6,1000099.0
F20,Times7,1000099.0
F20,Times8,1000099.0
F20,Times9,1000099.0
F20,Times10,1000099.0
F21,Times1,1000099.0
F21,Times2,1000099.0
F21,Times3,234683.0
F21,Times4,1000099.0
F21,Times5,1000099.0
F21,Times6,54169.0
F21,Times7,83390.0
F21,Times8,1000099.0
F21,Times9,43160.0
F21,Times10,34338.0
F22,Times1,1000099.0
F22,Times2,22535.0
F22,Times3,21190.0
F22,Times4,1000099.0
F22,Times5,26314.0
F22,Times6,1000099.0
F22,Times7,34573.0
F22,Times8,30141.0
F22,Times9,1000099.0
F22,Times10,474903.0
F23,Times1,1000099.0
F23,Times2,37599.0
F23,Times3,35366.0
F23,Times4,1000099.0
F23,Times5,1000099.0
F23,Times6,1000099.0
F23,Times7,19901.0
F23,Times8,393016.0
F23,Times9,10458.0
F23,Times10,336115.0
