,,Combination1
F1,Times1,0.001310112261791387
F1,Times2,0.0010271943443725237
F1,Times3,0.0009327262526453513
F1,Times4,0.0007387451076264205
F1,Times5,0.0010430862370337849
F1,Times6,0.0012430208733283249
F1,Times7,0.0013932992771411674
F1,Times8,0.0011155671114354189
F1,Times9,0.0009457125621675908
F1,Times10,0.0018335717364741145
F2,Times1,0.16051208124709285
F2,Times2,0.14877347565418073
F2,Times3,0.18133765140472058
F2,Times4,0.15917133904815187
F2,Times5,0.1524016632152351
F2,Times6,0.1784150567596119
F2,Times7,0.12066376593329531
F2,Times8,0.19528997940361295
F2,Times9,0.17310064472779926
F2,Times10,0.157479960340539
F3,Times1,0.060834017480949104
F3,Times2,0.08070670374484967
F3,Times3,0.12525357303458745
F3,Times4,0.07588175857487876
F3,Times5,0.04582445747641271
F3,Times6,0.031278280194524576
F3,Times7,0.04974927511530332
F3,Times8,0.06413587167434433
F3,Times9,0.052935663763113434
F3,Times10,0.03719467919112426
F4,Times1,0.15808056525706837
F4,Times2,0.1988076622100512
F4,Times3,0.17220615682127338
F4,Times4,0.13030257849544838
F4,Times5,0.2001178168826555
F4,Times6,0.1520027793002463
F4,Times7,0.15483804393349349
F4,Times8,0.17771899568421634
F4,Times9,0.1493225844914699
F4,Times10,0.15820414116845605
F5,Times1,83.4804102191531
F5,Times2,103.50253223178547
F5,Times3,95.11711107060533
F5,Times4,86.93454688505452
F5,Times5,18.926951646600244
F5,Times6,171.7979405088367
F5,Times7,2.459540392708128
F5,Times8,138.09824148212664
F5,Times9,104.74277130867344
F5,Times10,148.43833383711484
F6,Times1,0.0010080572917703595
F6,Times2,0.0013058699888279007
F6,Times3,0.001144901691280161
F6,Times4,0.0015897057522986386
F6,Times5,0.0011906514955041159
F6,Times6,0.0012052693780016973
F6,Times7,0.0012856234952725277
F6,Times8,0.0009343738957797611
F6,Times9,0.0007791327934313595
F6,Times10,0.0005898550561931106
F7,Times1,9.378543035161808e-05
F7,Times2,5.343323733951668e-05
F7,Times3,7.73566947346352e-05
F7,Times4,7.766522186325472e-05
F7,Times5,7.786028826433402e-05
F7,Times6,9.547643692855786e-05
F7,Times7,9.602871562033965e-05
F7,Times8,8.710775542443955e-05
F7,Times9,8.113379619931915e-05
F7,Times10,6.354188417924793e-05
F8,Times1,-17869.7444898037
F8,Times2,-17988.182410601054
F8,Times3,-18817.25162155535
F8,Times4,-18580.37382209949
F8,Times5,-19054.12795164288
F8,Times6,-19527.881858564324
F8,Times7,-18935.689566942558
F8,Times8,-17988.183202239925
F8,Times9,-18580.37472266633
F8,Times10,-18935.690256274058
F9,Times1,0.0006501390475346369
F9,Times2,0.0005665947849351483
F9,Times3,0.0006962487964070618
F9,Times4,0.0007490637575475745
F9,Times5,0.00043068948710178745
F9,Times6,0.0004245848939223862
F9,Times7,0.0009283463424836214
F9,Times8,0.0006831306954175886
F9,Times9,0.0005683099140885162
F9,Times10,0.00034239532956803487
F10,Times1,0.006588509154379807
F10,Times2,0.008314375655128714
F10,Times3,0.006491385608804023
F10,Times4,0.00671781479919531
F10,Times5,0.006260343345005026
F10,Times6,0.006478474730020167
F10,Times7,0.008012979258040787
F10,Times8,0.005387011604106817
F10,Times9,0.005048320345103718
F10,Times10,0.006490601645761984
F11,Times1,0.013781991374170244
F11,Times2,0.0023310583198667967
F11,Times3,0.0017866965998589723
F11,Times4,0.008926825046511211
F11,Times5,0.02275316722900611
F11,Times6,0.0019125771616725906
F11,Times7,0.01090886888235898
F11,Times8,0.0014802447462016755
F11,Times9,0.00851074044277822
F11,Times10,0.010782748795135966
F12,Times1,9.59444367440947e-05
F12,Times2,9.968609744933928e-05
F12,Times3,9.910207458692359e-05
F12,Times4,9.084879186782172e-05
F12,Times5,7.052435730143259e-05
F12,Times6,6.029808795194468e-05
F12,Times7,4.538834550324093e-05
F12,Times8,8.950352028248863e-05
F12,Times9,6.729089181392866e-05
F12,Times10,9.954033008819205e-05
F13,Times1,0.0003387925334094314
F13,Times2,9.794439701945988e-05
F13,Times3,9.843206435368514e-05
F13,Times4,9.762644368148081e-05
F13,Times5,9.455352995572553e-05
F13,Times6,9.778046242250017e-05
F13,Times7,9.749379444870319e-05
F13,Times8,9.50923035122547e-05
F13,Times9,7.863135277110485e-05
F13,Times10,0.00020930134004753785
F14,Times1,0.9980038377947663
F14,Times2,0.9980038377954771
F14,Times3,0.9980038377944676
F14,Times4,0.9980038377945171
F14,Times5,0.9980038377947427
F14,Times6,0.9980038377944752
F14,Times7,0.9980038377944636
F14,Times8,0.998003837794473
F14,Times9,0.9980038377944609
F14,Times10,0.9980038377945637
F15,Times1,0.001223197679773199
F15,Times2,0.0005987818339703632
F15,Times3,0.020363348094968828
F15,Times4,0.0006804837086565932
F15,Times5,0.0005993027960141723
F15,Times6,0.00136313472124234
F15,Times7,0.0005664625307791384
F15,Times8,0.00040514393023550316
F15,Times9,0.020363357144566555
F15,Times10,0.020363345995805714
F16,Times1,-1.0315363765227827
F16,Times2,-1.0316141653592417
F16,Times3,-1.0316198775385685
F16,Times4,-1.0316175158360577
F16,Times5,-1.0316035568009583
F16,Times6,-1.0315424849729475
F16,Times7,-1.0315500735352015
F16,Times8,-1.0315147610999977
F16,Times9,-1.0315783442208748
F16,Times10,-1.0315985166581658
F17,Times1,0.3978873577941151
F17,Times2,0.398051598812744
F17,Times3,0.39788735881847437
F17,Times4,0.39798262763746095
F17,Times5,0.3979173626073962
F17,Times6,0.3979788040506804
F17,Times7,0.39805909650802285
F17,Times8,0.3980299140601318
F17,Times9,0.39793785052822983
F17,Times10,0.3979477316387374
F18,Times1,3.000089208326197
F18,Times2,3.0000433935306217
F18,Times3,3.000033976750606
F18,Times4,3.0000876075211584
F18,Times5,3.0000536489085525
F18,Times6,3.000016748998334
F18,Times7,3.000075401204354
F18,Times8,3.0000793410432105
F18,Times9,3.0000553615771084
F18,Times10,3.0000913490943466
F19,Times1,-3.8627821476997846
F19,Times2,-3.8627821477970867
F19,Times3,-3.8627821476160467
F19,Times4,-3.862782147791896
F19,Times5,-3.862782147517941
F19,Times6,-3.862782147760285
F19,Times7,-3.8627821478010405
F19,Times8,-3.8627821477986948
F19,Times9,-3.862782147817736
F19,Times10,-3.8627821478176365
F20,Times1,-3.203102050121868
F20,Times2,-3.2031020501358776
F20,Times3,-3.203102048979482
F20,Times4,-3.3219951713600806
F20,Times5,-3.203102049927092
F20,Times6,-3.2031020486821
F20,Times7,-3.203102049135288
F20,Times8,-3.2031020465106073
F20,Times9,-3.3199871273152706
F20,Times10,-3.321995171006563
F21,Times1,-10.153169768604004
F21,Times2,-5.100772136884615
F21,Times3,-5.100772041138637
F21,Times4,-10.153185469024804
F21,Times5,-10.153116890743762
F21,Times6,-10.15311644312441
F21,Times7,-10.153106897562225
F21,Times8,-10.153124251523181
F21,Times9,-2.630471660223278
F21,Times10,-2.6304716628030493
F22,Times1,-10.402702360640758
F22,Times2,-1.8375929700393334
F22,Times3,-10.402895961327236
F22,Times4,-10.402715985807504
F22,Times5,-2.751933553931738
F22,Times6,-5.128822767617194
F22,Times7,-5.12882278824162
F22,Times8,-10.402853367191538
F22,Times9,-1.8375929705343799
F22,Times10,-2.7658973255657955
F23,Times1,-2.421734026128584
F23,Times2,-10.5363027154931
F23,Times3,-10.53626875652896
F23,Times4,-10.536341773597426
F23,Times5,-5.1284807860546655
F23,Times6,-10.53621856571528
F23,Times7,-10.536210710219994
F23,Times8,-2.871142697733507
F23,Times9,-5.175646717806433
F23,Times10,-10.53620945937286
