,,Combination1
F1,Times1,18.419059189086965
F1,Times2,0.0
F1,Times3,31.03361758055136
F1,Times4,0.3198441586867439
F1,Times5,38.86107868026509
F1,Times6,14.200351217927995
F1,Times7,51.00477450253426
F1,Times8,9.25030305704726
F1,Times9,11.763599243561398
F1,Times10,4.230772198426499
F2,Times1,38.5656915336267
F2,Times2,43.39989914494837
F2,Times3,64.45292039708963
F2,Times4,37.98858392022501
F2,Times5,39.401260963913465
F2,Times6,0.0
F2,Times7,40.28477326694375
F2,Times8,3.3145804014249505
F2,Times9,0.0
F2,Times10,15.173387056287575
F3,Times1,27.51194458056117
F3,Times2,39.36121613797442
F3,Times3,27.874926518810586
F3,Times4,10.194914533956869
F3,Times5,13.906433217604913
F3,Times6,26.264718134623124
F3,Times7,44.08722740754394
F3,Times8,14.02384920405929
F3,Times9,10.878209777676108
F3,Times10,21.331791001528025
F4,Times1,26.293022003219914
F4,Times2,14.384141625113552
F4,Times3,0.2428949697115954
F4,Times4,18.165604973528765
F4,Times5,13.673399023352223
F4,Times6,33.132055352323164
F4,Times7,18.81808070731693
F4,Times8,0.02898924475982237
F4,Times9,20.765753267859388
F4,Times10,2.0155172009992466
F5,Times1,15.584982824133926
F5,Times2,0.0
F5,Times3,18.500311200543017
F5,Times4,12.64056798076604
F5,Times5,17.240193082502618
F5,Times6,7.8716989615891935
F5,Times7,10.432160976913764
F5,Times8,3.4008501683810026
F5,Times9,10.837859641692429
F5,Times10,9.652016922054774
F6,Times1,96.84539777110516
F6,Times2,55.86834346605652
F6,Times3,1.2819007382366152
F6,Times4,40.24885577760985
F6,Times5,124.66282673011338
F6,Times6,423.1035467131549
F6,Times7,360.57505587835635
F6,Times8,350.0080600222898
F6,Times9,154.72554600519544
F6,Times10,343.26031419413493
F7,Times1,4.217497292459156
F7,Times2,5.32660403068016
F7,Times3,4.383335739610747
F7,Times4,3.3440571404111648
F7,Times5,5.457119693451687
F7,Times6,5.893951747550607
F7,Times7,7.601575113531539
F7,Times8,4.993080449676379
F7,Times9,5.119365524533413
F7,Times10,4.847499392388184
F8,Times1,168.5873749770767
F8,Times2,21.6230464924393
F8,Times3,222.62211679202625
F8,Times4,244.2534169111095
F8,Times5,0.0
F8,Times6,83.26276855056378
F8,Times7,90.00018025572209
F8,Times8,117.65874478003701
F8,Times9,79.06719985421319
F8,Times10,134.75469478528777
F9,Times1,1.1559592058172847
F9,Times2,1.3495817855206258
F9,Times3,2.7535771267776368
F9,Times4,0.3983699561173019
F9,Times5,1.685386796537572
F9,Times6,0.0089671962433108
F9,Times7,1.2940871076079496
F9,Times8,2.771755144958701
F9,Times9,2.153806505775721
F9,Times10,2.760237038625582
F10,Times1,0.0
F10,Times2,9.642651886236226
F10,Times3,10.931300478028282
F10,Times4,7.847416404436174
F10,Times5,11.15361441947629
F10,Times6,9.705738683757128
F10,Times7,0.0
F10,Times8,8.660931854039976
F10,Times9,0.0
F10,Times10,0.0
F11,Times1,0.0
F11,Times2,164.48928787625093
F11,Times3,15.692033446901402
F11,Times4,79.65509131024929
F11,Times5,172.67847142911853
F11,Times6,32.05123469556446
F11,Times7,206.83313708845427
F11,Times8,0.0
F11,Times9,0.0
F11,Times10,95.74110922630318
F12,Times1,8.61304732347678
F12,Times2,5.8662583186675805
F12,Times3,1.9020687983381208
F12,Times4,1.3631236122102661
F12,Times5,1.4749456603758284
F12,Times6,17.471232806732075
F12,Times7,2.291452051397483
F12,Times8,7.9086337605740695
F12,Times9,1.4115297445108608
F12,Times10,3.000374019790281
F13,Times1,37.1919456083712
F13,Times2,10.963170279533216
F13,Times3,12.4529320630717
F13,Times4,5.568553637539798
F13,Times5,13.32423164221562
F13,Times6,0.2002286241815876
F13,Times7,12.237817172118342
F13,Times8,0.0
F13,Times9,0.6786896859825418
F13,Times10,4.083332011309887
F14,Times1,31.422610481849468
F14,Times2,18.62896188041826
F14,Times3,29.331189771977044
F14,Times4,31.643525445296547
F14,Times5,30.798095559242284
F14,Times6,21.938484984162216
F14,Times7,34.81167249641067
F14,Times8,31.79080162093898
F14,Times9,32.93021038539645
F14,Times10,20.96144765919034
F15,Times1,3.426707344233153
F15,Times2,22.95615843594021
F15,Times3,0.6514082615693949
F15,Times4,43.16344635131272
F15,Times5,1.7550701860999818
F15,Times6,0.9473180070908893
F15,Times7,0.6249523684379866
F15,Times8,9.738670474611029
F15,Times9,0.5190852008042439
F15,Times10,1.552558589651346
F16,Times1,87.44281059167554
F16,Times2,71.38665846256502
F16,Times3,57.31501870281928
F16,Times4,104.20870236624988
F16,Times5,84.44514087467925
F16,Times6,86.12662339392112
F16,Times7,44.41615578587611
F16,Times8,57.13321870879984
F16,Times9,83.62654661872833
F16,Times10,64.61564296312152
F17,Times1,6.323712869451071
F17,Times2,6.574530879082165
F17,Times3,7.88155493834123
F17,Times4,12.279775977082426
F17,Times5,6.430165157033888
F17,Times6,23.553916646153382
F17,Times7,8.046211835048739
F17,Times8,16.96504170397152
F17,Times9,7.732184125819015
F17,Times10,28.84471061866811
F18,Times1,1.2193426380597152
F18,Times2,0.5331999942237604
F18,Times3,0.4950492460394678
F18,Times4,0.7145432659708316
F18,Times5,0.6570215963181687
F18,Times6,0.7639679715130572
F18,Times7,0.5487578997859005
F18,Times8,0.9808221871287559
F18,Times9,1.3103264573398654
F18,Times10,0.6021972582659507
F19,Times1,0.21144765878537752
F19,Times2,0.11863553468431512
F19,Times3,9.593016687655657
F19,Times4,0.05750583628078838
F19,Times5,0.09454057848899265
F19,Times6,0.14618292661100987
F19,Times7,0.005364931800004746
F19,Times8,0.10708177325014012
F19,Times9,0.15504026161472864
F19,Times10,0.1474558763166266
F20,Times1,0.12473489224833767
F20,Times2,1.8710010623137563
F20,Times3,3.9262675403694085
F20,Times4,0.03061015598371053
F20,Times5,0.06318595252373768
F20,Times6,0.1257258515368379
F20,Times7,0.010921448359961672
F20,Times8,0.06657725762682987
F20,Times9,0.07461239850624249
F20,Times10,0.03476204955939394
F21,Times1,0.6031524841829647
F21,Times2,1.8629164365223572
F21,Times3,0.07094142251036661
F21,Times4,0.0
F21,Times5,1.7513402460784182
F21,Times6,0.6260433276777965
F21,Times7,1.0425162713723066
F21,Times8,0.6400067105765435
F21,Times9,1.7823558313784853
F21,Times10,0.10579057943378256
F22,Times1,0.2843262882163716
F22,Times2,0.9045020410312902
F22,Times3,0.8663640458440593
F22,Times4,0.18725361942117447
F22,Times5,0.34138413862657474
F22,Times6,0.08241571734220976
