Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,80%,100%,70%,100%,100%,100%,100%,100%,100%,30%,100%,100%,100%,100%,100%,100%,100%,100%,50%,10%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,10%,100%,100%,100%,0%,0%
F3,100%,100%,60%,100%,100%,100%,100%,100%,100%,60%,100%,100%,100%,100%,100%,100%,100%,100%,50%,20%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,80%,100%,90%,100%,100%,100%,100%,100%,100%,20%,100%,100%,90%,100%,100%,100%,100%,100%,40%,50%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,40%,60%,40%,10%,40%,40%,20%,30%,40%,40%,10%,30%,30%,30%,40%,10%,20%,40%,0%,40%
F15,70%,70%,50%,10%,0%,10%,0%,70%,90%,70%,70%,70%,50%,40%,80%,0%,10%,0%,40%,70%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,90%,100%,90%,100%,100%,100%,100%,70%,100%,100%,70%,100%,90%,90%,80%,100%,100%,100%,100%,90%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,50%,50%,50%,30%,30%,60%,30%,40%,40%,60%,50%,20%,70%,80%,50%,50%,50%,30%,80%
F21,50%,60%,20%,30%,30%,0%,40%,10%,20%,20%,20%,0%,10%,30%,30%,30%,30%,30%,40%,30%
F22,20%,0%,20%,10%,30%,30%,20%,10%,10%,40%,20%,20%,20%,30%,10%,30%,20%,10%,30%,20%
F23,10%,10%,20%,20%,20%,50%,20%,30%,40%,20%,40%,50%,30%,20%,10%,10%,40%,40%,20%,40%
