Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F8,Times1,-15636.97430365089,-14828.42528842309,-14512.16863984126,-16009.42845743391,-15104.02924002646,-15184.40814930714,-16112.29989705087,-13465.43951290169,-15854.23195278577,-15367.32070912739,-13464.87414204427,-12991.03217419433,-12994.68994741261,-14453.08101540345,-15222.49559775455,-14549.31040789159,-14470.57141255062,-14708.08032707417,-14260.84537401659,-15203.50771540182
F8,Times2,-14765.80175045382,-15066.36093824272,-14254.03108765135,-12952.5375199316,-14217.00679049838,-14470.6798569925,-13919.51894482633,-13346.59705185314,-15122.25490947932,-14439.40465613075,-13900.25760728505,-13069.96089820665,-15082.76186480876,-13622.09410049223,-13046.73279771536,-15441.10827743444,-13565.57988497938,-15460.87245041599,-14447.24843502019,-15994.25378320646
F8,Times3,-14609.44857748913,-14592.68833120334,-13841.98084366008,-14829.5378522809,-16859.60844117125,-14395.30905331263,-14393.18311410918,-15261.40964561548,-15083.17584039864,-15105.53840244499,-13383.87190975238,-14136.50364239588,-14232.26956257872,-14609.36513654775,-13444.13025799764,-14215.0917821019,-13051.18425466952,-14234.89619641374,-13774.74888385575,-15611.33615366266
F8,Times4,-14648.35613434581,-14849.44746253591,-16290.39610792305,-16030.60178505631,-15083.15137577446,-14827.9354055432,-15520.55942205446,-15219.09938362736,-15319.56840995211,-14659.41259658252,-12577.88318685202,-15065.59091055381,-13712.17993637248,-13880.02860975114,-13447.58732983343,-15397.56990822647,-12813.71933293965,-14059.44587814004,-11846.06924388371,-16560.35413238158
F8,Times5,-15277.92988325661,-15632.43698137502,-14451.37748812687,-13762.09341953228,-15932.55179640091,-15122.73900887738,-15361.67586976501,-13702.36866824858,-13366.61339813558,-14927.22466053541,-14904.04559668708,-13722.98582568725,-14118.411189955,-13464.34376877777,-14255.01048937642,-14844.83837844205,-14590.63632322759,-14157.87026221215,-13681.96731857574,-14014.48599501881
F8,Times6,-16265.47966298482,-14019.99417290446,-14710.61076245189,-14433.18362405932,-14510.77224534097,-15775.65332204525,-14550.07882405671,-14884.23164745724,-15020.36589071903,-15058.28715763244,-15440.79153271557,-13860.61531867704,-14926.80491490978,-14434.51963676331,-13406.21790592142,-13718.96959505151,-13916.31599736029,-15735.16298354475,-13802.94164286994,-13701.24139943338
F8,Times7,-13920.00033529466,-13939.61255502985,-15831.81473438506,-14568.39064268879,-15777.14701452448,-15184.19149076173,-15835.16471966182,-13088.79079030085,-15201.29317566116,-15056.11257765796,-13721.65370014699,-13146.52445769158,-14766.64522509544,-15222.36508961435,-14553.21867842612,-13919.88941112025,-13721.96920112116,-15418.6731122017,-14734.03959442238,-15352.02636798636
F8,Times8,-16190.24732213953,-14827.57608454234,-15831.8013780642,-15717.31080051339,-14569.96396958882,-15161.64546802624,-15935.05934976439,-13541.3246082286,-13761.53507963223,-14525.23393458236,-13287.96195993642,-14907.03566780402,-15441.42518670128,-14334.63153396127,-14786.50429548833,-14311.70738885408,-14570.45083463017,-15142.23488604307,-14250.32225778197,-14388.67331284739
F8,Times9,-16406.60071085368,-15874.29568002336,-15518.58543597537,-13901.28374040327,-15717.85116677636,-15912.32220449982,-13050.89446429394,-15063.32520761308,-14000.38000657016,-14655.21504011222,-13722.31413221843,-13921.32844921886,-12555.72289419897,-14316.06637364986,-14967.68135789639,-14350.75843554561,-13818.93279333174,-13405.97788022,-13806.75732983719,-14194.74206615397
F8,Times10,-16178.33990062712,-14707.16483754132,-16265.60512421305,-15300.28153544575,-15023.28908573203,-15340.76349203923,-14745.61053346088,-14054.94557458193,-15940.10466563533,-15539.65849470877,-12909.09788584355,-14985.9246900935,-14768.39387149186,-13739.79692032602,-15558.32989430674,-14252.51679167713,-14789.96514849084,-14906.02883824133,-13447.35677030528,-13648.54113572663
