Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,80%,100%,90%,100%,100%,100%,100%,100%,100%,10%,100%,100%,90%,100%,100%,100%,100%,100%,0%,20%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,10%,0%,0%,0%,100%,100%,100%,0%,0%
F3,100%,100%,70%,100%,100%,100%,100%,100%,100%,20%,100%,100%,80%,100%,100%,100%,100%,100%,30%,20%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,90%,100%,90%,100%,100%,100%,100%,100%,100%,40%,100%,100%,90%,100%,100%,100%,100%,100%,0%,50%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,50%,40%,20%,20%,50%,30%,60%,0%,50%,50%,30%,20%,20%,0%,10%,20%,40%,60%,0%,20%
F15,60%,60%,70%,0%,0%,20%,0%,70%,60%,90%,50%,60%,70%,90%,60%,0%,10%,0%,40%,30%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,90%,100%,100%,100%,100%,100%,90%,100%,100%,90%,100%,90%,80%,70%,100%,100%,100%,80%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,30%,40%,40%,50%,40%,50%,40%,60%,50%,40%,70%,60%,60%,40%,40%,50%,30%,60%,50%
F21,30%,0%,30%,30%,20%,20%,30%,20%,40%,10%,30%,40%,0%,20%,50%,10%,30%,40%,30%,50%
F22,0%,50%,10%,30%,0%,10%,20%,50%,10%,0%,10%,10%,30%,40%,10%,10%,20%,20%,30%,20%
F23,10%,20%,30%,10%,40%,10%,20%,20%,30%,10%,40%,20%,10%,20%,20%,10%,10%,20%,20%,20%
