Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F8,Times1,-14469.58357206749,-15991.37734610071,-14467.52614657206,-15003.78367278068,-15420.75666991277,-15381.79967176529,-15894.1161206138,-13978.42140753367,-15735.16134669997,-15908.03252149729,-13563.5977709783,-13739.77516616253,-14176.53598229265,-14864.63057460562,-12952.02322916817,-15836.35530543425,-14866.97313566074,-15954.77978307322,-15095.81609715789,-13743.24284541866
F8,Times2,-14474.00207405837,-14706.13653378709,-15019.34514985994,-14374.00606583657,-15026.33977030223,-15005.81773362757,-16093.03584960435,-14547.70990799684,-15124.01765571935,-12597.42125786352,-14350.69674505865,-13584.32362683723,-15026.57925611347,-15380.79851579825,-15046.59213467125,-14353.75694373926,-13703.28172706166,-16132.45087157884,-12538.80984060759,-14434.79256286406
F8,Times3,-13129.26487401812,-15141.94678858876,-14493.86114083942,-14967.70203948826,-15535.11028786131,-14730.78132234868,-14137.11825008559,-14197.17001496596,-15520.47025319216,-14936.30214620874,-14510.50504828799,-15281.06969524816,-13877.47046213592,-14528.93839799022,-12400.8019584925,-13561.37989738115,-12931.48897276402,-12953.2149421804,-12993.48075007277,-15237.93795864261
F8,Times4,-15834.69989223977,-16349.47690796804,-16107.07583239024,-15638.43292540621,-14511.70217987402,-15261.39849831727,-15179.73219080809,-12951.90135821567,-15737.57431167859,-15361.57218265294,-13427.71333093908,-12833.18152636739,-14507.87356989862,-15698.22509196037,-14487.90653939569,-13976.19896935314,-13483.17103223047,-14884.9297503232,-13363.47555960309,-14967.01891985774
F8,Times5,-14549.75889718419,-16329.43654771203,-15125.57876255772,-14414.47958422568,-14986.04837162833,-14927.82738150605,-15499.26867974289,-13012.43384006663,-12888.89058750736,-14815.87593153754,-14360.25555933565,-13840.42712065771,-14550.83127281757,-12970.26221426915,-15222.82201602738,-12400.94846652992,-14530.37472590689,-16250.3833523602,-13875.73158973195,-14996.45796112617
F8,Times6,-14470.27377729243,-16050.4825886998,-15696.74504803397,-15440.07260838694,-14588.20566363833,-13741.81766425077,-16724.21471344554,-14944.95699589221,-15577.58550558741,-13566.2311757258,-14109.65879953645,-14076.14605008199,-14528.29930001567,-14807.74720736079,-13980.0988579273,-13741.26042123593,-13976.63907624711,-15535.22663013687,-13430.53513372191,-14402.21865010115
F8,Times7,-15123.56916681053,-14016.6836356424,-15755.46478942681,-16051.06025515215,-14355.84456304171,-15122.62537596808,-15439.93560955487,-12913.08417793758,-14194.25796650298,-15292.75157906986,-14074.77828944294,-15183.36977080193,-14984.76691856728,-13798.36749061645,-14906.84130334008,-13723.69231129394,-14075.39667883389,-15417.28083292383,-14931.30543322068,-15399.07311216219
F8,Times8,-14689.93051157765,-14903.40598585933,-13801.59188307544,-13643.61380118743,-12932.15873950709,-15201.47607797701,-15360.67310189271,-12041.61999809555,-15045.17539134807,-13936.79240500992,-14747.54318047821,-13269.33453492376,-14589.91861809983,-13722.5319179842,-14512.11398627953,-14116.26188536351,-13938.21183774576,-15362.53616325612,-12398.49267935808,-14215.47751269376
F8,Times9,-14787.9666983263,-14352.67344526395,-15599.36770910534,-14907.09193453597,-15974.5523944316,-16150.17827542714,-14433.04391604682,-15224.37197704623,-15220.84261123162,-16672.65457129389,-13759.93457919154,-12953.8941894983,-13679.61086609955,-12871.5937811948,-14847.79718563393,-13524.11804247614,-13759.95526131307,-15045.16424343225,-12387.9287117596,-14489.41628868201
F8,Times10,-16167.43949409176,-15104.05153441326,-15342.62926363932,-15794.42429170724,-14925.2779012679,-16072.72558108177,-14964.18924020588,-13860.59195253949,-14885.66224732301,-14636.01616607415,-15715.95520446366,-13643.54416170326,-12793.09703536587,-14237.33091630218,-15875.16252085724,-13919.34904384315,-13308.33396999724,-13800.63861161311,-13817.72341642528,-14864.82692584134
F11,Times1,74.13575465174397,94.85921302329668,235.3834754285553,7.977036478253916,14.11142865405934,25.57154432424153,7.76104454390398,212.265721185339,150.1746996845269,150.8906615775101,232.5846643989083,93.17798032763754,200.5341936537174,198.9948555498405,90.78229033722955,21.79970532240468,17.67560000990042,5.266912507610526,188.5060536331644,129.4976781615235
F11,Times2,211.359869574308,124.3038664631934,102.2770091583405,8.497577194190187,19.80531816972093,20.80434675377845,8.771293722974665,224.7559247096235,148.9639680916891,120.5377437359994,201.8821291966948,117.7839807644783,181.4167581894421,114.6167241113677,51.36615167101929,11.42642288010799,15.4167267462679,8.33833579083961,214.5647757642473,167.9696032897097
F11,Times3,184.4546569550106,90.09191705403045,157.7730115046233,5.886172453697943,19.24053173289098,4.622823019157694,11.26586690467082,86.1258314730704,101.9698619230553,207.0574543836914,194.6581292965137,112.4899850432324,135.5437588228124,160.0796636051711,204.2421125613665,13.6760806643573,20.53629316170317,13.4103503442959,128.6851235391611,120.6809514526101
F11,Times4,220.9837778560979,151.0569522705044,78.64183221802465,14.24898069694826,7.466397670677103,23.00042434016508,22.29375543047785,174.9256304124331,116.5788737372344,154.9485836579994,197.4972233430816,42.63843322428604,238.9517508751381,106.7524120045234,187.9169733845076,12.73700320513246,11.62210609903462,12.4225974571147,244.6036049168749,279.4325020753552
F11,Times5,69.84486868737069,75.81310924576479,119.1125023635712,19.80386324794754,8.135978186530478,22.41186836220318,8.894816026803214,215.7779129414984,187.6707281104178,143.7801076547702,134.0375392895917,158.8568890521703,188.3511471067337,242.8168121642835,243.9573480068556,11.92312021186566,19.23194694072624,26.53568455264848,172.4334631850589,121.1071838922406
F11,Times6,76.4679487765922,146.6496144438297,136.4297257588946,2.696387605804616,14.29982828857163,5.463234873978783,1.875925605658622,202.4893931459484,115.6529975312908,132.0839887402413,262.5879069022937,107.4165860180182,247.7933716877832,204.5874171215537,77.35700735323317,13.1545242614752,7.494089282288561,13.09517440061602,205.9092862399617,134.8425056219302
F11,Times7,188.8984868555627,194.0296678777398,138.0899517854796,8.559368316480633,15.2104858728754,4.731870610433679,3.849300781743797,118.6720197212638,123.1076034991217,130.6821565193798,265.1300315037485,139.1007752389137,243.8459968071989,138.236992107202,144.3716556831383,10.25968635510528,19.93005856042297,12.07449505358602,180.9699206253956,134.5649730787455
F11,Times8,163.3027097036795,211.1301131956877,149.7740063992318,14.99832532320304,15.1018085243534,2.539158030679685,12.41594289463795,149.438777398485,143.8702687355166,222.4175763609194,141.6380225138984,164.6168845974403,186.7395354079047,197.7744131960671,153.2206236039189,15.36254429260653,24.51911500916253,1.182524729296405,203.7693807599597,120.9858691197928
F11,Times9,127.7650746312068,124.2279587117475,125.9250575487566,12.22378259117378,10.89186197305333,28.71537597026743,12.47570481754741,206.0674251355026,223.3827712506115,230.1591078070164,229.562458975186,111.4706339453618,204.9723174617306,157.4929414086314,67.88648945100186,13.56694190447219,10.74995494264665,18.1970606979009,180.0052966250618,178.564216207455
F11,Times10,208.7136172808396,139.2097336395469,132.2030843163797,12.78716390014298,11.61174679526177,8.455069839154115,10.16325781381145,114.7597342923065,116.8737301202242,159.9416435970789,182.8078889942205,169.1968038730013,216.1900268744537,183.4279009193207,136.3665371209459,9.188724058915582,4.896815043882321,8.182964750911035,217.4160174414302,258.5620896443892
F14,Times1,1.992030900220716,6.903335694220152,5.928845125400183,1.992030900220734,0.9980483971599076,0.9982707618075686,0.9994018960059837,6.903335694220137,0.9997552392795039,0.9999540268636118,0.9997044071649573,0.9999692681836532,4.950491231786253,2.982105156816677,6.903335694220149,20.1534869604712,0.9980038438200851,2.982105156816677,12.67050581113555,0.9998139321281865
F14,Times2,0.9995222741462753,3.968250105568164,2.982105156816678,0.9980047850826952,0.9980111147906526,1.99203090022072,6.903335694220141,17.37440650048896,1.992030900220716,0.999838738405811,13.61860892386102,2.982105156816691,10.76318066677915,11.71869956206307,20.15348696047189,6.903335694220144,0.9981161517138822,0.9980039441959572,6.903335694220137,4.950491231786254
F14,Times3,0.9998839624908495,1.99203090022073,0.9997770954900809,8.840835962754236,2.982105156816675,15.50381680261235,3.968250105568163,20.15348696047119,0.9999331671803603,7.873992977132175,3.96825010556816,7.873992977132198,0.9994930526633279,10.76318066677949,3.968250105568169,8.840835962754237,21.07268750831585,0.9983125536112384,15.50381680261233,2.982105156816675
F14,Times4,0.999962037080728,0.9998284037799924,6.903335694220153,5.928845125400156,0.998118623520398,2.982105156816676,0.9982100757243647,1.992030900220717,0.999788507936613,0.9983239822714746,16.44090731417177,10.76318066677917,7.873992977132175,10.76318066677916,2.982105156816689,15.50381680261236,7.873992977132182,9.803897942835295,1.992030900220717,1.992030900220717
F14,Times5,0.9984492941805985,0.9998050439976819,0.9998467306399995,1.992030900220718,1.992030900220717,10.76318066677916,7.873992977132179,2.982105156816675,1.000045681715803,1.992030900220717,11.71869956206306,2.982105156816681,2.982105156816674,5.92884512540016,15.50381680261254,9.803897942835269,3.968250105568161,0.9980261547987979,13.61860892386102,5.928845125400148
F14,Times6,7.873992977132179,0.9997532765345788,2.982105156816678,12.67050581113556,10.76318066677916,0.9980850374318874,0.9980698008847838,6.903335694220137,7.873992977132177,0.9997111502958416,1.992030900220717,1.99203090022072,0.9980083632719076,2.982105156816679,0.9998553088831494,23.80943447129631,21.07268750831578,1.992030900220717,2.982105156816675,5.928845125400148
F14,Times7,2.982105156816675,10.76318066677916,5.928845125400259,0.9980424273798494,6.903335694220146,5.928845125400149,0.9980186441664403,7.873992977132177,3.96825010556816,5.928845125400148,6.903335694220138,5.92884512540022,3.96825010556816,3.968250105568169,9.80389794283533,5.928845125400155,5.92884512540015,1.000032560007011,1.992030900220716,10.76318066677915
F14,Times8,0.999449372247863,3.968250105568166,11.71869956206313,6.903335694220141,11.71869956206307,0.9980308733885906,0.9997293493912227,7.873992977132175,1.992030900220717,0.9999922309453163,0.9996713501917184,0.999445268769923,10.76318066677915,2.982105156816681,6.903335694220146,9.803897942835267,2.982105156816675,0.998149887071495,15.50381680261234,10.76318066677915
F14,Times9,5.928845125400147,1.992030900220721,1.992030900220723,5.928845125400147,0.998404246991189,3.968250105568161,0.9999923775183956,8.840835962754234,5.928845125400147,3.968250105568158,1.992030900220716,1.992030900220719,5.928845125400146,3.968250105568172,8.840835962754264,0.9980248046585373,0.9980038437874098,5.928845125400156,1.992030900220717,0.9990913713054203
F14,Times10,14.56305415736233,0.9989224366420186,1.992030900220726,6.903335694220142,0.9989297076780133,5.928845125400151,6.903335694220142,13.61860892386102,0.9999496936479986,4.950491231786255,1.000022105430245,2.982105156816701,17.37440650048896,11.71869956206311,5.928845125400166,0.9980371603010082,0.9980575971383543,0.9980038394886133,1.992030900220716,5.928845125400147
F21,Times1,-5.100772140206799,-2.682860393316048,-2.630471667972714,-2.682860393604868,-2.682860391107269,-5.100772121583868,-2.630471668010053,-5.055197728874422,-10.15316283554976,-2.682860395691189,-10.1531762837782,-2.630471668065687,-5.100772140325701,-2.682860395573282,-10.15315237934105,-2.682860369583624,-5.100772078440748,-5.100771841946171,-10.15316525264413,-2.630471668397803
F21,Times2,-10.153157073651,-2.682860395198613,-2.682860394270534,-2.630471665126165,-10.15317603468955,-2.630471666254642,-5.055197718775208,-2.682860395689821,-5.100772140255045,-2.630471668406361,-2.630471668408738,-5.100772139278071,-5.100772140297828,-5.100772139014103,-2.630471667870466,-10.15319052831956,-10.15318114105912,-5.055197677237635,-2.682860395688541,-5.100772140315147
F21,Times3,-10.15319445747935,-2.630471668391726,-10.15317535120617,-5.100772123171954,-2.682860384920598,-2.68286039124257,-5.10077212043505,-2.63047166840917,-10.15315463670905,-2.682860395691729,-5.10077214032433,-10.15316039823004,-5.055197728920676,-10.15316698661086,-10.15317353157858,-5.100772125925268,-5.100772108773185,-5.100772125203846,-2.682860395687273,-2.630471668405009
F21,Times4,-5.100772140319679,-2.630471667969955,-10.15315432571328,-2.630471656521197,-2.630471666846991,-2.630471665789317,-10.15315392922655,-10.15315724085496,-2.682860395683694,-10.15317013144977,-5.100772140321198,-5.100772140268141,-2.682860395685287,-2.630471668082264,-2.682860395443209,-2.682860377120998,-5.100772087711837,-10.15318128405439,-10.15317254644653,-10.15318639233629
F21,Times5,-5.055197728913848,-2.630471667246164,-5.055197726411851,-2.630471643191506,-5.055197665472415,-2.68286039440973,-5.055197717416436,-2.682860395692566,-2.682860395684397,-2.682860395690829,-2.682860395687999,-10.15315861770896,-2.630471668410693,-2.630471667829286,-2.682860395473544,-2.68286039076789,-10.15318215122322,-5.055197646883288,-2.682860395691717,-2.630471668393228
F21,Times6,-10.15315552751328,-5.100772139441653,-5.055197726530504,-10.15315954505403,-2.682860342243881,-5.100772120755554,-10.15316861637429,-2.682860395692756,-10.15315222495264,-2.630471668408067,-5.100772140307806,-2.630471668017012,-2.682860395685023,-2.682860395074398,-10.15315512417108,-5.100772114035824,-2.630471665688894,-10.15315700410278,-2.630471668410503,-5.100772140314255
