Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F2,Times1,5.514975166115648e+44,5.351218878247358e+45,1.54065225489078e+42,377.6358970792471,512.233639073292,4.992562832369311e+25,45337626028563.24,25450.67942581336,1.269467337729729e+32,1.065441078465708e+50,8.885068804109807e+40,3.4329364686503e+40,3.385657836977638e+42,1.148182412301654e+47,2.052237764664214e+52,469.1371180331117,599.9763330196412,63953490471.19254,2.616920546060478e+18,1.318776063094972e+24
F2,Times2,1.365090411739885e+39,4.793661307274858e+47,1.264800705578762e+52,572.7166788651753,536.8431886283964,2169.069073872704,95177520.68744645,3.129762712515963e+38,8.266923092345307e+47,2.160659830827727e+45,1.701743909793206e+42,4.794441755009709e+40,3.319843137293498e+43,5.209165839801085e+55,5.352043657471724e+47,443.5069144600135,4122717357.859191,1223.011959452085,2.44304901287767e+40,3.059471736811845e+19
F2,Times3,2.99781834845894e+38,1.108678315600644e+38,9.554527060315357e+43,1310.320112437551,91435256705.15991,52894178693.3954,3.962128756428915e+18,2.432020237554161e+36,2.804848392189639e+36,2.87933361870723e+48,1.734200975756776e+40,2.893823039734734e+43,1.190160358603264e+36,3.238858966009124e+55,2.334787459983678e+50,181.4372262927608,1597.418146043444,9.508125375720676e+35,3.183228351119994e+26,1613.23943073599
F2,Times4,9.088465222670983e+36,3.104248442211995e+46,7.601825262033161e+42,332.0677887536213,642.9868803029032,532.5781184318405,38486502952.58735,4.230493332756512e+21,3.820860547299964e+40,3.96511357708282e+38,6.352649231377894e+40,7.996148864220809e+41,1.524797339592781e+46,2.291113680898739e+48,1.03422509724224e+42,3.437189747768989e+23,440.4856831806225,251899.3967129342,1.016654079074525e+21,3731691.862320365
F2,Times5,5.265128984245614e+32,7.857081527738237e+44,4.446107677159691e+46,638.7817507530641,8269091.814068464,10860957417737.91,153503354329.2413,1.272930695320979e+40,5.301909748615106e+34,4.259835078062366e+39,2.503042539800514e+48,1.304105418049074e+43,5.024823164953546e+37,2.047827733353164e+49,5.977809088943955e+52,491.0800624440483,1233.628777519586,8.137835245792838e+36,5.317956519414729e+31,1.354837002261199e+26
F2,Times6,1.289903782399045e+54,1.040704717932031e+37,8.68978743287909e+48,442.6337476837382,32907.92883492284,1136.79796441599,1422783.819084421,3.295577150348765e+40,1.218797841029188e+27,9.256024475176834e+40,7.423679104352474e+36,1.581479376817771e+43,9.212578076570989e+60,9.933442756498183e+54,1.015443720712569e+45,648.975674163087,1004.947982109845,1106955636974.553,1.943477790959866e+28,2.210256442016272e+32
F2,Times7,2.610459892730878e+39,1.280324751206705e+46,9.809679293355405e+41,424.1073650538981,22699818083.45776,1483.264195507756,4998303722876762.0,3.552204082167078e+49,4.458415996215623e+22,3.87591767189879e+37,2.515347550628599e+37,1.786108936891565e+37,1.209384650109848e+44,1.702645393133279e+43,1.874915996799146e+49,631.1875405179591,1321961837373.022,1191.030629989837,6.422777078649647e+33,3.144831660196046e+26
F2,Times8,5.007017050750351e+42,5.126190697388521e+47,3.406179726076709e+42,374.0795456042486,1604.488577623315,97060628.22013618,1890.258402859604,1.383795410665127e+36,1.052788780868716e+32,1.153647200591765e+47,2.730452003364695e+52,1.479527857415381e+48,5.970842389368454e+42,3.02874440329162e+48,3.356108815501875e+41,348.6226834499479,1184.900806274844,633573029395.1221,6.064733172985302e+26,1760.082933379616
F2,Times9,8.521969375698921e+27,1.469941711357253e+42,1.372329681267468e+43,667.3250394974285,1578.573574564888,98220467.7564893,3.474715092735982e+40,3.116932481556757e+30,6.32474819304749e+22,9.281426685133754e+34,9.602145780462081e+44,5.100485501561606e+50,1.398144052119683e+43,1.057979926350467e+47,1.326988906789393e+45,493.1307610955348,8.421075312664678e+23,1234.574869120146,1.35096628413985e+49,7.176226764994057e+19
F2,Times10,1.502020828664766e+20,1.060464311754975e+41,7.15542028052173e+45,1093.621217401545,1.296290818349965e+23,235375094952.4113,2126.252428202667,6.687438381590605e+39,3.800084248125207e+28,1.049892568503817e+40,3.697663676635714e+37,7.212211183390023e+42,4.557521232608329e+42,2.266069429843548e+45,2.321046931751197e+44,1019.605695468153,218149467857528.0,1339.676297547357,1633.670806771096,8609117130.906544
