Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F8,Times1,-9415.025267667465,-9752.605608908372,-7998.977467421561,-12123.3705290712,-11611.35195409719,-13144.84864458213,-13740.69282601865,-11913.4189370896,-9976.475761063919,-6632.649409123218,-9508.131585329564,-10086.77343697925,-9165.323781849085,-9626.27399574629,-9781.195700229488,-11328.33477555527,-12378.16132221214,-8174.565353860758,-9970.13857156541,-8836.322740981746
F8,Times2,-9577.72561176018,-8735.814671333259,-7693.870772761924,-11649.71852343599,-11629.35091524854,-11882.9070994759,-12618.02994240175,-10909.60212042215,-9500.910404595137,-7911.340840763592,-9658.45912470693,-11408.34287529897,-10723.94561412255,-9965.74882641499,-8440.963114601745,-10326.33075351901,-11729.96314270221,-11249.49521998132,-9112.893609506766,-9105.765745968834
F8,Times3,-7838.148185310626,-9340.338172001999,-7555.802754782269,-12203.0478410761,-12771.774407749,-12577.01905544265,-11666.6369911148,-10428.8753027837,-9307.760261247024,-8551.994200712285,-9738.977921079948,-10014.22187948715,-8942.91335341672,-7980.614362604416,-9966.462754073018,-12318.2093225658,-10660.25198982137,-14630.97856978709,-9713.535606953328,-7686.570775344515
F8,Times4,-7335.946133274184,-8251.626500112703,-7542.342019296005,-9478.749402370473,-12162.83230968741,-12848.35349116887,-11907.49452273234,-8914.634601777378,-8684.407732864232,-7301.539773620482,-9881.261973196926,-11328.60589093864,-9993.920325272606,-10363.07521175237,-9853.206230484968,-11588.0070275441,-13185.92723535248,-11865.74726590392,-9297.098944871894,-9516.875423836593
F8,Times5,-8974.144721813207,-7493.577858879458,-7644.657168039706,-10953.59697090676,-11270.98003813785,-12021.60623532042,-11611.04451557693,-9324.991023975834,-9741.265714075946,-6876.712484474365,-9043.354147742612,-9935.57158445872,-8829.00690824469,-9393.51623105384,-9168.291220545372,-10503.94122768682,-11410.08637906072,-13263.42397670668,-8554.654481894884,-9452.588899032613
F8,Times6,-8034.470692882197,-8637.329017166578,-7795.403844806548,-10839.18598770891,-11333.53771808308,-11410.78713710059,-11864.21798802116,-9355.695740423522,-9326.985220597677,-6588.9881150746,-10711.53109695181,-11362.34691611341,-7730.780823005488,-9420.075599561835,-7452.301221613925,-13364.3075197409,-13169.18194355287,-11708.53917936398,-8885.191818862737,-9827.288734542924
F8,Times7,-8668.374727352044,-8060.758662730302,-7786.627463056687,-10860.10519135392,-12597.10995580908,-10960.19767815796,-10243.79983063879,-10846.67074353076,-9927.56898960537,-6729.928155096552,-10658.31118917905,-10966.99559899284,-9602.369485522131,-9679.128282296266,-9827.411397846172,-11668.23778977911,-10958.44720639059,-11742.73167697441,-8750.669734561587,-8785.548540854623
F8,Times8,-7549.017533778316,-8450.550095177683,-8461.493980405477,-11681.66193695813,-9690.557790129531,-11826.27868578652,-11783.62814915559,-9446.880371633404,-8615.322742274131,-7977.589715627953,-9475.568493550361,-9332.108309794938,-8719.704469769511,-9387.30181164483,-10365.31757732022,-11394.39357597056,-12117.15981802109,-10267.91622734189,-10393.05318537971,-7501.943107015478
F8,Times9,-9230.792851862654,-8000.806532825512,-9125.814067561834,-12419.05045290406,-12593.80001319584,-11196.39805338036,-10524.09954332043,-9764.545296834138,-9640.89148263877,-7174.347319885567,-9941.721440401114,-10533.39585684459,-8978.107478451713,-10079.27449301291,-10160.73912095486,-11133.07762974852,-13029.66486901961,-8827.729171981933,-8683.184472790601,-7462.339955906894
F8,Times10,-7855.433287993601,-9689.989113209267,-8439.660991846275,-11472.08846495789,-12302.84269488071,-11372.44074061042,-11768.17861282338,-8995.652581344388,-7875.804041953676,-7931.397811907704,-9061.418820572788,-10674.58575733518,-6585.487576809659,-8916.683910752035,-9351.985011611481,-8489.536499025866,-9359.002284406699,-9596.80883247048,-8019.059067869441,-7381.358508561845
