Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F8,Times1,-7492.235561961329,-8874.176146802454,-8523.595979238395,-9557.689562467578,-12458.55354677287,-11923.60949548118,-12439.15250098829,-10762.98624636394,-9439.132757512221,-9010.453177017858,-9160.06515098479,-9325.804364673155,-8459.570249603124,-7564.336039689916,-10256.66561473397,-7681.787704105792,-8963.949621265705,-12874.80075290377,-9584.072425817676,-8998.91276457526
F8,Times2,-8386.949029176065,-8985.32927660098,-7316.727253939267,-10837.12689365574,-12434.609760018,-10995.01205511702,-11472.53700900376,-10309.13806556796,-9145.003773414594,-8870.364553403766,-9261.476258922477,-10502.75585312283,-8129.893941353277,-8696.043103626325,-9710.15704563162,-11901.35049815536,-11919.02270604242,-12180.91361274972,-10596.5332051596,-9966.22545675471
F8,Times3,-9422.845271292801,-9390.901276945273,-7795.681372581798,-11572.17829713586,-12221.57927093281,-10621.11096536805,-10404.09991272148,-8776.904952503464,-10153.02777517185,-9391.893110291416,-9627.450252971794,-10254.94885443133,-8845.745269387435,-8472.079543778742,-10245.83974580185,-8451.933999242434,-11307.91191650767,-9912.491371938748,-9320.378564398774,-6639.851535050676
F8,Times4,-8459.322734200483,-8821.446934271837,-8414.285136743834,-9813.6943775493,-12611.04461321891,-12182.01232123127,-10602.29709956017,-9436.068923964962,-9804.544825443403,-8202.937933637035,-7084.991505663477,-8745.306992769018,-6858.43117896053,-9320.213739493209,-7955.011358850606,-11195.19904044265,-8982.094502958254,-12414.81466697651,-10810.53629273009,-8242.76732556957
F8,Times5,-8953.655778245802,-7365.03827966775,-8131.534886388949,-12040.5541358544,-11804.50491520336,-10362.14440613658,-11630.09684963793,-10246.41079355572,-10033.78561608025,-7808.336774472446,-10926.82908016464,-8752.685396591149,-8692.499607265134,-8371.07415572381,-9162.106024153794,-11902.34592631697,-11486.30825682893,-11927.49330148033,-10237.46378947383,-7754.241997969862
F8,Times6,-8289.379538918725,-9866.690905108713,-7071.011536989581,-10557.25010842511,-9439.193888275115,-12595.55350405154,-11609.67560221123,-9604.482502084433,-8756.612672666148,-7213.593897037424,-9499.066431383795,-10187.83187387575,-9422.345200715652,-8825.577301127227,-9537.994227920772,-8214.187525781577,-12415.04807988299,-10957.1084182882,-9440.733451379769,-8492.90596205788
F8,Times7,-8457.213908693617,-7042.197362955266,-6634.309216138095,-11569.12464888977,-8234.279498364764,-9850.08371898662,-11352.48022674053,-10322.50219254031,-8675.650800108016,-7202.872968529743,-10480.36648554239,-10583.54902257214,-7345.74695808396,-9151.421769672324,-10112.4936957432,-8688.98244972303,-10048.51085551904,-12241.37936466022,-9710.632442759786,-7333.15511560627
F8,Times8,-7475.714016525172,-10404.35983108362,-8489.472870004913,-9792.97117557379,-12519.24438377625,-11012.3578444739,-10210.05179944833,-9108.133991979397,-9199.16114766336,-8690.144859463795,-9217.999118830809,-9944.835713486822,-8067.982129879185,-9590.126750588146,-9356.570082343367,-11015.18242716451,-10797.18919742654,-10895.97970045259,-9545.011500812238,-8918.155341436126
F8,Times9,-8879.88018891854,-7818.801181238659,-7787.514973320308,-11564.12221742324,-11944.71160129342,-11307.44443802676,-12455.10601102933,-9395.777111004956,-9740.986017825955,-7066.319402240772,-10490.35013543959,-11288.13910407118,-8824.906810503566,-9900.805850249613,-10882.57373595619,-13045.54608484042,-12435.76177194313,-10059.41793968547,-9333.620902607328,-7859.744258398416
F8,Times10,-7690.880296995106,-9657.664841011843,-7458.548120783182,-9912.406859451441,-12060.76603515485,-12159.86613803115,-11783.55095597221,-9628.703662495092,-10672.42739166296,-7273.40641443,-7626.928144380647,-10955.27831308378,-9376.766150693336,-9266.986242514698,-9656.335328054236,-13446.18554051651,-9102.16056658102,-11963.83966604148,-9490.29698201671,-8538.731754566323
F11,Times1,13.83070993714817,10.38890043484244,15.11763833740449,1.199365471287771,0.2931198667677281,0.1081461150715597,0.09685374720693807,12.13978604153238,5.144325062108626,13.57191910411651,17.96593625305447,6.665875145773009,37.78899498621036,34.8377119876424,12.85532613828249,1.353431510961986,0.6293760054556296,0.1178294782249065,14.111004078419,9.611829906584173
F11,Times2,18.17523073124368,5.546664380345436,15.42688910432271,2.202061432066226,0.2537873996304504,0.3188224465522224,0.2148111383155681,16.06232388530101,12.05102373109395,13.20667983660652,25.43664304862115,6.664607855023501,24.57870369702725,25.91142442237916,15.57881712291573,2.918436313126519,0.1696385962578311,0.03690691412407965,20.43337202776216,12.85651993955983
F11,Times3,17.42592124904397,9.961989363474101,21.97879629528365,0.5884505452618969,0.3098481883003604,0.0684114135482431,0.1312268572988066,6.820327821152929,7.727609159543724,20.03126534360086,17.71060744886964,12.09493381567175,17.87109718439477,21.66076758217392,14.0528316056175,2.425399892318682,1.540290961377396,0.3012848913051309,13.70226635082966,13.43440177138692
F11,Times4,16.50295517051223,8.908831172308712,10.95152533967781,0.5685891982966911,0.1326664843061955,0.09272514494100059,0.1682504008304788,11.00546414313509,9.835483843681622,19.66343248641174,24.28865103282699,8.929177568370527,27.63328144731794,41.4286939964127,13.4766092629583,1.82808598689968,0.7240833917832148,0.2088222402091794,18.09596741863771,16.04115281219012
F11,Times5,9.658716026367177,13.07781111348291,11.96682168627563,0.05886745085797807,0.7730220243335341,0.1734154530566031,0.1382950861717976,13.76730603587606,7.192695649918304,22.33262520007256,12.85114973570449,28.94836906073808,22.94832485796749,18.54522916965228,16.94173441886386,2.937424496542105,0.7898880375047618,0.01232116754373558,28.27021664997589,10.91544308864402
F11,Times6,17.6507444687635,17.08622835155867,24.39532835587279,0.6965595627841673,0.1482486351547442,0.3203245639350184,0.1001361104083006,15.01239793249727,17.97853865155478,16.21218634627156,27.52363332786548,4.826441383360545,29.13219901447434,25.48414555161131,14.2536789429225,2.78295969626265,0.6776028756944756,1.476861913368835,27.11895571136052,11.6131738180995
F11,Times7,13.69679821429943,11.37172957366964,16.09510714246186,0.0897216468775558,0.6682927304564577,0.4476097964725716,0.1895079918624123,7.796552643964901,10.51204280613515,17.72310983192105,17.4133110998347,8.719670689433816,21.73338838869309,21.29684708462671,13.57832192679628,3.08925119681341,0.2481465632678297,0.0992270981833887,16.21381870192112,11.17584958193842
F11,Times8,21.00842326503138,15.41679105921263,15.55483038546812,1.228947121000881,0.1802899679816075,0.1774754545636323,0.2260224246037532,10.64086865626241,5.297148117710138,26.48298128855362,11.62551578143939,8.625125268614234,24.11834163033475,16.25747096050764,21.9903520058761,3.004101501082987,1.976734139927175,0.2705612997715741,20.66263051930315,14.76407827028013
F11,Times9,10.15137910911713,9.887254864595432,9.268621027528235,1.10665332244821,0.2745730887759164,0.8561175388399924,0.2860523341677206,11.95734170747572,5.723579735950684,21.60260268992393,21.53833712856605,3.522585681036256,22.83626571856801,29.11409095780248,13.95339345418671,8.85218131514683,2.421903102766562,0.166709706921619,23.49295994316668,14.75562101574503
F11,Times10,14.47896753828551,16.17438489862969,13.06428903445757,0.521103930800515,0.4154479186309765,0.2755103725162751,0.3747919484790949,4.800572850138849,5.680399740084632,17.88214590268041,20.87341549799362,10.73968317068007,31.84113783037796,21.5515297145443,17.94881056495957,0.7037492029515151,0.09085618703468268,0.1434252827814106,18.55006920364991,10.3708173098005
F14,Times1,12.67050581113555,1.992030900220728,2.982105156816689,4.950491231786255,3.968250105568159,7.873992977132177,11.71869956206306,12.67050581113555,12.67050581113555,15.50381680261233,7.873992977132177,23.80943447129701,14.56305415736233,11.71869956206308,3.968250105568178,6.903335694220139,3.968250105568158,6.903335694220137,0.9985605197380341,0.9993982540476418
F14,Times2,6.903335694220137,10.76318066677916,4.950491231786475,8.840835962754234,22.90063408158465,7.873992977132179,7.873992977132177,2.982105156816674,12.67050581113556,6.903335694220139,3.96825010556816,12.67050581113557,12.67050581113555,14.56305415736269,14.56305415736253,5.928845125400148,6.903335694220137,8.840835962754234,0.9989753666967728,9.803897942835265
F14,Times3,1.992030900220716,9.803897942835421,3.968250105568168,3.96825010556816,12.67050581113556,6.903335694220141,1.992030900220717,6.903335694220137,9.803897942835263,2.982105156816675,0.9983826823368922,13.61860892386104,15.50381680261233,10.76318066677916,2.982105156816693,16.44090731417178,3.96825010556816,5.928845125400149,8.84083596275423,5.928845125400147
