,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F1,Times1,3.5971940611244177e-10,2.933960631962775e-10,4.759056761060573e-10,1.0911692013682809e-07,1.8567135095324839e-07,6.800318473170163e-08,3.9945116087176204e-07,7.789174973541863e-07,5.112712425276358e-07,3.3302433093444207e-07,8.512008790420665e-07,1.302958022893369e-06,4.917499768613202e-06,6.495592871325215e-06,5.181584145129376e-06,1.195675248439833e-05,1.92565095150872e-05,5.1624904507090415e-05,2.0879395913446447e-10,3.0115654435420126e-10,1.2096592777697582e-10,1.4718107738294753e-07,2.800279525314091e-07,2.04590338175838e-07,6.54758764962459e-07,7.3996507711227e-07,2.5624833475239716e-07,1.3854985019451078e-06,1.2603429179526302e-06,3.798873267425745e-06,6.004241497455224e-06,9.929164964693555e-06,1.4119464885289034e-05,1.901858274961543e-05,4.9615175970986e-05,2.7222349465900524e-05,9.988847664359421e-11,8.473988731602133e-11,1.9431124816025236e-10,7.345533051988498e-08,5.1949590383825165e-08,4.128777086819998e-08,3.6799345838187586e-07,2.945781596968332e-07,2.4993656065069896e-07,3.039633551800265e-07,3.6326207013765167e-07,1.2887629188683447e-06,2.9109162424287056e-06,3.4962075416114615e-06,1.3116957889163834e-06,1.3555139585159801e-05,4.330479334100906e-06,1.6063398580159466e-05,1.244021884866444e-10,2.2266142210828975e-10,6.341240622863141e-11,3.508853247566758e-08,1.0581733543639837e-07,9.550138239023395e-08,4.921915527948427e-07,4.3107343736251304e-07,2.619534827375819e-07,7.764370730550911e-07,4.077772171654091e-07,3.799358675254105e-07,6.554588385546528e-06,1.5333670206822128e-06,4.60753275437641e-06,9.86718839795727e-06,2.0183456076716516e-05,1.531193812150515e-05,3.0479843375758833e-11,1.6185747450167038e-10,5.505115388384927e-11,2.77830402496222e-08,2.6916268743810505e-08,1.96177778890151e-08,2.819384478024643e-07,1.181395695454972e-07,1.5311127983394534e-07,4.067407564123717e-07,5.256803922836602e-08,3.766474009594805e-07,6.951857449765815e-07,1.1198723681496654e-06,6.492930390817015e-07,1.9223603101876158e-05,3.03603728528696e-05,1.2613556983722346e-05,2.8470573870842382e-11,4.2410525681655934e-11,1.0270337861019648e-10,1.970122020832599e-08,2.279762694774979e-08,2.64398210775667e-08,1.036948183804676e-07,1.9408729908236983e-07,2.5706021726541004e-07,1.6112463849895573e-07
F1,Times2,1.550778481373107e-08,1.6747610172312886e-10,1.1874459610008106e-10,3.288284008816271e-07,9.808150407506781e-08,8.969143814036514e-08,1.9238883045613434e-07,3.1347328215385195e-07,4.935767304434036e-07,1.2250925311959192e-06,2.1838951245438727e-06,6.328807862737166e-07,5.5550314549247645e-06,6.379601840943616e-06,3.6876911069853958e-06,9.320922739251952e-05,3.050878154335524e-05,1.3494767408585724e-05,5.577727202007911e-10,2.2628130176336302e-10,1.237942661820516e-09,1.6306303511497713e-07,2.7580309349256064e-07,6.91565450906155e-08,5.100985089233228e-07,6.49910441650651e-07,9.783386946425065e-07,8.854360300329217e-07,3.0043510448901535e-06,8.946670464519744e-07,6.253193848655265e-06,1.0488401801898563e-05,3.766610935245753e-06,0.00012822364285999506,8.01470746321111e-05,1.443220657816968e-05,1.8456153953771354e-10,7.592235583460222e-11,1.3205860454250904e-10,7.267323796041031e-08,6.741225352781189e-08,4.181314948931555e-08,1.2176968553636443e-07,2.8438582597175883e-07,2.51635706828512e-07,2.0238169509050528e-07,7.063983094841594e-07,3.354570355459429e-07,1.4498032567375012e-06,5.344579834238578e-06,1.661258555816849e-06,2.7547974091935675e-05,3.907504132707782e-05,8.072749467309336e-06,2.8735271531812554e-10,1.3504968751849379e-10,4.797928266891848e-11,2.517467970080053e-08,7.835797565059907e-08,8.989918167468452e-08,1.555402940128871e-07,3.226142970520777e-07,2.6590243333044344e-07,4.992003009133988e-07,1.1229434582630732e-06,7.043732081149442e-07,4.005093864813567e-06,2.1887863717223903e-06,1.036563640055209e-05,1.334517415956361e-05,2.186104354053295e-05,1.3551385514973956e-05,2.1166285971262675e-10,8.998730245921672e-11,3.0101444508570245e-11,9.775654473500223e-08,3.2667063408244576e-08,6.877762543375782e-08,1.7359778207172595e-07,2.0995026550157422e-07,1.4879094929314455e-07,1.2918525408999103e-07,1.3247496081614188e-06,1.7546492152959014e-07,4.0007958517898355e-06,5.6423226962598624e-06,4.6537284621564696e-07,2.4065146183466422e-05,1.962376405692542e-05,1.9553531042598276e-05,4.8636498369724253e-11,5.564920693579772e-11,5.355906726570783e-11,5.227824507672441e-08,3.6741771160522764e-08,1.0102846455810155e-07,3.5164750000591296e-07,7.663200628052925e-08,9.286171204899869e-08,7.947590780634486e-07
F1,Times3,5.9255373933518e-09,1.6026039223787565e-10,79.69436831292084,7.991341137014558e-08,2.8627635675169373e-07,1.2415995581844375e-07,4.985921021943e-07,3.009154058898798e-07,1.3713321384325969e-06,6.878095010440117e-07,2.4015488216054047e-06,2.459877953428279e-07,6.337272550869965e-06,2.1287907405802177e-06,3.384473598445461e-06,1.9243094052295203e-05,8.858994430800942e-05,2.2865750374888966e-05,1.9899230079534154e-09,3.52599224814554e-10,1.9122185060063777e-10,8.217142113170155e-08,1.878132969736962e-07,9.42000968999611e-08,2.8124716625447665e-07,1.0901376450718504e-06,7.553983383737501e-07,2.7066716159563077e-06,6.997849213286171e-07,9.65357147033889e-07,2.6678164100841977e-06,3.103760790051934e-06,7.457112147661664e-06,3.088972247064444e-05,3.469331734488004e-05,0.00014138291178528357,2.8736585400694165e-11,6.834579023303701e-11,1.5549257575130387e-10,3.435705826563627e-08,6.859738052697857e-08,3.681297304441369e-08,2.5248043726139976e-07,1.4931977960637607e-07,1.7452622169667903e-07,7.741709820783137e-07,5.077781459400448e-07,1.371062513388311e-06,1.0117624372767979e-06,4.5618403937703404e-06,1.7279655422803577e-06,1.2301037600849029e-05,1.916093830375328e-05,8.16192621879177e-06,1.3821337527191616e-10,4.692314836565913e-11,7.57801242702906e-11,1.1438897195071436e-08,6.84425677304408e-08,1.388401832659563e-07,1.221449075111618e-07,1.3284087666521666e-07,2.3026115380632396e-07,8.328224913833089e-07,4.31055608350301e-07,7.65806413240561e-07,2.673689428450367e-06,2.5931727237196996e-06,3.022954246306081e-06,1.1245521031446474e-05,3.90320740536423e-05,7.934740907603082e-06,1.3131783660845608e-10,5.137736763184531e-11,9.781325623721711e-11,6.518749854093911e-08,8.448578277229461e-09,2.003132266815607e-08,1.2189497692732962e-07,1.3618507598433636e-07,9.928757432091549e-08,1.3781539849396837e-06,2.386242932831194e-07,4.603478816677961e-07,4.1966466291821697e-07,1.1346951248082192e-06,6.458738779344376e-07,5.527733845961488e-06,6.5961734753244e-06,1.2401093869397776e-05,9.35539506937456e-11,1.6077104937401833e-10,2.081524572996731e-11,3.078520814140639e-08,3.4375343726406153e-08,4.4525588072804075e-08,9.664481727487964e-08,5.073832069231847e-07,9.86327599692763e-08,6.281174647647489e-07
F1,Times4,4.880523592371379e-10,0.09459467288663397,5.027653726111703e-10,1.039839545289222e-07,1.2727494433356717e-07,1.439657951555627e-07,7.556458890667049e-07,1.323153304446242e-06,8.200460444475794e-07,9.651997559717407e-07,2.1979733427353885e-06,1.9730261133221162e-06,2.5600695379590825e-06,3.6829314900503608e-06,8.954048650012288e-06,3.2214111726660496e-05,3.56825664972829e-05,3.6705112919464254e-05,9.875273989505804e-10,3.821416581256593e-10,3.2953285088262056e-10,1.1105301568597069e-07,5.0569806381400116e-08,8.587665911915971e-08,4.135962662388768e-08,1.5895398711006797e-06,2.963199548031402e-07,1.3320088768321276e-06,1.7937417143127023e-06,5.878058973136181e-07,9.403217822383734e-06,1.7983807831217818e-06,3.3700794855729195e-05,3.460413830552305e-05,4.184610739887777e-05,3.7823006786281044e-05,9.516783318955533e-11,1.4499950777727654e-10,2.3991649746198705e-11,2.094408791270845e-08,2.46705903860429e-08,1.1083378014170993e-07,1.755443589504242e-07,1.2773370909868109e-07,7.392143598218794e-07,7.080598415380999e-07,1.4049422312545648e-06,6.944134653759972e-08,1.6356658149853485e-06,7.774869499426038e-07,2.7913861252973747e-06,1.4587389088711904e-05,2.8194876032308087e-06,2.2330652811977454e-05,1.3462169645507286e-10,2.090241002463137e-10,1.1330050437851129e-10,2.1153092745281927e-08,1.9461658084734575e-08,1.5227901403777652e-08,2.224117041798066e-07,3.5145876470340206e-07,6.16580778098826e-07,7.870688003221524e-07,4.380912156256133e-07,5.743791991612214e-07,1.1368734585715396e-06,1.9114848041561156e-06,1.5145728705446762e-06,5.533025783077259e-06,3.991049591387533e-05,2.3299696868536863e-05,1.8292459655542843e-10,1.3561770623272352e-10,7.141990794808217e-11,3.738305254452585e-08,1.0634523837366673e-08,7.514993894965268e-08,1.4744192272222046e-07,9.595466934841226e-08,1.7420677471231929e-07,4.78280363676355e-07,1.4189285568924094e-07,4.966802088527115e-07,1.9745844018173916e-06,2.1372781396182725e-06,1.0629124692964722e-06,2.974243454991702e-05,5.200707716043303e-06,2.9613634709139555e-05,1.2646851726231065e-10,7.490060820057006e-11,3.5409882546922166e-11,5.905593305272963e-08,3.302885901811135e-08,2.8057781452733613e-08,2.2042842292556628e-07,2.8466557628402234e-07,1.514958273302712e-07,3.0619825271631436e-07
F1,Times5,9.272327702211094e-11,1.7488181099864654e-10,5.164178968867468e-10,7.426318991135629e-08,1.4337278092642012e-07,1.1871576142485076e-07,3.4225726001129975e-07,2.9043069751008814e-07,1.4297458396934143e-07,1.6767067472702046e-06,1.2746793446735698e-06,2.188376241901711e-06,8.07444241647707e-06,3.7073910820585985e-06,1.7616834587904752e-06,5.802202766577903e-05,5.669183015970407e-05,6.053060510254979e-05,2.2685364846505442e-10,1.4868511491902686e-10,4.218018251819856e-10,1.9009834524549754e-07,1.970061779545624e-07,7.011086726167415e-08,2.3258141415135423e-07,1.8987361210545443e-07,5.565416686559832e-07,1.4446416577150766e-06,1.14261909631181e-06,2.819072317549861e-06,5.994819906589569e-06,3.6884989074954307e-06,1.2855404635942645e-05,9.558446081604228e-05,3.590799782182513e-05,0.00020895901988582467,1.0773157828586878e-10,3.5897136903616245e-11,2.3010328992269181e-10,8.045347916314031e-08,3.563374661033868e-08,3.109975326560982e-08,1.8875873217137955e-07,1.808575461082957e-07,9.133909742460224e-08,1.004794756349911e-06,9.5417302066175e-07,1.2647089167260255e-07,3.7788517346883803e-06,3.1971579768761206e-06,2.007086266543209e-06,6.2015834387041685e-06,1.6980203023138188e-05,1.234715662463381e-05,2.4384380766611423e-11,9.772427631261305e-11,6.089159926240302e-11,3.80658232529666e-08,5.596777297449709e-08,3.6190097504469566e-08,4.0646029791322425e-07,2.272988054299874e-08,1.5479938253065668e-07,1.5794746823396276e-07,7.644202471597031e-07,1.181417761065774e-07,1.827866410459397e-06,6.14356490900353e-06,3.550370729883401e-06,4.530104189293832e-06,9.319530211018089e-06,1.3240214340635784e-05,1.607394368194821e-10,7.699917534116818e-11,7.004097637998629e-11,1.6888538875058516e-08,2.3064481033279503e-08,4.0021104830883237e-08,2.579969107963201e-07,1.1734041658035756e-07,1.8333175941099268e-07,2.368540230296972e-07,6.375733619344884e-07,4.999167799711602e-07,7.95061410644826e-06,6.736638224416136e-07,1.984724757652872e-06,9.832880552158366e-06,9.784160661180186e-06,1.8127157184894333e-05,2.2002630597685822e-10,1.1235681911299806e-10,1.0538225849599719e-10,7.651407297174794e-08,9.823212313522187e-09,6.393642036158936e-08,8.840661138883974e-08,9.108659740228156e-08,1.2572360679571474e-07,3.8778786612676853e-07
F1,Times6,1.720884938840978e-10,100.72162328817777,2.502637170064422e-10,1.3675324631670152e-07,9.015602137597381e-08,1.230316135663078e-07,4.289043509899296e-07,4.375856301940832e-07,7.803129088425286e-07,1.1407805758587888e-06,9.057471738171538e-07,8.800412900703194e-07,6.242797306716094e-06,2.246895657636803e-05,3.4444861611382954e-06,2.5496406067420355e-05,9.364580590722701e-05,3.8771217395119456e-05,2.886933545692779e-10,5.447629113673053e-10,1.3876645857828193e-10,1.723524036838377e-07,1.8306531991302367e-07,5.649329460756051e-08,1.1373092273139255e-06,6.506370520450153e-07,4.082077216262071e-07,1.5817758156468955e-06,1.5685939804665113e-06,1.0025849808203771e-06,5.181809347963074e-06,1.0770428643943914e-05,2.506495182769097e-06,1.5135822696056694e-05,3.3231608859469645e-05,5.760799295559606e-05,2.4000799991491805e-11,8.552968100093978e-11,1.2965829069217101e-10,1.9352880022477034e-08,3.625287853440805e-08,2.2186403158548908e-08,5.998159287933715e-08,1.4795818133290637e-07,2.0140694065141605e-07,5.299282984268239e-07,3.224735055760528e-07,7.659244111365389e-07,2.096146887220266e-06,1.7270465892091037e-06,8.074160675126424e-07,1.9728237376214152e-05,8.98974878119009e-06,1.3353866466843872e-05,1.4211060605612804e-10,4.1902000714932536e-11,1.2140650965345523e-10,1.993550777276199e-08,2.4077324908377845e-08,4.7092926383674366e-08,4.285885329709545e-08,1.7255642054721255e-07,1.6769372931244027e-07,3.5116898800374105e-07,1.7591316207933107e-07,6.008122809362361e-07,3.797898914174588e-06,3.2469019650647955e-06,5.311123816228385e-06,9.343413196789245e-06,4.2935286450997035e-06,1.922168968210075e-05,4.2333340133940406e-11,1.194783113050752e-10,1.1276869069126195e-10,1.1995692787833083e-08,3.274386143848519e-08,3.464648591791528e-08,3.364351613997167e-08,4.9816282812314375e-08,6.432116759801821e-08,1.0987948113352174e-06,3.419384743373338e-07,3.6379952468423066e-07,1.6653845450277595e-06,3.2180370104399224e-06,6.071280205535046e-07,8.975886766338082e-05,1.594702870266989e-05,1.2364197690060438e-05,2.620993131854384e-11,3.932820673804939e-11,1.365656236511572e-10,7.945923352715609e-09,1.793793007168e-08,3.8007983147929324e-08,2.9487292466496446e-08,8.356631677883753e-08,1.5955372764570583e-07,1.3214667383016e-06
F1,Times7,2.0057686193307207e-10,2.419396567147565e-10,3.238719567786311e-10,6.05669075755864e-08,1.9521707440087766e-07,1.6478747271745016e-07,4.2496058218277405e-07,2.5924323933271135e-07,5.077220177083875e-07,5.581023703067254e-07,5.32084175926175e-07,1.4990518282194297e-06,5.847258310963916e-06,5.323492017955106e-06,1.469277997513206e-05,8.903601483915126e-05,2.5916111091037544e-05,2.9949202542368288e-05,2.1089026459860776e-10,5.998463604612623e-10,3.886104285682631e-09,5.899610766445382e-08,1.110284100129152e-07,4.1710526007605585e-08,5.895160196280097e-07,7.509689801934612e-07,8.799134691332884e-07,1.4145974369150346e-06,4.988385767442381e-07,8.254572470347616e-07,4.941267381036403e-06,5.209513559955379e-06,2.307784490795471e-06,6.443771557584903e-05,2.0057830469112696e-05,3.9120955985533646e-05,1.290595179901893e-10,1.396041412936734e-10,6.773891251832963e-11,1.4901149341811944e-08,5.8202818764837284e-08,4.451412606690881e-08,8.82949465000171e-08,1.1400344087316769e-07,2.671191545420221e-07,3.5880329506436344e-07,5.240255140298711e-07,1.70609889448922e-07,4.272672646929739e-06,3.6778884987216216e-06,9.50590913655331e-07,1.1164860246971093e-05,4.8081351916063825e-06,1.8799305640094858e-05,8.476114865106815e-11,6.94987444021968e-11,1.8050873094940227e-10,8.642447831285643e-08,1.4494866158128229e-08,1.9877141298707196e-08,1.2382476927032503e-07,3.377643669322943e-07,3.650372520357796e-07,1.6698060594210589e-07,2.9942358767783765e-07,5.072748270143574e-07,2.5991698289631555e-06,1.2797003441223145e-06,2.5038853181390622e-06,1.0373067114909681e-05,7.60163944052465e-06,2.3213681473121866e-05,3.435231494710764e-11,1.5553404492506584e-10,3.143055997372494e-11,5.275007524670143e-08,3.5691527322285e-08,2.86908900696083e-08,6.702633974071249e-08,2.906217489550335e-07,7.328939849131049e-08,1.584716440785202e-07,6.129067835122087e-07,1.7886391652058822e-07,2.631272107401154e-06,2.138244440104052e-06,5.152710052444991e-06,6.692206024029721e-06,9.515334663258627e-06,1.2229983184379713e-05,7.006625618530449e-11,2.942903841061125e-11,7.578357470051756e-11,4.610305751337015e-08,2.2194660570474485e-08,2.7968121400944824e-08,4.155751867866582e-07,1.0930240947815097e-07,1.8889938034570096e-07,4.4068064897663515e-07
F1,Times8,5.1688075151863244e-11,2.5647300659187594e-10,7.481119286583233e-11,4.704081501174995e-07,6.615036933425574e-08,1.0242705850803924e-07,8.647202844203703e-07,4.065954272466042e-07,5.130710386571811e-07,9.644813553623495e-07,7.200796555149759e-07,9.168208483900445e-07,1.4331376786212514e-06,1.4318577341841653e-05,3.0404765285694094e-06,9.638492566398222e-06,1.398099467883746e-05,3.627236461521719e-05,1.0500334719039455e-09,1.1913176757793486e-10,1.515868620185793e-09,2.647050783907476e-08,1.6840552009392548e-07,7.182042721843248e-08,4.200892594442829e-07,2.6953077980282627e-07,5.852992812510387e-07,1.0167178815587359e-06,1.8950152277191633e-06,4.003010456789991e-06,6.938080844426116e-06,4.156136361084599e-06,3.887484194661079e-06,7.351858036610071e-05,7.515139380697759e-05,3.852702447151638e-05,7.944982649746854e-11,3.418400261398024e-11,1.54539704835018e-10,1.1290510296795725e-08,1.3312484990183847e-08,2.2347473568545733e-08,3.7959086001141877e-07,1.8746986933968538e-07,4.8584822165480463e-08,3.834853509376662e-07,1.91369193716089e-06,7.829271567201054e-07,3.2405719156539677e-06,6.337447945690848e-07,2.405485776017331e-06,4.5871468037375244e-06,2.065329828596745e-05,9.151659640636272e-06,1.178434819128213e-10,3.181777354965207e-11,2.47765465801031e-10,9.66608108196119e-09,7.516891532542705e-08,1.4059911992631142e-08,1.4169183190713022e-07,2.442669495334492e-07,5.65445303086792e-08,4.573368478295085e-07,8.429727611591376e-07,5.438298015029601e-07,9.094657016908535e-07,2.7319743339528314e-06,2.289145658279986e-06,1.4803572033276038e-05,9.044358672614709e-06,2.1282901279166235e-05,1.365092560371139e-11,1.4549821934704706e-10,4.948030085829327e-11,4.8654576772953323e-08,2.1011437342664895e-08,1.7361121985642585e-08,1.462230193949472e-07,4.532858676647097e-08,2.7001873571202215e-08,1.2624635292160203e-07,5.426410429090985e-07,4.860062752811928e-07,3.2808442800958135e-06,1.149775437698071e-06,7.603446050742326e-06,1.3432470478201881e-05,2.0991192147069858e-05,1.0804255173663468e-05,2.996008851397203e-10,3.788054336473852e-11,6.833730168028855e-11,2.032369040126409e-08,3.224877181580314e-08,4.9715135699174623e-08,2.4736292471187897e-07,8.610727012382731e-08,3.6640226048782374e-07,6.522259968160006e-07
F1,Times9,5.371717928101872,6.297033218287051e-10,8.959787678418396,2.543371843968496e-07,8.5450093122273e-08,1.4207249964399578e-07,3.8950380736051404e-07,7.192768663821143e-07,1.2727728199282804e-07,7.903987486656902e-07,1.7204858420796926e-06,1.414681007777032e-06,8.305883092757666e-06,3.235553646850093e-06,2.333688060661247e-06,6.014363606084962e-05,1.901190460827039e-05,4.673078192491997e-05,2.7470339379085025e-10,2.543642943099753e-10,2.01707888174871e-10,6.204441857622958e-08,1.521292977549665e-07,1.5775508700080014e-08,3.9607514495030114e-07,5.350508870294166e-07,3.882929011981803e-07,1.3813628908612151e-06,5.1195177758615e-07,1.4868105771041953e-06,5.324848562350788e-06,4.81787992116669e-06,2.568343970124468e-06,6.420444139847141e-05,6.467465157156246e-05,7.322269547336761e-05,6.841798569594458e-11,3.738824505701841e-11,5.794155203173454e-11,1.1924947946261422e-07,4.9595360303436706e-08,1.623844822825095e-08,2.807301980732675e-07,1.2987311754377929e-07,3.044177411797961e-07,2.894838026059257e-07,3.3579596819064474e-07,1.0946753776852749e-06,4.035224148752533e-06,2.2051127256402372e-06,1.6744200496228807e-06,1.2850541748379617e-05,2.7311034455722472e-05,2.4279317446707026e-05,8.771718435124347e-11,5.4683396991931294e-11,5.884843656336928e-11,2.2999382902646906e-08,2.098413435229002e-08,2.141510605461407e-08,4.679065800614775e-07,2.7102839339755095e-07,2.9378786330589416e-07,1.4052881911066597e-07,1.2370265721145953e-07,8.010084964645452e-07,2.924515322986888e-06,1.2902431464285641e-06,2.030139172233217e-06,7.688130112666377e-06,3.245448451623353e-05,1.2987290311578704e-05,5.157294678333947e-11,5.523425848070753e-10,8.861167255095947e-11,3.1636897259875986e-08,1.0096060630889317e-08,6.173259748767278e-09,1.1051775490365186e-07,3.7503743113943385e-07,6.85490945829797e-08,5.259147658615698e-07,6.677898385702857e-07,1.0682340981654984e-06,3.3759474349478752e-06,2.1794227974896374e-06,2.076178309923963e-06,3.355835796458555e-06,2.2566453802765392e-05,1.6418804190393803e-05,8.775220761532927e-11,2.0412268313768646e-11,8.177959228257365e-11,1.632091743817358e-08,5.533361592377936e-08,2.387930700881773e-08,1.2277455174627073e-07,4.5134687183349966e-08,1.5104786944957647e-07,1.6885041710000453e-07
F1,Times10,2.028992606987795e-10,5.897764074006155e-10,2.091255961725593e-10,1.1697937039625244e-07,2.7526485834661836e-07,1.9223776714317176e-07,1.2552767881952802e-06,1.2881254743373762e-07,5.469329977617355e-07,1.0158073825475337e-06,2.1501361122135193e-06,1.44905986050561e-06,8.941574257601535e-06,1.3754197544446593e-05,4.274528619867794e-06,8.08460041040142e-05,1.973192619585056e-05,6.048937285187699e-05,3.294574361338296e-10,2.7167104502710942e-08,2.6808700360498735e-10,1.279215443870958e-07,2.118564054154895e-07,2.88048777708827e-07,1.8362158535077676e-07,2.0428740334598018e-07,2.987495933015009e-07,1.1993184566744173e-06,2.081417096139613e-06,3.0171990527560646e-06,8.872054981123734e-07,1.3205823288492786e-06,6.085673032866527e-06,4.284328105803367e-05,0.00016047270882197693,2.8583475604475404e-06,1.0274041920596688e-10,8.828750632713627e-11,2.147211687780615e-10,4.841380545964085e-08,3.3563736704574013e-08,1.0243980040105901e-07,2.2916789249336033e-07,7.767551163291373e-08,3.0972910940858504e-07,3.7847034273727944e-07,6.971072955176202e-08,1.3082951914885526e-07,4.005209647522343e-06,4.191180010138108e-06,1.4183768831538546e-06,7.031729926494867e-06,6.201621468604532e-06,1.3169298914147302e-05,5.1412013049171653e-11,9.580977097700166e-11,1.9593550770463346e-10,3.659468041358269e-08,5.588182334585573e-08,1.0445421379356031e-08,1.1612669730328535e-07,3.812869242945878e-07,9.509079678535275e-08,9.00354158086344e-07,1.340096977017374e-06,2.15193569119671e-07,2.860164792988905e-06,4.880493294830208e-06,1.3186776456270675e-06,1.1916622600201836e-05,7.617215244589305e-06,1.3677338217528777e-05,1.0045259138327243e-10,6.632375658420914e-11,1.3419531842086653e-10,3.7818125055125505e-08,2.8117896173307713e-08,5.520624311135114e-08,1.2002447688116742e-07,1.9614842775761465e-07,9.788264354681479e-08,5.400000513328641e-07,2.2420954571189285e-07,4.72610687324674e-07,2.1113061333516683e-06,1.295347962777442e-06,9.000353964874185e-07,4.822125879904878e-06,2.757862822533438e-05,4.538099822952125e-06,4.369083065479785e-11,1.3141852745644196e-10,1.091446393225291e-10,4.045775477829537e-08,2.2812518209301916e-08,2.2090694840771598e-08,7.926054542059409e-08,2.1799249501316266e-07,2.1189579777940704e-07,2.1499468569142396e-07
