,iterations,mutation_rate,num_individuals,range_mutation,crossover_probability,Mutation_type,Crossover_type
1,1000000,0.1,100,0.01,0.5,Normal,Linear_combination_crossover
2,1000000,0.1,100,0.01,0.6,Normal,Linear_combination_crossover
3,1000000,0.1,100,0.01,0.7,Normal,Linear_combination_crossover
4,1000000,0.1,100,0.25,0.5,Normal,Linear_combination_crossover
5,1000000,0.1,100,0.25,0.6,Normal,Linear_combination_crossover
6,1000000,0.1,100,0.25,0.7,Normal,Linear_combination_crossover
7,1000000,0.1,100,0.55,0.5,Normal,Linear_combination_crossover
8,1000000,0.1,100,0.55,0.6,Normal,Linear_combination_crossover
9,1000000,0.1,100,0.55,0.7,Normal,Linear_combination_crossover
10,1000000,0.1,100,0.9,0.5,Normal,Linear_combination_crossover
11,1000000,0.1,100,0.9,0.6,Normal,Linear_combination_crossover
12,1000000,0.1,100,0.9,0.7,Normal,Linear_combination_crossover
13,1000000,0.1,100,2.0,0.5,Normal,Linear_combination_crossover
14,1000000,0.1,100,2.0,0.6,Normal,Linear_combination_crossover
15,1000000,0.1,100,2.0,0.7,Normal,Linear_combination_crossover
16,1000000,0.1,100,5.0,0.5,Normal,Linear_combination_crossover
17,1000000,0.1,100,5.0,0.6,Normal,Linear_combination_crossover
18,1000000,0.1,100,5.0,0.7,Normal,Linear_combination_crossover
19,1000000,0.1,200,0.01,0.5,Normal,Linear_combination_crossover
20,1000000,0.1,200,0.01,0.6,Normal,Linear_combination_crossover
21,1000000,0.1,200,0.01,0.7,Normal,Linear_combination_crossover
22,1000000,0.1,200,0.25,0.5,Normal,Linear_combination_crossover
23,1000000,0.1,200,0.25,0.6,Normal,Linear_combination_crossover
24,1000000,0.1,200,0.25,0.7,Normal,Linear_combination_crossover
25,1000000,0.1,200,0.55,0.5,Normal,Linear_combination_crossover
26,1000000,0.1,200,0.55,0.6,Normal,Linear_combination_crossover
27,1000000,0.1,200,0.55,0.7,Normal,Linear_combination_crossover
28,1000000,0.1,200,0.9,0.5,Normal,Linear_combination_crossover
29,1000000,0.1,200,0.9,0.6,Normal,Linear_combination_crossover
30,1000000,0.1,200,0.9,0.7,Normal,Linear_combination_crossover
31,1000000,0.1,200,2.0,0.5,Normal,Linear_combination_crossover
32,1000000,0.1,200,2.0,0.6,Normal,Linear_combination_crossover
33,1000000,0.1,200,2.0,0.7,Normal,Linear_combination_crossover
34,1000000,0.1,200,5.0,0.5,Normal,Linear_combination_crossover
35,1000000,0.1,200,5.0,0.6,Normal,Linear_combination_crossover
36,1000000,0.1,200,5.0,0.7,Normal,Linear_combination_crossover
37,1000000,0.18,100,0.01,0.5,Normal,Linear_combination_crossover
38,1000000,0.18,100,0.01,0.6,Normal,Linear_combination_crossover
39,1000000,0.18,100,0.01,0.7,Normal,Linear_combination_crossover
40,1000000,0.18,100,0.25,0.5,Normal,Linear_combination_crossover
41,1000000,0.18,100,0.25,0.6,Normal,Linear_combination_crossover
42,1000000,0.18,100,0.25,0.7,Normal,Linear_combination_crossover
43,1000000,0.18,100,0.55,0.5,Normal,Linear_combination_crossover
44,1000000,0.18,100,0.55,0.6,Normal,Linear_combination_crossover
45,1000000,0.18,100,0.55,0.7,Normal,Linear_combination_crossover
46,1000000,0.18,100,0.9,0.5,Normal,Linear_combination_crossover
47,1000000,0.18,100,0.9,0.6,Normal,Linear_combination_crossover
48,1000000,0.18,100,0.9,0.7,Normal,Linear_combination_crossover
49,1000000,0.18,100,2.0,0.5,Normal,Linear_combination_crossover
50,1000000,0.18,100,2.0,0.6,Normal,Linear_combination_crossover
51,1000000,0.18,100,2.0,0.7,Normal,Linear_combination_crossover
52,1000000,0.18,100,5.0,0.5,Normal,Linear_combination_crossover
53,1000000,0.18,100,5.0,0.6,Normal,Linear_combination_crossover
54,1000000,0.18,100,5.0,0.7,Normal,Linear_combination_crossover
55,1000000,0.18,200,0.01,0.5,Normal,Linear_combination_crossover
56,1000000,0.18,200,0.01,0.6,Normal,Linear_combination_crossover
57,1000000,0.18,200,0.01,0.7,Normal,Linear_combination_crossover
58,1000000,0.18,200,0.25,0.5,Normal,Linear_combination_crossover
59,1000000,0.18,200,0.25,0.6,Normal,Linear_combination_crossover
60,1000000,0.18,200,0.25,0.7,Normal,Linear_combination_crossover
61,1000000,0.18,200,0.55,0.5,Normal,Linear_combination_crossover
