,ranking
1,1.0
589,2.0
590,3.0
591,4.0
592,5.0
593,6.0
594,7.0
595,8.0
596,9.0
597,10.0
598,11.0
599,12.0
1199,13.0
604,14.0
605,15.0
606,16.0
607,17.0
608,18.0
609,19.0
610,20.0
611,21.0
612,22.0
613,23.0
614,24.0
588,25.0
587,26.0
586,27.0
585,28.0
561,29.0
562,30.0
563,31.0
564,32.0
565,33.0
566,34.0
567,35.0
568,36.0
569,37.0
570,38.0
571,39.0
615,40.0
572,41.0
574,42.0
575,43.0
576,44.0
577,45.0
578,46.0
579,47.0
580,48.0
581,49.0
582,50.0
583,51.0
584,52.0
573,53.0
616,54.0
617,55.0
618,56.0
653,57.0
654,58.0
655,59.0
656,60.0
658,61.0
659,62.0
660,63.0
661,64.0
662,65.0
663,66.0
664,67.0
652,68.0
665,69.0
667,70.0
668,71.0
669,72.0
670,73.0
671,74.0
672,75.0
676,76.0
677,77.0
678,78.0
679,79.0
680,80.0
666,81.0
560,82.0
651,83.0
649,84.0
622,85.0
623,86.0
624,87.0
625,88.0
626,89.0
627,90.0
628,91.0
629,92.0
630,93.0
631,94.0
632,95.0
650,96.0
633,97.0
635,98.0
636,99.0
640,100.0
641,101.0
642,102.0
643,103.0
644,104.0
645,105.0
646,106.0
647,107.0
648,108.0
634,109.0
559,110.0
558,111.0
557,112.0
477,113.0
478,114.0
479,115.0
480,116.0
481,117.0
482,118.0
483,119.0
484,120.0
485,121.0
486,122.0
487,123.0
476,124.0
488,125.0
490,126.0
491,127.0
492,128.0
493,129.0
494,130.0
495,131.0
496,132.0
497,133.0
498,134.0
499,135.0
500,136.0
489,137.0
501,138.0
475,139.0
473,140.0
449,141.0
450,142.0
451,143.0
452,144.0
453,145.0
454,146.0
455,147.0
456,148.0
457,149.0
458,150.0
459,151.0
474,152.0
460,153.0
462,154.0
463,155.0
464,156.0
465,157.0
466,158.0
467,159.0
468,160.0
469,161.0
470,162.0
471,163.0
472,164.0
461,165.0
681,166.0
502,167.0
504,168.0
533,169.0
534,170.0
535,171.0
536,172.0
537,173.0
538,174.0
539,175.0
540,176.0
541,177.0
542,178.0
543,179.0
532,180.0
544,181.0
546,182.0
547,183.0
548,184.0
549,185.0
550,186.0
551,187.0
552,188.0
553,189.0
554,190.0
555,191.0
556,192.0
545,193.0
503,194.0
531,195.0
529,196.0
505,197.0
506,198.0
507,199.0
508,200.0
509,201.0
510,202.0
511,203.0
512,204.0
513,205.0
514,206.0
515,207.0
530,208.0
516,209.0
518,210.0
519,211.0
520,212.0
521,213.0
522,214.0
523,215.0
524,216.0
525,217.0
526,218.0
527,219.0
528,220.0
517,221.0
682,222.0
683,223.0
684,224.0
947,225.0
965,226.0
1004,227.0
1005,228.0
1006,229.0
1007,230.0
1008,231.0
1009,232.0
1011,233.0
1012,234.0
1022,235.0
929,236.0
1023,237.0
1025,238.0
1026,239.0
1027,240.0
1028,241.0
1029,242.0
1030,243.0
1033,244.0
1040,245.0
1041,246.0
1042,247.0
1044,248.0
1024,249.0
1045,250.0
928,251.0
910,252.0
797,253.0
798,254.0
799,255.0
800,256.0
805,257.0
806,258.0
822,259.0
823,260.0
824,261.0
826,262.0
830,263.0
911,264.0
842,265.0
859,266.0
860,267.0
863,268.0
866,269.0
875,270.0
877,271.0
878,272.0
893,273.0
894,274.0
896,275.0
899,276.0
857,277.0
796,278.0
1047,279.0
1058,280.0
1113,281.0
1114,282.0
1117,283.0
1129,284.0
1130,285.0
1131,286.0
1132,287.0
1135,288.0
1138,289.0
1145,290.0
1146,291.0
1112,292.0
1147,293.0
1150,294.0
1163,295.0
1164,296.0
1165,297.0
1166,298.0
1167,299.0
1168,300.0
1181,301.0
1182,302.0
1183,303.0
1186,304.0
1149,305.0
1048,306.0
1111,307.0
1102,308.0
1059,309.0
1060,310.0
1061,311.0
1062,312.0
1063,313.0
1064,314.0
1065,315.0
1066,316.0
