,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,4.750056622765353e-07,4.667982211438577e-06,2.8926750469685718e-06,1.7614598442966653e-06,3.12252170136153e-05,0.00017295517144562406,0.00038692959874783386,3.0504111300535985e-05,4.587440601745619e-10,1.1382075019230952e-10,2.2317494823382152e-11,1.3486119116367648e-08,4.537956906789689e-09,1.9434741451701236e-09,4.0197200561958937e-07,2.7012719626002995e-10,1.3144034827527068e-07,3.1978750544063727e-07,2.7014892203910955e-07,1.4607309441531083e-06,9.49787059544219e-06,6.918148219782873e-06,2.1364036612169955e-08,3.967479695939982e-06,1.6702038521853212e-05,6.398485349552514e-06,1.6200840386681793e-10,2.151586602878512e-12,1.2327972420412971e-11,1.6566568287816214e-08,1.5757696996546224e-07,4.297071993495001e-08,7.858800031124051e-08,1.8122149593189016e-07,4.956652666821705e-09,2.2418647976469423e-06,3.2875175070960113e-07,1.2769904260349525e-08,5.240145032159913e-06,8.46019787444833e-06,7.442664741713274e-07,1.522767911652611e-05,1.4658658283739508e-05,0.00016786714148342235,2.1396681095547172e-10,2.469269603953284e-10,2.4730831418712606e-11,1.8428142230236168e-08,2.402250263723932e-08,1.9461690807669777e-11,2.1775164656611449e-07,3.649253900310686e-08,3.754528365193681e-09,1.0436305707958519e-07,6.680747358044757e-08,4.880428442859705e-08,5.993395890181294e-06,3.5360961657216114e-06,5.697019874714534e-07,1.669634699051314e-05,9.857430204802949e-05,2.696248420211832e-06,4.750770749717464e-11,1.053474131800329e-09,2.4463638947307896e-10,5.194934986119697e-09,2.126687061471756e-07,1.0783331750705865e-09,1.6071324306432525e-09,6.001317264685248e-08,3.127119384284285e-07,5.15627901802437e-07,3.1889683092380688e-06,2.1113788470154072e-07,2.4004976226060978e-08,3.6363017101322433e-06,9.426922911572954e-06,1.736829038166405e-05,1.3170641672368476e-05,3.548011761961375e-05,4.290953494475363e-11,1.7372420484303427e-10,4.4365407056519137e-10,2.629621414890467e-08,1.1616379413478478e-07,4.462722701330014e-09,3.698386924621829e-07,1.690152846231852e-06,3.742167257019129e-08,5.194159639743202e-06,8.288178883426342e-08,7.898560754876269e-08,1.915338382003002e-05,1.5300582603024017e-05,2.0701585276772475e-07,4.0627588416205764e-05,1.3966532140997928e-05,0.0001841612424150465,8.570155890303783e-10,8.114217187211826e-11
F3,Times2,7.776062379758273e-06,2.9428133174309313e-06,7.023832213949406e-06,6.713926195396138e-05,5.772124315188755e-05,3.275728252469448e-05,2.190841137267457e-05,9.148363657036736e-07,6.244436921540357e-11,3.50354589160046e-11,1.7239159537713645e-11,4.545567802388922e-08,7.080422647441907e-08,1.1570094318654528e-08,1.5684909606591227e-07,2.2626368694146387e-06,5.110920861773938e-07,1.779713639659488e-06,6.021212993500907e-07,6.288314506732766e-07,1.271074642241543e-06,1.0682890169599508e-05,1.039493406475912e-05,1.4415372646938126e-05,0.00012256371148629185,7.73539978738088e-09,6.130906985963102e-10,3.613596547694643e-10,3.3200507578386313e-10,1.4896036958192987e-07,6.122055143857255e-09,3.556434005477085e-08,6.098018445930273e-07,1.1251352270562004e-06,1.4119803645249058e-06,5.253895445815045e-07,7.514741435788098e-07,2.1610451590458807e-07,1.3271046083960128e-06,5.179962113904512e-06,5.185839270416188e-06,7.051058807052579e-06,0.00024827805245491487,6.603175785782545e-06,4.5971035730111117e-11,4.066017272419639e-11,2.5858291453709187e-11,7.748680097495782e-08,3.049342609207566e-07,2.925875007005955e-08,1.8355841403736687e-06,4.699670059071694e-07,7.52639495111084e-07,2.461278511892601e-06,2.4896666819167207e-06,1.312275679343687e-06,5.2882702818657294e-06,8.068622886769923e-08,1.6897984528174393e-07,8.212363706678165e-05,4.066768351446497e-06,2.188524120752517e-05,2.793080062341621e-10,3.006224444997576e-11,3.0040330521768647e-13,2.827401736969238e-07,4.535458969511853e-09,9.070745974531791e-09,9.467465291499715e-08,5.740965591913095e-07,8.819282207491611e-07,1.5740704100921014e-06,2.8400161371590354e-06,2.650721884525138e-08,5.834558550272675e-06,9.09151635250636e-06,4.45020385131258e-06,0.00034032134912321784,3.76954020021628e-05,7.253822219025771e-07,1.383908568902826e-09,4.796095535469626e-10,6.719189634187851e-11,1.452850476086377e-08,1.4824151832155855e-07,2.033058316894023e-07,6.309851313630064e-07,4.0019494866296394e-07,1.4702366515941398e-06,1.8972995272746747e-07,4.4931616563373964e-07,8.420824691255416e-07,1.4035917415960791e-05,3.429064560600049e-05,4.421954415383992e-06,4.058147662662302e-05,0.00020734245520593868,9.880083338909249e-08,1.120067545789487e-10,9.499391206956996e-11
F3,Times3,5.945878045073436e-06,7.386802998770947e-07,1.103041360508608e-06,1.0214270638898213e-06,1.448835937526627e-06,4.236097530328168e-06,6.584142945181184e-06,2.262007891424625e-08,7.338314968367024e-12,8.784738720700509e-11,1.8216413576008153e-11,1.0684311412077142e-07,2.7639245482103334e-09,3.487484226102236e-09,5.420599994598566e-07,1.7396908336683184e-07,5.1343468594394e-09,3.5371370257749e-06,2.7431757381815434e-06,1.4209648131616093e-07,4.940137855568953e-07,4.048110175471847e-07,3.1729424058876136e-06,7.221653443298067e-05,1.8999493771379812e-07,8.414172781043126e-05,2.50491010391543e-10,4.458057379661289e-11,4.460513990060352e-11,3.9897915467305265e-08,2.2601059434723706e-07,8.981297445282425e-08,4.8050861473115676e-08,6.56062743092379e-07,2.545097278130378e-08,5.887835945450978e-06,7.527430182848585e-07,2.4385843934108262e-08,4.60202703121471e-07,8.807322570679626e-07,1.6171511823782674e-08,1.3034794987141466e-05,2.2851060668520933e-05,2.618020214685185e-06,2.71043263945194e-10,1.2499035728876474e-10,4.896247504546958e-11,2.334167413532573e-09,8.543520713243828e-09,4.019279509157311e-08,3.027905217153366e-07,4.77137059749542e-08,2.1184463281221544e-07,3.2775513130323344e-07,4.9022939976457235e-06,4.5085647821733483e-08,4.9162401820482105e-06,2.2886783597530984e-06,1.990486940816738e-07,9.643574803915461e-06,9.299367031414357e-06,3.5322724105709524e-06,1.1906821166950206e-10,8.023871755583212e-11,9.96121667745784e-13,8.930835101462947e-08,3.207729186250071e-07,3.9498768329290915e-08,6.51276143699639e-07,2.868792850424644e-07,6.828580455653785e-07,6.327201344611367e-07,1.1166876514578978e-06,7.786872542187129e-07,7.389034466469822e-06,1.1956525360026589e-06,2.3249386681998664e-07,1.0634759010917038e-05,0.00026688155178275193,5.305802047801283e-07,5.206762878487489e-10,2.095594522601012e-10,1.9221312646902153e-11,7.977437108995841e-08,1.0891808001383629e-07,4.2222325173080754e-08,9.142227573790925e-07,4.808167518787831e-07,9.773884084665337e-08,1.2775674766360392e-06,1.34196098183989e-06,3.2466681568282223e-06,4.425807982611084e-06,6.296292055030292e-06,1.2115849578826111e-05,1.3773306889122201e-05,0.00019716770944826743,5.195708947174973e-05,2.0359236398278827e-10,4.0127463857329526e-10
F3,Times4,1.1621663006884002e-05,4.601227279243582e-07,5.7886135584156445e-05,1.1557333343934493e-05,2.6518544159228876e-06,1.491577452777372e-05,6.785773857814015e-05,1.7380627192429202e-08,3.7096325600790733e-10,2.51339704115261e-10,3.452756434095223e-11,6.026309548486289e-08,5.975903345764434e-08,3.0410355227864323e-09,3.779912113633132e-06,6.26342006454762e-07,1.2687604155480773e-08,1.5085845358924203e-07,7.776352933577598e-06,4.5851497848068875e-06,2.993162970593245e-06,8.208161105885328e-06,8.670722456327754e-05,7.414074769063465e-06,4.204437003588724e-07,2.108103631267359e-05,2.6809582934423067e-11,6.601840259672652e-11,1.6027388930585776e-10,1.1283373719473575e-08,4.208961997262243e-08,2.0414442794130127e-08,7.108675037444061e-07,5.724875872600948e-07,3.791668866176429e-08,5.147249408409452e-07,2.6768809310642307e-07,1.064810857478572e-07,1.0830712212895415e-05,1.2910643448251728e-06,2.8294251818160397e-06,1.0945255707894454e-05,2.1599610711144342e-05,2.6573603484558076e-05,9.89103652072577e-11,1.767534679856898e-13,3.8548654022312445e-10,7.865075834570039e-09,1.1719350841415868e-07,1.354845316946733e-08,1.0320211781910431e-07,4.6185140024696534e-07,9.969234230605616e-08,1.5832728559297064e-07,3.136225461008138e-07,1.559114123579138e-06,9.36447097647559e-07,5.401710990232989e-06,5.2251708743688045e-06,1.304960267547377e-05,2.29520062597906e-06,7.928523955102068e-07,1.2831881087085738e-10,3.178731896210135e-10,7.836363711706945e-12,3.5018692985440763e-09,3.373850148278884e-08,1.3569895092437855e-08,4.918085354124865e-07,1.9471403131319682e-07,9.651678085045729e-07,2.944846607553207e-07,6.827601070381967e-08,6.306394687738007e-07,1.808544301969071e-06,1.0562693504544164e-05,6.000349280897635e-07,3.7795477753947575e-05,1.6407113798351656e-05,2.2656816508381325e-05,1.5831480645148646e-11,7.438558280947052e-11,3.9791473010096996e-11,1.3580200196886326e-08,1.0019692646666711e-07,2.6566064488704627e-07,1.485435344508085e-06,2.0278687024681334e-06,2.4708533936233666e-07,1.3703795472009735e-06,3.4669645778068202e-06,6.199450847032694e-07,1.5046768822867608e-05,2.956184758462154e-05,1.4259808436155837e-05,1.809557219739868e-05,6.130635366463494e-06,6.894800875923538e-06,3.454090391972252e-11,1.2198613053890705e-12
F3,Times5,1.9707510363206592e-06,2.7214800532711016e-08,8.074817951018747e-08,2.2360215225514625e-05,3.285643060090319e-06,0.0005245569436472077,0.00015088826772328618,2.527468638902073e-05,4.6050541085985975e-11,6.951285582538419e-10,9.95115388757439e-11,1.2668827120851088e-07,5.866647303682793e-08,9.537180673638487e-08,2.0008828164041247e-07,1.4934718111795462e-07,2.9690325852036335e-09,4.5012631308624763e-07,1.6174071007069552e-06,5.503560278854087e-07,7.312427647993593e-06,6.555902001068645e-06,3.6994455229216496e-06,2.7352084679288492e-05,9.585949057440286e-06,7.514002390203522e-08,1.6637224550462046e-10,2.0277163820096474e-10,8.889345465037849e-12,4.333638896544184e-08,1.7267589424227815e-07,2.6834841230722535e-09,8.252049705857651e-07,9.930886377263292e-08,3.107457557921307e-07,1.6464276449621012e-06,3.153648714478437e-07,4.262635390762799e-06,9.187350217347329e-06,5.9579093405804074e-05,1.7583432399110055e-06,4.8126556153930065e-06,3.803957267793555e-05,8.357686474929919e-05,5.517078714626353e-12,6.808153219340945e-10,9.474359689529995e-11,3.018423929718671e-08,1.8186394141110363e-08,3.848444218522762e-07,9.685865926459784e-07,1.0090109479935745e-08,5.0475755262264806e-08,1.5829064136890331e-06,2.524085960259193e-06,5.1896646715708004e-08,5.985113030907535e-05,1.2764188749759846e-06,3.524315635949586e-06,3.9083625139353196e-07,2.690190434658565e-05,2.4082779017863025e-05,3.45334052538192e-11,4.115152569184962e-10,1.2438738460564723e-10,1.7124567517930683e-07,1.1154495944872267e-07,8.85773915316766e-09,7.794826683079328e-07,1.25847975502605e-07,3.4001557350016346e-09,8.875319994060907e-07,1.9881944983009964e-07,2.285813129555103e-06,6.444836462000793e-07,6.825587298026448e-07,3.0758913031492412e-06,5.5260201853435296e-05,3.855871361518254e-05,7.357836086025901e-05,8.665271969913339e-10,3.206931562271847e-11,2.2460407422291764e-10,1.584460323592567e-08,5.64669800879944e-07,1.1740367753702343e-06,6.865699572222481e-07,8.259162078478162e-08,4.168811556138965e-08,7.182608670139031e-07,7.988393012177235e-07,9.814940846951227e-08,1.223309560140948e-05,2.7889418801705467e-07,6.045930428330765e-06,2.205622671718044e-05,6.437175285257623e-05,7.237341186303724e-05,1.711851564383608e-10,8.716406507269935e-10
F3,Times6,7.273457517363587e-06,8.721054426977115e-07,1.918143071586837e-06,1.4864720249100268e-06,5.169065690076576e-05,8.509471469887693e-05,1.2620787129100553e-05,4.677227465750826e-05,6.968091217643989e-10,1.4687409317167446e-11,1.845462641121256e-10,1.2333717423037552e-06,9.397168416839666e-08,7.743279659206518e-08,1.2992852470735504e-07,9.58804881588577e-07,1.1694473560296007e-07,1.9623093174802982e-07,1.1137739836838825e-06,4.307747432223956e-07,2.4917121433359836e-06,1.675699086168774e-05,2.3466777716781079e-07,5.274502940928108e-05,5.492825237694718e-05,0.00030486238192745866,5.695709280170661e-10,6.003242053357321e-10,3.7679749037984053e-10,5.819945291105496e-07,6.395926219957537e-09,8.084931542861453e-09,4.733711893013882e-07,1.4274130226072342e-06,2.946970032995126e-07,1.2714351044495954e-06,1.2558974364997457e-07,3.291852151657581e-06,9.583763465492079e-06,0.00014171869730772766,1.9244483394607155e-06,1.7845040781662087e-05,5.8058231800619584e-05,5.47143501410986e-06,3.8619848571901526e-10,1.8642888954001847e-10,1.1720766262254328e-11,1.7776034900607154e-09,6.330377991032518e-08,1.571597658569386e-08,2.3504536129520468e-07,1.665711249172099e-07,4.511121152046907e-08,5.558887362419012e-07,5.911546837114981e-07,8.112809181219266e-07,3.043930113653033e-06,1.6566378090127972e-06,1.6702701874522034e-05,2.3564275964028694e-06,6.500210713236443e-05,3.811094320216154e-05,4.412863807835627e-10,2.973518731903401e-11,1.1264799782898545e-11,5.960708586365039e-08,1.640684022282999e-07,2.768150829575762e-09,7.013544373393123e-07,6.476963766919614e-08,1.5174054337133838e-06,9.191617042458593e-07,8.857195314143975e-07,6.383733259156797e-07,1.7296348527480249e-06,1.0772985511549153e-06,5.049667171389966e-06,6.055104549987262e-05,1.6090607315837293e-06,3.717312697523796e-05,7.595187281937492e-11,3.758044447267412e-10,7.296397412849727e-10,5.302371526933279e-08,1.1461672265115282e-07,1.2595129117581467e-07,3.1366577065848276e-06,1.4401465110974582e-06,5.780783882423201e-08,1.0955433187922571e-05,4.157360563937978e-06,2.6034716036416534e-06,2.93020285082557e-06,1.7148966247003896e-06,1.2221235482140776e-06,3.913110278176855e-05,0.00018492215400898755,4.106669057540899e-05,1.0946237593863504e-10,5.618216444137806e-10
F3,Times7,1.2734811130640238e-05,1.2262648473489167e-06,3.5065339180526914e-07,2.5736463277952637e-05,1.5688224424925854e-05,0.0006819898720550129,1.2247246334268325e-05,2.8530554269958452e-05,3.122449917287296e-10,1.014960503198197e-10,1.2422880973452082e-10,6.610399269429688e-08,4.858208733228776e-07,3.9363220062503213e-08,7.338921364426855e-08,1.5391847651222385e-07,1.4007734180750553e-07,4.603475018466058e-08,2.8266667829590894e-07,7.559857807184739e-08,8.7778495454275e-07,2.4113843530069665e-05,1.8268470953925318e-05,4.247906888304307e-05,1.5160159784668336e-07,2.073302215934754e-06,1.994535022573875e-10,5.488272650072582e-10,9.110225241679507e-11,7.240950262392062e-08,1.669274573326586e-08,5.8749639109224165e-08,7.222457153816912e-07,4.7471317329502636e-07,5.8842833609334005e-08,1.2469256336191586e-06,3.920831649476038e-07,9.525209629698155e-08,1.8547922697982045e-06,9.526176603911833e-08,2.658001449028516e-07,6.241574891879023e-05,7.827858722084151e-06,7.5691270241315864e-06,2.6583287584324373e-11,6.206498833497203e-12,3.297568864350215e-10,1.2990232930045203e-07,1.0381564275637984e-08,2.0153403757163385e-08,1.4472014463044112e-07,9.745317880010616e-08,4.518352212161268e-09,2.589750081884092e-07,3.7317150996579826e-07,3.5811385704698337e-07,8.725786760148296e-06,1.2105925422442538e-06,2.9914458710899433e-07,8.322741751118544e-07,9.739871221894249e-05,3.4658309139698135e-06,1.3417546991452226e-10,5.178018303831067e-11,4.666003247917165e-11,7.303986840412282e-08,2.857119432472231e-07,2.097004491849366e-08,3.5892199460864e-07,7.790251270894143e-08,2.082075578411987e-07,1.5885611188704552e-07,1.275200294830947e-06,6.503695039133683e-07,1.7700645634987155e-06,4.179761866830702e-06,5.554829559592107e-06,3.2049716728517096e-05,8.42828321495063e-05,2.285483796946837e-05,4.5188412606526445e-11,1.0042889539940046e-10,1.406574876858782e-10,3.775612290087613e-09,5.356289134601256e-08,5.0167206226422625e-09,4.860033102734559e-07,1.0753365151591351e-07,3.250294320671663e-07,1.713614229491358e-06,1.0840954843710551e-05,1.198870639507088e-05,3.3603827847837095e-06,1.7277853603195148e-06,2.7951848556317752e-05,9.537919333698814e-05,7.515597031024657e-06,7.751525760076555e-06,4.1245766256743127e-10,6.575604251015944e-12
F3,Times8,2.2490341730988066e-06,5.7533418372452386e-06,1.2237948795597976e-05,1.7089372880957471e-06,9.408079199027104e-07,2.1146616534418018e-06,0.00018620135226274736,0.00033053610887094945,2.8829337583932066e-10,8.037265432532017e-11,2.5781545346822944e-10,2.186419143751147e-08,1.2981947501421439e-08,3.520876797520662e-08,1.0124581748787963e-07,1.2771174345512985e-06,8.041240646370237e-07,2.0193179058702358e-07,1.3014077951515085e-06,1.5991666974696686e-07,5.33691525671021e-06,4.952318886822842e-06,4.177577759527661e-06,2.5638794015978893e-07,1.8562297934066713e-05,4.546397064871082e-05,2.070173993539827e-11,8.612452130394201e-12,2.1435328265336058e-15,7.023421763565567e-09,3.07042991998022e-08,2.0092353757126875e-10,8.759685046307087e-07,4.429272042935862e-07,3.3692088114657423e-07,3.19682515094943e-06,1.1888147521199525e-06,5.952994160265274e-07,7.073954972476665e-07,5.319553733475706e-07,3.670158068384214e-08,2.9331333399464588e-06,0.00010375470670871409,9.295565258326362e-06,2.4058213682287296e-11,3.017133378664992e-10,4.6021644644437635e-11,9.386171312425183e-08,5.879866423865809e-09,2.5781201586753415e-09,4.30430664077968e-07,9.451622252889323e-08,1.2594663286818383e-07,3.947573852339592e-06,1.948551842380568e-07,8.077217696409047e-07,1.2983415570724358e-05,7.826125410344313e-06,2.7355974113073762e-08,6.965940731254925e-07,1.0983423594422437e-06,1.2820718709601115e-05,8.900032749266301e-12,2.9347558721254508e-12,1.6134216927401085e-10,2.70053334091502e-08,1.6596172749460534e-09,8.145410521541675e-08,3.932039439566607e-08,1.3346639593292247e-06,4.140731440651441e-08,2.2636872273984705e-07,6.35693107540118e-07,1.3081441198255073e-07,2.6456961647502387e-06,1.3756447409591526e-05,6.922610096742563e-07,3.222941832353339e-05,1.1002020427651455e-05,7.158677750594148e-05,2.308335056680714e-11,1.8991503747888912e-09,8.106178370209049e-11,8.910001206811052e-08,1.4110907843108785e-07,7.737664790085691e-08,1.723123994028299e-06,1.032846327002185e-06,3.3037867823184583e-07,3.4380055251992636e-06,7.08706103666787e-06,1.5927722403243847e-06,1.1014374963143664e-05,4.584497793111601e-05,8.4448211805714e-07,0.00015536849232330863,5.432837517272831e-05,1.2788906408797899e-05,3.7343301659961537e-10,1.3189501521197548e-10
F3,Times9,2.507462747397844e-07,3.1256947052392596e-07,6.225302843135868e-05,7.818387305693973e-06,1.4536850196434042e-06,0.0003667641564718568,9.474616841300441e-05,7.3366419725404955e-06,1.9404443920976253e-10,2.3260833493014274e-11,4.002435704044289e-12,5.378841604017305e-08,7.755633655463926e-10,2.1827686835965063e-07,9.96487109345891e-08,6.418413469465536e-08,2.5681771664335924e-07,5.226350953059122e-07,3.630707207134751e-07,1.3220239065571855e-08,6.708488895173717e-07,6.4975253757393305e-06,8.621126767658354e-05,8.698911398692513e-05,7.073540448156079e-05,1.0016727644825176e-07,2.094712040825336e-10,1.34580975845958e-11,2.2020565877049623e-12,5.5791710869844465e-08,1.1790675934281424e-07,4.970376523721779e-10,1.5683145719129032e-07,7.621610460021761e-07,1.573989007936516e-07,8.427707471577932e-07,1.9138647375620808e-06,6.734606594896189e-08,2.179949069069911e-06,3.2753841346544416e-06,1.2751178879157877e-06,4.960923032460392e-05,7.63031531174392e-05,2.4200669892260874e-06,7.133249649609446e-11,4.941627267371508e-12,3.339593536388376e-12,5.057678258977503e-08,9.11224820440286e-08,4.770759747932863e-08,1.7178996232553123e-07,6.355661502154585e-09,1.1753313753039344e-07,1.0225991247874056e-06,2.189199681571037e-07,1.731993673995958e-08,1.225192569593593e-05,2.9506536492436442e-06,6.194139106942238e-07,2.7911552687928614e-06,6.502480828453399e-06,1.4157624051424609e-05,4.440308530448288e-11,5.942010678606701e-10,2.9702261441181347e-10,9.315546276496992e-08,1.632873918532316e-07,2.6959904278631574e-08,2.1645576306507998e-07,2.0779219654184476e-07,9.837162665316012e-08,1.471653736893693e-06,1.5529277839391862e-06,2.3799474421998595e-07,8.35543473206408e-06,2.9651572094959167e-06,2.71596636420391e-07,2.7952016784453397e-05,1.1879902516134844e-05,1.6859605416450698e-05,2.738904607016382e-10,1.0365302594791056e-10,1.1744340312781833e-11,3.356721169912891e-08,5.33333990575383e-08,1.0810717124304802e-08,4.2364939134119734e-07,2.842619101377276e-06,4.300323141753499e-07,1.1426616265666786e-06,1.7098749151045467e-07,1.813847481149355e-06,7.940025655396183e-06,3.060895357304866e-06,2.6079367034106597e-06,8.260988106889969e-05,3.305483184238615e-05,2.1374168671340996e-05,7.782470767065667e-11,7.08288950979419e-11
F3,Times10,5.975367975614956e-06,1.4334163596466458e-06,1.8267235665687607e-05,2.8397592376489942e-05,4.541392229021353e-08,2.474583393101188e-05,3.6527822329236875e-05,0.000807693707556151,1.1094756877991272e-13,2.3083089709058216e-10,1.0547068750296721e-10,2.171514303040238e-09,9.587736702781431e-09,5.215340495657246e-12,4.2581770764848785e-08,2.0869862503043786e-07,1.0869993896318624e-06,2.0102041551836512e-08,2.970311502563329e-08,1.1178984571194738e-08,2.7365731909131883e-05,1.6787912466312078e-06,2.1188881856846656e-06,3.504413056424208e-05,1.4630598654429165e-06,2.656673928063942e-06,1.6675798497268716e-11,2.3892095115046685e-11,1.5777498095317895e-11,1.2148140153716516e-07,1.2578943590887882e-07,1.0515436369346328e-07,2.5794590063891627e-07,1.1136782359864753e-06,2.5014571688139206e-08,9.867206073767949e-08,7.457672277790123e-06,1.3538957589700468e-06,1.684761570330015e-05,4.426691607555988e-06,1.6799091555794051e-06,6.942102675650229e-05,6.197762156070459e-06,2.8192487480629174e-05,9.420889403651025e-11,1.3893886660208686e-11,2.5164344966880834e-10,1.3821740932702113e-07,2.1963173396906184e-08,9.641994904901315e-08,5.6465979267705664e-08,8.97241932904633e-07,2.1911176447779384e-07,2.4994835515539546e-06,1.0650248705940064e-07,1.1188801425961028e-06,8.341762222740935e-07,3.165714422998708e-06,2.1686905770086254e-06,0.00014783879465287938,4.2644321133666095e-06,0.00016292803959168435,8.876404952570653e-11,4.143143836560299e-11,1.1697726388215344e-11,2.91362155370693e-07,8.420017887044036e-08,7.940298437175964e-09,5.283609933035639e-07,9.473205512065739e-07,3.482603976148963e-07,1.125805307572904e-06,4.3541568409095316e-07,4.4299181276524844e-08,8.238240723598119e-08,6.969670537363179e-06,1.5507649210986162e-06,1.6134926418530344e-05,6.029426070284104e-06,3.471907232320716e-05,1.0403424183173007e-10,5.09334405228237e-11,1.9901518152786756e-10,1.1775368833969654e-07,2.8914562713650663e-08,7.04764443938239e-08,1.5228514319892998e-07,3.9320832184350935e-08,8.107403041925453e-07,1.0904120562958429e-06,2.4928167038124543e-06,5.319016992405714e-07,7.3515888950178064e-06,6.027903925556376e-06,1.8719103389376683e-06,3.040817555596566e-05,1.6812271952481396e-05,8.060487361729474e-06,3.1508393062281155e-11,2.9792232258982933e-10
