,,Combination1,Combination2,Combination3,Combination4,Combination5,Combination6,Combination7,Combination8,Combination9,Combination10,Combination11,Combination12,Combination13,Combination14,Combination15,Combination16,Combination17,Combination18,Combination19,Combination20,Combination21,Combination22,Combination23,Combination24,Combination25,Combination26,Combination27,Combination28,Combination29,Combination30,Combination31,Combination32,Combination33,Combination34,Combination35,Combination36,Combination37,Combination38,Combination39,Combination40,Combination41,Combination42,Combination43,Combination44,Combination45,Combination46,Combination47,Combination48,Combination49,Combination50,Combination51,Combination52,Combination53,Combination54,Combination55,Combination56,Combination57,Combination58,Combination59,Combination60,Combination61,Combination62,Combination63,Combination64,Combination65,Combination66,Combination67,Combination68,Combination69,Combination70,Combination71,Combination72,Combination73,Combination74,Combination75,Combination76,Combination77,Combination78,Combination79,Combination80,Combination81,Combination82,Combination83,Combination84,Combination85,Combination86,Combination87,Combination88,Combination89,Combination90,Combination91,Combination92,Combination93,Combination94,Combination95,Combination96,Combination97,Combination98,Combination99,Combination100
F3,Times1,5.83e-06,3.17e-06,1.03e-05,1.12e-05,3.25e-06,7.17e-05,8.52e-05,4.42e-05,2.93e-10,2.77e-10,1.05e-10,2.29e-08,2.08e-07,1.95e-08,1.00e-06,4.19e-07,4.15e-07,1.10e-06,1.20e-06,1.56e-06,2.08e-06,4.46e-06,3.62e-06,1.81e-05,1.68e-05,7.62e-06,2.25e-10,2.22e-10,1.30e-10,3.50e-08,1.16e-07,8.49e-08,3.12e-07,7.35e-07,5.51e-07,3.65e-07,7.50e-07,2.27e-06,6.77e-06,3.31e-06,1.76e-06,3.11e-05,2.61e-05,3.06e-05,1.05e-10,8.36e-11,1.15e-10,2.54e-08,6.87e-08,4.03e-08,9.89e-08,1.63e-07,6.27e-08,1.33e-07,1.37e-06,8.53e-07,1.55e-06,2.85e-06,1.99e-06,1.24e-05,3.01e-05,2.35e-05,3.19e-10,4.45e-11,2.01e-10,9.73e-09,2.80e-08,6.95e-08,3.29e-07,1.05e-07,1.48e-07,2.36e-07,1.60e-06,4.88e-07,2.06e-06,7.76e-07,1.91e-06,5.57e-06,1.74e-05,1.04e-05,7.04e-10,2.00e-10,6.66e-10,2.03e-07,3.86e-08,8.23e-08,3.78e-07,3.06e-07,4.09e-07,1.57e-06,3.57e-06,1.23e-06,6.62e-07,1.60e-06,7.65e-06,1.47e-05,2.84e-05,1.29e-05,5.50e-10,1.13e-10
F3,Times2,8.85e-07,3.17e-06,1.80e-05,1.09e-05,7.21e-06,6.41e-05,9.98e-05,1.50e-04,5.68e-10,1.17e-10,1.38e-10,7.92e-08,2.61e-08,1.66e-07,4.05e-07,1.58e-07,2.33e-07,7.14e-07,1.35e-06,2.52e-07,5.16e-06,4.70e-06,1.87e-06,1.13e-05,2.51e-05,2.79e-05,5.10e-10,4.38e-10,2.53e-10,3.26e-08,1.30e-07,7.52e-08,2.26e-07,6.17e-08,3.99e-07,9.56e-07,8.22e-07,1.34e-06,5.94e-07,2.37e-06,4.30e-06,7.95e-06,4.58e-05,1.67e-05,1.62e-10,7.85e-11,1.10e-10,3.30e-08,7.35e-08,3.53e-08,2.05e-07,2.47e-07,3.36e-08,9.15e-07,4.54e-07,5.76e-07,3.92e-06,1.45e-06,2.33e-06,1.14e-05,2.14e-05,2.81e-05,1.09e-10,6.36e-11,5.93e-11,4.91e-08,4.52e-08,3.53e-08,4.51e-08,1.78e-07,1.76e-07,1.43e-06,9.79e-07,3.27e-07,4.54e-06,2.74e-06,2.53e-06,5.69e-06,2.36e-05,3.56e-06,1.14e-10,8.65e-11,3.31e-11,1.81e-07,5.64e-08,7.36e-08,2.39e-07,3.31e-07,2.88e-07,1.09e-06,1.45e-06,5.84e-07,1.92e-05,6.07e-06,1.67e-06,2.43e-05,7.88e-06,3.42e-05,6.25e-11,2.26e-10
F3,Times3,1.87e-06,2.94e-06,1.30e-05,5.68e-06,2.46e-05,7.03e-05,6.05e-05,1.19e-04,3.21e-10,3.36e-10,1.55e-10,3.66e-08,2.52e-08,2.17e-08,1.02e-07,2.94e-07,2.13e-07,3.62e-07,7.20e-07,2.13e-07,5.11e-07,2.06e-06,1.96e-06,1.66e-05,1.40e-05,9.06e-06,1.39e-10,1.12e-10,3.30e-10,8.94e-08,4.01e-08,5.45e-08,3.28e-07,1.51e-07,2.28e-07,1.34e-06,5.59e-07,8.44e-08,3.66e-06,1.30e-05,1.43e-05,2.47e-05,2.50e-05,1.04e-04,2.18e-10,2.12e-11,3.09e-11,3.87e-08,9.85e-08,5.22e-08,2.06e-07,1.22e-07,1.44e-07,7.93e-07,5.87e-07,3.77e-07,3.95e-06,1.11e-06,2.78e-06,6.77e-06,6.98e-06,1.08e-05,5.08e-11,1.19e-10,2.50e-10,2.78e-08,2.54e-08,2.45e-08,1.60e-07,7.46e-08,9.70e-08,4.35e-07,3.69e-07,9.21e-07,4.72e-06,4.04e-06,1.77e-06,2.19e-05,9.22e-06,3.97e-05,3.51e-10,2.65e-10,1.77e-10,5.69e-08,8.07e-08,9.03e-08,2.14e-07,6.00e-07,5.61e-07,7.33e-07,8.33e-07,7.25e-07,3.02e-06,1.20e-06,6.43e-06,2.38e-05,3.99e-05,3.69e-05,7.73e-10,1.60e-10
F3,Times4,1.93e-06,1.23e-06,2.09e-05,4.54e-05,9.82e-06,5.15e-05,1.26e-04,8.75e-05,2.66e-10,1.74e-10,3.13e-10,3.79e-08,3.93e-08,5.65e-08,4.92e-07,2.90e-07,1.27e-07,3.08e-07,1.34e-06,4.41e-07,3.32e-06,8.77e-06,3.34e-06,2.73e-05,1.58e-05,2.16e-05,2.44e-10,3.00e-10,1.44e-10,5.36e-08,2.88e-08,7.38e-08,4.02e-07,5.47e-07,1.44e-07,9.17e-07,2.82e-07,3.52e-07,1.55e-06,3.59e-06,3.18e-06,2.73e-05,1.60e-06,3.61e-05,1.68e-10,2.82e-10,5.06e-11,3.36e-08,2.49e-08,4.00e-08,1.87e-07,3.73e-07,2.22e-07,5.78e-07,2.76e-07,3.55e-07,4.95e-06,5.26e-06,1.02e-06,2.69e-05,1.02e-05,3.91e-06,5.38e-11,1.89e-10,1.22e-10,4.57e-08,9.37e-08,9.16e-08,2.19e-07,1.16e-07,6.82e-08,3.01e-07,6.22e-07,1.80e-07,1.11e-06,2.51e-06,7.20e-07,2.03e-05,2.93e-05,3.48e-06,3.52e-10,1.18e-10,1.27e-10,7.79e-08,2.22e-07,1.35e-07,4.07e-07,7.47e-08,2.93e-07,2.28e-06,2.48e-06,8.82e-07,3.66e-06,6.90e-06,4.96e-06,2.35e-05,2.42e-05,3.04e-05,1.47e-10,1.38e-10
F3,Times5,3.06e-07,2.62e-06,1.12e-05,1.04e-05,4.24e-06,1.16e-04,4.90e-05,1.66e-04,7.36e-11,4.36e-11,6.68e-10,1.37e-08,4.92e-08,1.81e-07,1.84e-07,3.11e-07,1.53e-07,2.81e-07,2.78e-07,5.29e-07,3.03e-06,2.07e-06,1.98e-06,8.71e-06,3.66e-05,1.19e-05,3.73e-11,2.71e-10,1.12e-10,8.37e-08,3.39e-08,1.14e-07,6.02e-08,1.99e-07,3.26e-07,1.74e-06,5.52e-07,3.23e-07,3.42e-06,1.24e-06,1.15e-06,3.55e-05,2.02e-05,1.72e-05,3.75e-10,3.75e-11,7.97e-11,4.45e-08,4.27e-08,3.63e-08,2.37e-07,1.78e-07,9.06e-07,7.50e-07,2.10e-06,9.02e-07,3.11e-06,2.88e-06,1.39e-06,2.00e-05,5.04e-06,2.17e-05,1.79e-11,2.48e-11,1.11e-10,5.11e-08,4.19e-08,2.58e-08,4.30e-07,9.14e-08,1.61e-07,1.13e-07,1.05e-06,1.07e-07,2.25e-06,1.16e-06,4.49e-06,2.04e-05,2.43e-05,4.06e-05,2.79e-10,4.95e-10,5.68e-11,1.17e-07,3.61e-08,5.10e-08,1.96e-07,1.21e-06,4.34e-07,6.01e-07,2.28e-07,2.47e-07,3.43e-06,8.86e-06,5.79e-06,1.92e-05,1.59e-05,3.82e-05,2.98e-10,5.17e-10
F3,Times6,1.02e-06,2.48e-06,1.84e-05,4.68e-06,8.85e-06,5.59e-05,7.30e-05,6.57e-05,3.48e-10,2.00e-10,3.47e-10,3.59e-08,8.36e-08,4.17e-08,3.32e-07,4.88e-08,3.79e-07,8.82e-07,3.42e-07,1.98e-06,1.11e-05,9.79e-07,2.89e-06,7.43e-06,1.18e-05,8.09e-06,6.36e-11,5.96e-11,1.90e-10,6.57e-08,9.64e-08,1.66e-07,5.56e-07,5.15e-07,1.06e-06,5.72e-07,5.70e-07,5.89e-07,5.64e-06,4.04e-06,5.26e-06,1.01e-05,5.65e-05,6.18e-06,1.36e-10,6.39e-11,9.62e-11,5.53e-08,2.04e-08,1.32e-08,2.07e-07,9.58e-08,4.64e-07,1.99e-07,2.23e-07,3.63e-07,2.79e-06,2.54e-06,2.01e-06,2.39e-06,5.26e-06,1.11e-05,7.44e-11,2.33e-10,2.46e-10,1.71e-08,9.09e-08,6.77e-08,2.57e-07,1.55e-07,1.60e-07,2.22e-06,4.10e-07,7.80e-07,2.23e-06,1.27e-06,3.84e-07,9.48e-06,5.61e-06,1.31e-05,8.67e-11,1.59e-10,2.79e-10,1.38e-07,1.57e-07,3.13e-08,3.31e-07,1.10e-07,3.17e-07,1.50e-06,1.67e-06,6.16e-07,8.32e-06,2.32e-06,6.47e-06,5.01e-05,4.43e-05,2.71e-05,2.50e-10,2.53e-10
F3,Times7,3.22e-06,3.63e-06,2.42e-05,4.14e-06,1.64e-05,2.07e-04,3.34e-05,7.92e-05,6.19e-10,2.35e-10,1.05e-10,7.60e-08,9.64e-09,2.37e-07,3.16e-07,2.04e-07,9.56e-07,2.78e-07,4.88e-07,6.41e-07,4.33e-06,1.96e-06,4.54e-06,2.16e-05,4.61e-05,2.95e-05,2.79e-10,8.01e-11,9.61e-11,3.16e-08,5.39e-08,2.47e-08,1.19e-07,1.54e-07,5.12e-07,2.38e-07,4.84e-07,7.62e-07,8.33e-07,1.16e-06,1.14e-05,1.10e-05,3.49e-05,4.41e-05,5.67e-10,2.03e-10,4.21e-11,3.91e-08,6.00e-08,3.94e-08,1.89e-07,6.71e-07,3.91e-07,6.19e-07,5.84e-07,6.08e-07,3.14e-06,8.62e-07,2.97e-06,7.31e-06,6.96e-06,2.02e-05,1.73e-10,1.12e-10,1.09e-10,6.60e-08,5.45e-08,3.62e-08,1.04e-07,1.57e-07,1.36e-07,2.21e-07,2.18e-07,9.61e-07,2.01e-06,1.51e-06,9.42e-07,6.40e-06,1.36e-05,6.46e-06,3.02e-10,2.74e-10,1.82e-10,5.78e-08,7.96e-08,7.45e-08,7.39e-07,2.25e-07,5.25e-07,3.97e-07,1.27e-06,4.51e-07,9.15e-06,5.29e-06,4.74e-06,5.38e-05,6.38e-05,2.76e-05,1.21e-10,5.90e-10
F3,Times8,2.29e-06,8.62e-06,3.52e-05,1.66e-05,3.81e-05,4.51e-05,1.65e-04,1.68e-04,6.11e-10,2.71e-10,1.43e-10,1.09e-07,4.00e-08,1.16e-07,3.23e-07,1.78e-07,2.27e-07,1.44e-06,4.28e-07,2.10e-06,3.12e-06,2.27e-06,2.00e-06,1.33e-05,5.29e-05,1.12e-05,1.08e-10,5.04e-11,2.43e-10,1.74e-07,8.23e-08,1.13e-07,4.11e-07,2.22e-07,1.03e-07,3.43e-07,3.55e-07,1.07e-06,3.06e-06,3.46e-06,2.55e-06,1.29e-05,3.25e-05,6.93e-06,5.66e-11,2.41e-10,4.94e-11,4.35e-08,1.46e-08,1.18e-08,2.32e-07,3.21e-07,1.64e-07,3.11e-07,3.50e-07,4.57e-07,2.00e-06,1.19e-06,7.99e-07,1.33e-05,2.81e-06,2.08e-05,7.65e-11,5.61e-11,2.81e-11,2.04e-08,3.09e-08,2.57e-08,1.02e-07,3.40e-07,5.03e-08,3.03e-07,3.00e-07,9.04e-07,6.18e-06,1.64e-06,2.11e-06,1.49e-05,1.86e-05,2.10e-05,1.02e-09,6.02e-11,1.62e-10,1.50e-07,7.90e-08,2.18e-08,6.98e-07,7.75e-07,1.70e-07,1.32e-06,1.17e-06,4.88e-07,7.78e-06,4.63e-06,1.01e-05,6.22e-05,3.58e-05,5.33e-05,1.12e-10,1.87e-10
F3,Times9,2.40e-06,2.27e-06,1.21e-05,9.23e-06,3.83e-06,8.54e-05,1.56e-04,1.87e-04,1.61e-10,2.32e-10,2.94e-10,7.29e-08,6.17e-08,5.25e-08,1.50e-07,1.44e-07,5.26e-07,1.21e-06,6.61e-07,6.36e-07,3.56e-06,5.91e-06,3.42e-06,2.61e-05,2.80e-05,1.11e-05,2.39e-10,1.64e-11,1.75e-10,4.81e-08,1.06e-08,6.53e-08,1.49e-07,8.13e-08,3.67e-07,9.44e-07,5.09e-07,8.12e-07,5.48e-06,3.30e-06,1.86e-06,1.43e-05,7.90e-06,3.02e-05,4.88e-11,2.33e-10,3.75e-11,2.08e-08,2.84e-08,1.93e-08,3.70e-07,1.33e-07,9.35e-08,3.07e-07,2.93e-07,4.10e-07,3.19e-06,7.49e-07,2.15e-06,1.06e-05,2.25e-05,2.57e-05,1.74e-10,1.71e-10,4.43e-11,1.78e-08,2.06e-08,6.72e-08,1.45e-07,9.64e-08,5.70e-07,2.46e-07,1.08e-07,2.51e-07,1.10e-06,2.20e-06,2.04e-06,1.21e-05,5.69e-06,1.64e-05,5.94e-11,2.64e-10,1.92e-10,9.73e-08,3.32e-08,4.04e-08,2.13e-07,2.19e-07,1.97e-07,3.13e-07,6.79e-07,5.18e-07,2.50e-06,2.59e-06,2.83e-06,1.14e-05,2.30e-05,2.46e-05,3.27e-10,2.85e-10
F3,Times10,3.08e-06,2.27e-06,7.47e-06,1.55e-05,1.43e-05,9.91e-05,6.70e-05,7.15e-05,2.61e-10,4.64e-11,2.13e-11,4.17e-08,9.09e-09,2.30e-08,1.41e-07,8.38e-07,7.66e-07,2.21e-06,9.06e-07,1.11e-06,2.30e-06,7.41e-07,2.38e-06,1.12e-05,1.61e-05,3.27e-06,2.05e-10,5.17e-11,1.83e-10,6.48e-08,3.27e-08,1.78e-07,3.76e-07,3.88e-07,2.64e-07,9.20e-07,1.15e-06,2.74e-06,3.80e-06,6.36e-06,4.42e-06,1.82e-05,1.64e-05,1.89e-05,2.64e-11,2.07e-10,3.98e-10,8.35e-08,3.06e-08,4.05e-08,4.30e-07,3.94e-08,4.25e-07,2.08e-07,6.59e-07,3.24e-07,2.16e-06,2.65e-06,3.25e-06,1.34e-05,1.22e-05,8.86e-06,5.64e-11,1.47e-10,1.70e-10,3.54e-08,4.72e-08,5.29e-08,3.22e-07,3.99e-07,1.44e-07,4.15e-07,7.14e-07,2.13e-07,1.62e-06,2.14e-06,4.04e-07,4.26e-06,2.69e-05,1.72e-05,3.39e-10,2.89e-10,2.61e-10,1.68e-08,7.05e-08,2.64e-07,3.33e-07,2.48e-07,2.87e-07,2.15e-06,9.21e-07,5.64e-07,1.51e-05,1.51e-05,4.41e-06,9.42e-06,5.98e-05,4.93e-05,1.78e-10,5.38e-10
