Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,0%,90%,50%,100%,100%,100%,100%,20%,10%,0%,30%,100%,0%,80%,100%,100%,100%,100%,0%,0%
F2,0%,0%,0%,100%,100%,100%,100%,0%,10%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F3,0%,100%,40%,100%,100%,100%,100%,40%,20%,0%,30%,100%,10%,90%,100%,100%,100%,100%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,100%,30%,100%,100%,100%,100%,20%,40%,0%,0%,100%,10%,100%,100%,100%,100%,100%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F10,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F11,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,10%,0%,20%,10%,10%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,20%,0%,0%
F13,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,100%,0%,0%
F14,20%,30%,40%,50%,50%,10%,20%,10%,30%,40%,20%,30%,40%,0%,40%,10%,50%,40%,0%,10%
F15,90%,80%,100%,0%,0%,0%,0%,60%,70%,50%,50%,50%,50%,60%,80%,0%,0%,0%,60%,60%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,90%,100%,100%,100%,100%,100%,100%,90%,100%,100%,90%,80%,90%,100%,90%,100%,100%,100%,100%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,20%,40%,20%,70%,10%,50%,40%,40%,50%,40%,20%,50%,60%,50%,20%,80%,70%,40%,30%
F21,40%,20%,50%,50%,20%,0%,50%,50%,40%,30%,40%,50%,50%,40%,20%,20%,10%,30%,20%,40%
F22,0%,20%,0%,20%,10%,10%,0%,20%,10%,20%,20%,20%,10%,20%,0%,10%,20%,20%,10%,20%
F23,0%,10%,30%,0%,0%,10%,20%,10%,30%,0%,0%,30%,0%,20%,10%,10%,10%,0%,10%,10%
