Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,13006.12818633286,8136.303713453156,18685.23397337014,7.903359927966822e-06,4.51770965865479e-06,1.613407456604294e-06,1.654650402311772e-06,8236.4036055626,9790.459358448135,20123.50976997821,10940.07109800206,7637.626374511097,11304.76427442873,26135.82977572017,5987.374198705921,3.606089674092571e-06,1.013005664992192e-06,7.94589346313391e-06,18769.13220745478,25766.85272123561
F1,Times2,7731.056473290361,12530.14520675794,14617.8782640154,7.72715619741323e-06,2.121929398127794e-06,1.101561963162918e-06,5.652605066742815e-07,6184.436467803733,9513.58973381345,30445.82413294518,19256.87620792407,5317.009324218979,21715.67823004438,11370.72704736839,8611.68624690434,5.171153004771553e-06,1.665893469331873e-06,9.240976076361907e-06,26169.44858246903,14502.0456934127
F1,Times3,17974.25610202306,6791.500830836449,10093.51692411041,5.066559269303518e-06,7.697643296274976e-06,2.829390048783819e-06,1.010052749821318e-06,14194.25357497273,12065.02457569019,9467.330636047169,21128.26052071469,5806.148394480846,11862.7710432543,16908.97641373523,14685.45375707248,4.87181660802967e-06,9.858633494103522e-07,6.177194941538223e-06,19874.97408513254,12204.79620206724
F1,Times4,8818.30762567278,6707.755071947246,7752.49467644818,3.322835935959156e-06,3.540852440093447e-06,1.099154453323727e-06,9.810214282511154e-07,15045.05080737658,19918.80094568466,12860.67054038776,5319.371202444114,4296.62799550107,20329.2305216352,10671.77449220879,5645.04803836059,2.917871571146e-06,7.077727290997761e-07,5.044584920168951e-06,23495.47073651941,15910.08994370613
F1,Times5,11648.28953201213,7281.021358638987,11915.25447721852,4.86762926077922e-06,3.116480190163142e-06,1.704680289747254e-06,1.152921952765967e-06,8182.807038839316,6575.385255078531,22787.35703342775,21375.68944999287,1847.604259591456,21914.42733558449,19029.9715943148,7647.368231973026,2.847117821496908e-06,7.532043168806288e-07,3.768307350968033e-06,18417.20308256895,17967.90741710651
F1,Times6,8833.067055411208,2792.71248342321,10915.79196136029,1.8851600668566e-06,4.075835243593981e-06,9.295024106065439e-07,1.097000687399091e-06,15595.53047823454,15784.51121365523,4931.416664272241,11369.49423819639,4986.384424061721,25446.21807960914,12687.42097368857,3923.741708988172,2.730442108751633e-06,9.871661906055432e-07,5.44518399782315e-06,25313.16651024233,19377.12830434785
F1,Times7,17068.66246550805,17544.24990692821,17003.90291776965,3.638136635174889e-06,6.467336262772804e-06,7.442342218840981e-07,8.329690224793756e-07,17879.90666095441,11536.41084250664,12300.31768626462,14755.84635631399,8196.067025311935,23103.80200654798,15542.51471641533,12821.61742609496,4.562788621277676e-06,9.71868155252891e-07,4.849929283595575e-06,28138.14389667242,17091.63702272568
F1,Times8,10299.00176495307,7762.349392608072,12405.18568093428,2.892064313511288e-06,4.035688557393297e-06,1.837475180936352e-06,9.995881210019693e-07,22574.86318985519,12212.26461344291,22775.8966868052,17761.88313486346,6124.423296466929,21245.13558729321,12061.25057606264,4505.2612345564,4.466767253045403e-06,1.205420467919155e-06,4.904650586303035e-06,25375.92614620545,8564.235120648613
F1,Times9,7877.297321680033,8473.991810373544,14529.36073497273,2.204103130442351e-06,4.093180639883881e-06,1.355362109843297e-06,4.716533379105518e-07,14967.37640036399,13242.33489882785,11746.33149443536,10251.82459433692,3485.394568205795,20943.00143451469,12895.67747982911,5168.752704191069,4.716341874012948e-06,8.544570528941148e-07,7.482329611920875e-06,21756.28830244933,20836.92206213696
F1,Times10,16036.947186943,6719.348862504578,18452.1008471012,3.216210256861534e-06,5.938714196651188e-06,6.72459911685371e-07,8.12466964783303e-07,14176.52284254879,11579.89276409964,14971.22984386436,16711.24873044111,4010.567254677735,22630.72067452423,8594.959529144102,6560.319825030185,7.143840844409652e-06,1.226195777457443e-06,3.73478614301702e-06,29988.64614538292,19196.00051338668
