Function,Times,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,Times1,3114.434763150003,3717.143403054132,3180.922471901403,598.6162103807395,1011.010550438371,228.8972040756871,466.0355911027282,4816.186199153255,4448.927364180948,3494.389264242234,3775.233203315103,4443.899476264362,5806.622500022932,6857.415490220664,3366.761552407329,1538.755628957034,856.4295935598457,2129.853143715682,3916.514113881259,2004.68120352155
F1,Times2,3391.277225931176,4221.736371385249,3844.681008905618,842.7680551113855,842.7270689785287,361.1446593863181,665.7324011371833,6907.448555584481,2882.21152070954,3378.761266189503,5283.313109605727,3960.927157320154,7259.5314067051,4769.267694360747,4797.571232937524,1811.973965181076,839.5310600742893,2063.335608287567,4064.298694078398,2513.240640921707
F1,Times3,2493.037383841695,2065.582560665832,4343.358593403488,274.4174839463078,1873.926107712951,283.9623089428205,405.5438005061841,3569.664924078893,1839.216193473144,3890.862451384314,5277.516751699897,3066.899798830646,6265.339731472561,6052.054640896721,5240.514846657757,986.4212100349428,976.5275191118938,1485.587311508645,5414.530911081919,1932.531830353293
F1,Times4,2941.719687708433,3498.391219560795,4062.061985251135,457.1486789029793,1355.498735159369,246.7188994873633,139.1872734952972,3871.719456180634,2109.523525244952,4963.453692970917,5185.731968839485,3817.864949472203,5493.22435286611,5071.967770494703,4800.583434525537,1301.280815197968,488.6073764727645,945.3346212802355,6894.218056312357,3673.253564160357
F1,Times5,3734.058706401369,2410.659924136631,3164.793113692074,724.2227956942447,1568.996425024134,242.5398140972504,207.7839626851758,4160.558367486135,4225.489381092326,3996.880656492551,4859.065203514254,4929.036754981737,4942.975421517865,5250.205656188504,6050.806012596948,1102.356457383352,624.5053032290565,1085.941988599176,5269.824033321504,2642.115611082584
F1,Times6,3103.569983507103,1983.475088097589,1932.337342136424,751.0886053381887,1147.03432296923,484.5329775720535,265.7351762053837,3209.876180476265,2681.281353175298,5539.758639391166,6121.187731825054,3706.643813099944,5027.611968725961,4795.188512004277,4796.850515918065,1062.99235883445,307.2250233202536,1348.810824505386,3875.023381215585,1994.439813581531
F1,Times7,2957.403668966945,2937.660993053183,4175.509128948469,1452.704548097798,2012.742386865139,607.968365211404,273.1151964522419,4435.2193458479,2422.954123734851,5062.04877832027,5638.57599125615,4159.419380339261,3786.722131033143,9363.97316801505,5661.098419715828,1412.1997468218,861.8735917218905,1552.755909982174,5053.593492062399,2504.803120974469
F1,Times8,2768.498656140257,5089.322725480749,4499.799353778952,478.3104353506641,2373.300840720304,282.2981038537079,266.6714484894825,4047.981227331214,2361.298194608447,3218.624977578092,5976.92044663125,4051.990035032791,5427.579280043037,4795.930652905331,4431.637218877762,1130.358623494633,730.801664737615,1754.909174090938,5276.474325478363,2288.351462769148
F1,Times9,2747.224255460864,3973.543124417793,6176.256308026249,516.6804458913107,782.3756841584027,321.1581459201714,315.5602705266089,3141.184708955495,2481.248756851335,4019.125415581327,6642.713708040666,5368.924981020607,7346.280844907403,5022.914873241994,4292.325577336749,819.8693005402711,701.3654366769972,1745.04460092906,6352.447427988393,3008.040590593525
F1,Times10,3403.235747757829,2776.133887349159,3216.911241955314,476.0470125672773,746.8876780699871,370.9519414648644,148.0717542027615,3243.027259955964,1848.521503652525,3849.310201900491,3921.442307729286,4613.477350191029,5698.55703323028,5263.861148375066,3561.577657973453,1152.676162223102,679.3346522906334,2302.121515417228,4734.606198409451,2052.642406691461
