Function,combination163,combination199,combination198,combination23,combination22,combination59,combination95,combination146,combination164,combination162,combination145,combination182,combination144,combination180,combination181,combination5,combination41,combination21,combination110,combination128
F1,0%,0%,0%,100%,100%,100%,100%,10%,0%,0%,0%,90%,0%,0%,0%,100%,100%,100%,0%,0%
F2,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,0%,0%,0%,0%,100%,100%,90%,0%,0%
F3,0%,0%,0%,100%,100%,100%,100%,10%,0%,0%,0%,90%,0%,0%,0%,100%,100%,100%,0%,0%
F4,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F5,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F6,0%,0%,0%,100%,100%,100%,100%,0%,0%,0%,0%,90%,0%,0%,0%,100%,100%,100%,0%,0%
F7,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F8,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F9,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F10,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F11,0%,0%,0%,0%,0%,40%,30%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F12,0%,0%,0%,40%,20%,30%,30%,0%,0%,0%,0%,0%,0%,0%,0%,20%,20%,20%,0%,0%
F13,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F14,10%,10%,0%,10%,10%,10%,30%,10%,0%,30%,0%,0%,10%,0%,10%,20%,0%,20%,10%,20%
F15,50%,80%,70%,0%,20%,0%,20%,60%,80%,60%,60%,70%,60%,20%,50%,0%,10%,0%,70%,60%
F16,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F17,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
F18,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,100%
F19,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
F20,40%,20%,100%,50%,60%,10%,40%,40%,40%,30%,50%,40%,50%,70%,70%,40%,40%,40%,80%,90%
F21,80%,50%,40%,30%,30%,40%,10%,50%,40%,50%,50%,40%,40%,30%,50%,40%,30%,40%,10%,50%
F22,60%,50%,10%,20%,20%,40%,0%,40%,30%,30%,40%,40%,30%,40%,20%,20%,20%,20%,20%,30%
F23,80%,40%,30%,30%,20%,10%,10%,10%,30%,50%,50%,0%,60%,10%,0%,10%,60%,30%,20%,40%
