,,Combination1
F1,Times1,0.0009312710185469426
F1,Times2,0.0012265129373783647
F1,Times3,0.0007856056217704203
F1,Times4,0.0005537538609132048
F1,Times5,0.0010349924225976689
F1,Times6,0.0018589328360369235
F1,Times7,0.0014371062728606066
F1,Times8,0.0006027234948849701
F1,Times9,0.0013106105751438286
F1,Times10,0.0009438768509479095
F2,Times1,0.1921294167909939
F2,Times2,0.19559714667061034
F2,Times3,0.1886819370047127
F2,Times4,0.15263122513787594
F2,Times5,0.16991315678935234
F2,Times6,0.19513605131997705
F2,Times7,0.1374171546501488
F2,Times8,0.1369627614057729
F2,Times9,0.2199691039388745
F2,Times10,0.1726633734949552
F3,Times1,0.04030858317213479
F3,Times2,0.05639101933110923
F3,Times3,0.06926121974892126
F3,Times4,0.12928315000473875
F3,Times5,0.05351542386681945
F3,Times6,0.0524883383135097
F3,Times7,0.048074210410093195
F3,Times8,0.04116772188968956
F3,Times9,0.09843809961791831
F3,Times10,0.05420723655176548
F4,Times1,0.13322119043260133
F4,Times2,0.17514388251132093
F4,Times3,0.15939144207797173
F4,Times4,0.1354715517045626
F4,Times5,0.16164127099924622
F4,Times6,0.16749458451623644
F4,Times7,0.19699793456573808
F4,Times8,0.14897147035937505
F4,Times9,0.13746091894544166
F4,Times10,0.12654986374575072
F5,Times1,157.48373271972957
F5,Times2,144.50084135232981
F5,Times3,158.96159267337882
F5,Times4,71.44912711593288
F5,Times5,89.15261099316045
F5,Times6,137.57117149899497
F5,Times7,93.6509391394699
F5,Times8,99.39578373608927
F5,Times9,83.45749428668212
F5,Times10,96.0788410398858
F6,Times1,0.0014642822491185224
F6,Times2,0.000691825484655918
F6,Times3,0.0013470288008423136
F6,Times4,0.0013757214924824729
F6,Times5,0.0008061969272612205
F6,Times6,0.0012173799881282305
F6,Times7,0.0009709531513885407
F6,Times8,0.0008481867083141945
F6,Times9,0.0014480474699441524
F6,Times10,0.0010840194008053354
F7,Times1,9.423026611531003e-05
F7,Times2,5.7916574635874155e-05
F7,Times3,8.849097603933594e-05
F7,Times4,9.986931493522115e-05
F7,Times5,9.662627526871451e-05
F7,Times6,8.815725921892316e-05
F7,Times7,9.483153795100239e-05
F7,Times8,6.083625390112702e-05
F7,Times9,9.87164294356331e-05
F7,Times10,9.602754075438718e-05
F8,Times1,-18817.250515336054
F8,Times2,-18580.374921793307
F8,Times3,-18461.935866283256
F8,Times4,-18461.93653993845
F8,Times5,-18698.813102526292
F8,Times6,-18343.49856461654
F8,Times7,-18817.249822456048
F8,Times8,-18580.37304479375
F8,Times9,-19054.127013888276
F8,Times10,-19054.12726049493
F9,Times1,0.000504224903078665
F9,Times2,0.0007169118798096008
F9,Times3,0.0005416459870737356
F9,Times4,0.00043075492347099953
F9,Times5,0.0008027002539119366
F9,Times6,0.0007303470876163232
F9,Times7,0.0005073714105723326
F9,Times8,0.00039424895018136397
F9,Times9,0.0005960638166175869
F9,Times10,0.000888024459117176
F10,Times1,0.006592542148332825
F10,Times2,0.008008567874274064
F10,Times3,0.005233334225163588
