,,Combination1
F1,Times1,13.876544802476229
F1,Times2,45.440780786599724
F1,Times3,10.365611774361598
F1,Times4,11.893445214825523
F1,Times5,44.781608501557535
F1,Times6,9.56462851801069
F1,Times7,1.156685328009117
F1,Times8,12.823368214215503
F1,Times9,38.871801348545745
F1,Times10,42.44369512000575
F2,Times1,25.247959897920822
F2,Times2,2.1758162915098542
F2,Times3,0.0
F2,Times4,23.81365494644539
F2,Times5,41.430176353958636
F2,Times6,38.81492653057928
F2,Times7,0.0
F2,Times8,60.209153087161894
F2,Times9,26.654061608995097
F2,Times10,30.051606375613247
F3,Times1,30.298801702803303
F3,Times2,0.0
F3,Times3,41.86426758223926
F3,Times4,17.472555059857516
F3,Times5,29.207247026245884
F3,Times6,7.309825697690153
F3,Times7,41.94933020273499
F3,Times8,31.20790463941518
F3,Times9,27.559903043731165
F3,Times10,0.0
F4,Times1,32.33499828766666
F4,Times2,17.09490348888654
F4,Times3,3.5086543192289517
F4,Times4,32.4708998449207
F4,Times5,10.99534250965446
F4,Times6,30.126298323447923
F4,Times7,13.14262380373772
F4,Times8,0.0015226999882093292
F4,Times9,45.972581791772555
F4,Times10,25.406584733494775
F5,Times1,5.881994003209014
F5,Times2,8.000308707990172
F5,Times3,5.873749505564195
F5,Times4,7.974973909012103
F5,Times5,4.2909114602910945
F5,Times6,0.0
F5,Times7,11.866747466267027
F5,Times8,2.292984995897781
F5,Times9,6.458963446470196
F5,Times10,10.73958581589077
F6,Times1,117.05978484848185
F6,Times2,37.46766208228691
F6,Times3,123.66328183173118
F6,Times4,32.85332024619915
F6,Times5,101.13308279981129
F6,Times6,137.06698485664464
F6,Times7,61.992099507258445
F6,Times8,86.84205482601591
F6,Times9,120.58705699695983
F6,Times10,120.63095158137976
F7,Times1,6.496989182037566
F7,Times2,4.990247584947107
F7,Times3,3.435621577054095
F7,Times4,5.409112383940844
F7,Times5,5.974095582042355
F7,Times6,4.5450615121485605
F7,Times7,5.979309141586727
F7,Times8,6.756880196607756
F7,Times9,4.95512379763989
F7,Times10,3.0361235816505605
F8,Times1,0.0
F8,Times2,79.02000404487512
F8,Times3,0.0
F8,Times4,125.43765284074598
F8,Times5,42.03758922673277
F8,Times6,168.99443862338137
F8,Times7,207.40911956852682
F8,Times8,79.02643130455027
F8,Times9,68.9432491111873
F8,Times10,158.04898591278356
F9,Times1,1.9974096419270086
F9,Times2,0.8134652495563073
F9,Times3,1.6140157236746242
F9,Times4,0.5347326698495884
F9,Times5,0.9573033598341862
F9,Times6,1.2253753695398224
F9,Times7,0.0
F9,Times8,0.02545197202952882
F9,Times9,0.01955889952225216
F9,Times10,2.3820168257246412
F10,Times1,4.999998902561072
F10,Times2,1.3722240965194483
F10,Times3,8.989755921140809
F10,Times4,4.7446700317103785
F10,Times5,0.7673225017987413
F10,Times6,0.0
F10,Times7,13.45139001160149
F10,Times8,0.0
F10,Times9,0.0
F10,Times10,16.751783832284346
F11,Times1,285.01623369352006
F11,Times2,36.04163098576577
F11,Times3,126.05199447932853
F11,Times4,97.00386889324594
F11,Times5,121.94538759888576
F11,Times6,218.12608914851359
F11,Times7,139.75485804150802
F11,Times8,0.0
F11,Times9,0.0
