,,Combination1
F1,Times1,2000398.0
F1,Times2,2000398.0
F1,Times3,2000398.0
F1,Times4,2000398.0
F1,Times5,2000398.0
F1,Times6,2000398.0
F1,Times7,2000398.0
F1,Times8,2000398.0
F1,Times9,2000398.0
F1,Times10,2000398.0
F2,Times1,2000398.0
F2,Times2,2000398.0
F2,Times3,2000398.0
F2,Times4,2000398.0
F2,Times5,2000398.0
F2,Times6,2000398.0
F2,Times7,2000398.0
F2,Times8,2000398.0
F2,Times9,2000398.0
F2,Times10,2000398.0
F3,Times1,2000398.0
F3,Times2,2000398.0
F3,Times3,2000398.0
F3,Times4,2000398.0
F3,Times5,2000398.0
F3,Times6,2000398.0
F3,Times7,2000398.0
F3,Times8,2000398.0
F3,Times9,2000398.0
F3,Times10,2000398.0
F4,Times1,2000398.0
F4,Times2,2000398.0
F4,Times3,2000398.0
F4,Times4,2000398.0
F4,Times5,2000398.0
F4,Times6,2000398.0
F4,Times7,2000398.0
F4,Times8,2000398.0
F4,Times9,2000398.0
F4,Times10,2000398.0
F5,Times1,2000398.0
F5,Times2,2000398.0
F5,Times3,2000398.0
F5,Times4,2000398.0
F5,Times5,2000398.0
F5,Times6,2000398.0
F5,Times7,2000398.0
F5,Times8,2000398.0
F5,Times9,2000398.0
F5,Times10,2000398.0
F6,Times1,2000398.0
F6,Times2,2000398.0
F6,Times3,2000398.0
F6,Times4,2000398.0
F6,Times5,2000398.0
F6,Times6,2000398.0
F6,Times7,2000398.0
F6,Times8,2000398.0
F6,Times9,2000398.0
F6,Times10,2000398.0
F7,Times1,25112.0
F7,Times2,24560.0
F7,Times3,24134.0
F7,Times4,26768.0
F7,Times5,27148.0
F7,Times6,26334.0
F7,Times7,23996.0
F7,Times8,33124.0
F7,Times9,26828.0
F7,Times10,21456.0
F8,Times1,2000398.0
F8,Times2,2000398.0
F8,Times3,2000398.0
F8,Times4,2000398.0
F8,Times5,2000398.0
F8,Times6,2000398.0
F8,Times7,2000398.0
F8,Times8,2000398.0
F8,Times9,2000398.0
F8,Times10,2000398.0
F9,Times1,2000398.0
F9,Times2,2000398.0
F9,Times3,2000398.0
F9,Times4,2000398.0
F9,Times5,2000398.0
F9,Times6,2000398.0
F9,Times7,2000398.0
F9,Times8,2000398.0
F9,Times9,2000398.0
F9,Times10,2000398.0
F10,Times1,2000398.0
F10,Times2,2000398.0
F10,Times3,2000398.0
F10,Times4,2000398.0
F10,Times5,2000398.0
F10,Times6,2000398.0
F10,Times7,2000398.0
F10,Times8,2000398.0
F10,Times9,2000398.0
F10,Times10,2000398.0
F11,Times1,2000398.0
F11,Times2,2000398.0
F11,Times3,2000398.0
F11,Times4,2000398.0
F11,Times5,2000398.0
F11,Times6,2000398.0
F11,Times7,2000398.0
F11,Times8,2000398.0
F11,Times9,2000398.0
F11,Times10,2000398.0
F12,Times1,475162.0
F12,Times2,214624.0
F12,Times3,260796.0
F12,Times4,444102.0
F12,Times5,707550.0
F12,Times6,269174.0
F12,Times7,261284.0
F12,Times8,351484.0
F12,Times9,354218.0
F12,Times10,458852.0
F13,Times1,2000398.0
F13,Times2,1558952.0
F13,Times3,1501936.0
F13,Times4,2000398.0
F13,Times5,1890070.0
F13,Times6,1846486.0
F13,Times7,1681300.0
F13,Times8,1386558.0
F13,Times9,1677610.0
F13,Times10,1820782.0
F14,Times1,2000398.0
F14,Times2,2000398.0
F14,Times3,2000398.0
F14,Times4,2000398.0
F14,Times5,2000398.0
F14,Times6,2000398.0
F14,Times7,2000398.0
F14,Times8,2000398.0
F14,Times9,2000398.0
F14,Times10,2000398.0
F15,Times1,2000398.0
F15,Times2,2000398.0
F15,Times3,1790314.0
F15,Times4,2000398.0
F15,Times5,2000398.0
F15,Times6,2000398.0
F15,Times7,536390.0
F15,Times8,2000398.0
F15,Times9,2000398.0
F15,Times10,2000398.0
F16,Times1,1322.0
F16,Times2,1292.0
F16,Times3,3926.0
F16,Times4,2424.0
F16,Times5,876.0
F16,Times6,6588.0
F16,Times7,2828.0
F16,Times8,2124.0
F16,Times9,2410.0
F16,Times10,5062.0
F17,Times1,4928.0
F17,Times2,4022.0
F17,Times3,2000398.0
F17,Times4,1874.0
F17,Times5,2000398.0
F17,Times6,2154.0
F17,Times7,1138.0
F17,Times8,2762.0
F17,Times9,1726.0
F17,Times10,3922.0
F18,Times1,16972.0
F18,Times2,17488.0
F18,Times3,3084.0
F18,Times4,9872.0
F18,Times5,10794.0
F18,Times6,32762.0
F18,Times7,14594.0
F18,Times8,3884.0
F18,Times9,12470.0
F18,Times10,6854.0
F19,Times1,2000398.0
F19,Times2,2000398.0
F19,Times3,2000398.0
F19,Times4,2000398.0
F19,Times5,2000398.0
F19,Times6,2000398.0
F19,Times7,2000398.0
F19,Times8,2000398.0
F19,Times9,2000398.0
F19,Times10,600.0
F20,Times1,2000398.0
F20,Times2,2000398.0
F20,Times3,1840.0
F20,Times4,2000398.0
F20,Times5,2000398.0
F20,Times6,2000398.0
F20,Times7,2494.0
F20,Times8,2000398.0
F20,Times9,2000398.0
F20,Times10,2000398.0
F21,Times1,2000398.0
F21,Times2,123498.0
F21,Times3,139042.0
F21,Times4,202976.0
F21,Times5,48576.0
F21,Times6,500444.0
F21,Times7,81848.0
F21,Times8,62084.0
F21,Times9,2000398.0
F21,Times10,41990.0
F22,Times1,38854.0
F22,Times2,139138.0
F22,Times3,36740.0
F22,Times4,132866.0
F22,Times5,18996.0
F22,Times6,2000398.0
F22,Times7,74786.0
F22,Times8,2000398.0
F22,Times9,300398.0
F22,Times10,2000398.0
