,,Combination1
F1,Times1,0.002140378471972113
F1,Times2,0.0024575220833551836
F1,Times3,0.002215807349281336
F1,Times4,0.0031656881167005215
F1,Times5,0.002732150314394184
F1,Times6,0.002055166659019106
F1,Times7,0.0020708207002156473
F1,Times8,0.005137298058807947
F1,Times9,0.0020159855680921728
F1,Times10,0.0013593261013265996
F2,Times1,0.22441964630384692
F2,Times2,0.19733409062181703
F2,Times3,0.22882545098535412
F2,Times4,0.25701343440329216
F2,Times5,0.2317916336000286
F2,Times6,0.24002768636527771
F2,Times7,0.24116516737163696
F2,Times8,0.21530685507712505
F2,Times9,0.3094286280916417
F2,Times10,0.23667973071652817
F3,Times1,0.15485933496826768
F3,Times2,0.1607467022425216
F3,Times3,0.08091282239341067
F3,Times4,0.04417872034346387
F3,Times5,0.09995248875729727
F3,Times6,0.06618535181392336
F3,Times7,0.15378196464422345
F3,Times8,0.09710183113868824
F3,Times9,0.10228787929955371
F3,Times10,0.07849125217148127
F4,Times1,0.2647635089155649
F4,Times2,0.2923451421473887
F4,Times3,0.15560668702833802
F4,Times4,0.2032697641104506
F4,Times5,0.1814578699524929
F4,Times6,0.1849442623489459
F4,Times7,0.24797376517234704
F4,Times8,0.21837248608278848
F4,Times9,0.2366544568473663
F4,Times10,0.21414336810491974
F5,Times1,163.4718818411529
F5,Times2,140.22185018692463
F5,Times3,140.395890526824
F5,Times4,77.02918290243882
F5,Times5,96.23501075545973
F5,Times6,124.45529567780073
F5,Times7,95.54752597621822
F5,Times8,165.31988025987744
F5,Times9,81.73892504463734
F5,Times10,80.43756402126938
F6,Times1,0.002361046832020148
F6,Times2,0.000999324773905604
F6,Times3,0.0016114394531464436
F6,Times4,0.0010952909095739301
F6,Times5,0.0008386502329139424
F6,Times6,0.0024242677342795507
F6,Times7,0.0023441656010886043
F6,Times8,0.0014895751755472837
F6,Times9,0.0018072256893627472
F6,Times10,0.0017675084757314227
F7,Times1,6.812405614925286e-05
F7,Times2,9.854099220447336e-05
F7,Times3,9.057566206534267e-05
F7,Times4,7.35404134848687e-05
F7,Times5,9.998835800538935e-05
F7,Times6,8.348522401087875e-05
F7,Times7,9.839056992408778e-05
F7,Times8,8.562914053817741e-05
F7,Times9,5.0500666682770914e-05
F7,Times10,9.894134219117287e-05
F8,Times1,-18106.611648410362
F8,Times2,-17988.177047992223
F8,Times3,-18106.61837282075
F8,Times4,-18106.611934519588
F8,Times5,-17988.178031355936
F8,Times6,-18580.373153446446
F8,Times7,-18343.494383240748
F8,Times8,-17988.178563781163
F8,Times9,-18461.932759445775
F8,Times10,-18225.05712899912
F9,Times1,0.0011390365594117213
F9,Times2,0.0009715758471440239
F9,Times3,0.0009902729003083977
F9,Times4,0.0011033034439815737
F9,Times5,0.001737712502388078
F9,Times6,0.0010256373036128252
F9,Times7,0.0009775249248669127
F9,Times8,0.0011815700559782982
F9,Times9,0.0009161436842592963
F9,Times10,0.0014262856019211512
F10,Times1,0.008611523111994757
F10,Times2,0.008582094083923408
F10,Times3,0.00868726653619234
F10,Times4,0.009792502050341767
F10,Times5,0.006888159241153602
F10,Times6,0.004538348385491275
F10,Times7,0.008279919886355458
F10,Times8,0.007829334173685254
F10,Times9,0.00797164613587853
F10,Times10,0.011978704842039889
F11,Times1,0.02677055751945956
F11,Times2,0.002631520665078546
F11,Times3,0.013683904557712179
F11,Times4,0.0022506497871970232
F11,Times5,0.015576808078440196
F11,Times6,0.003254914448333146
F11,Times7,0.016391712600058117
F11,Times8,0.002090353056975247
F11,Times9,0.0021995041774208746
F11,Times10,0.0017057350359730439
F12,Times1,6.20515553422925e-05
F12,Times2,9.945325076892777e-05
F12,Times3,9.4554829257362e-05
F12,Times4,9.808029385420336e-05
F12,Times5,9.968662761409319e-05
F12,Times6,7.189517616368552e-05
F12,Times7,9.310362668905673e-05
F12,Times8,6.119346324268866e-05
F12,Times9,8.671524991740428e-05
F12,Times10,8.873467398003733e-05
F13,Times1,0.00010889132998141006
F13,Times2,0.00020829208012799886
F13,Times3,0.00013780132344828568
F13,Times4,0.0003390452033321897
F13,Times5,0.00015122757941182018
F13,Times6,0.00011923951345546702
F13,Times7,0.0003915779283002237
F13,Times8,0.00026733173830672245
F13,Times9,0.0001202875811992284
F13,Times10,0.00020056101296370157
F14,Times1,0.9980038384344265
F14,Times2,0.9980038381940399
F14,Times3,0.9980038382788206
F14,Times4,0.9980038384177111
F14,Times5,0.998003838347016
F14,Times6,0.9980038380035842
F14,Times7,0.9980038380282981
F14,Times8,0.9980038391369817
F14,Times9,0.998003838138603
F14,Times10,0.9980038383306788
F15,Times1,0.0012232026201004064
F15,Times2,0.02036336213459658
F15,Times3,0.0003829985341630405
F15,Times4,0.00038821878339471836
F15,Times5,0.0003988875940689106
F15,Times6,0.0005083888320675113
F15,Times7,0.0003926369829178579
F15,Times8,0.00040779857359974503
F15,Times9,0.0003998971310625121
F15,Times10,0.020363342897111537
F16,Times1,-1.031613498491257
F16,Times2,-1.0315500092267453
F16,Times3,-1.0315098037667805
F16,Times4,-1.0315119094763
F16,Times5,-1.0316145402533206
F16,Times6,-1.0315653402962552
F16,Times7,-1.0315474758496548
F16,Times8,-1.0315855342197797
F16,Times9,-1.0316033525601522
F16,Times10,-1.0315149705624347
F17,Times1,0.39788836291692853
F17,Times2,0.39805729073250795
F17,Times3,0.3979777961108155
F17,Times4,0.39803607997738766
F17,Times5,0.3979321752421736
F17,Times6,0.3980972134770919
F17,Times7,0.39789012302588134
F17,Times8,0.39801041660105163
F17,Times9,0.39791404985883183
F17,Times10,0.39806529729077766
F18,Times1,3.0000512034408087
F18,Times2,3.0001681670322227
F18,Times3,3.0000616682459844
F18,Times4,3.000041594639539
F18,Times5,3.000070340757359
F18,Times6,3.0000705399005105
F18,Times7,3.0000931548527383
F18,Times8,3.0000941858478023
F18,Times9,3.0002018986625654
F18,Times10,3.0001971680063515
F19,Times1,-3.8627821475445403
F19,Times2,-3.8627821474234594
F19,Times3,-3.8627821474873802
F19,Times4,-3.862782146730872
F19,Times5,-3.8627821477818696
F19,Times6,-3.8627821472498445
F19,Times7,-3.862782147589403
F19,Times8,-3.862782147419888
F19,Times9,-3.8627821466676755
F19,Times10,-3.8627821468170382
F20,Times1,-3.321995168787133
F20,Times2,-3.321995170159621
F20,Times3,-3.320001870574369
F20,Times4,-3.321995170394731
F20,Times5,-3.3219951654049193
F20,Times6,-3.3219951707201165
F20,Times7,-3.3219951694299676
F20,Times8,-3.203102048298893
F20,Times9,-3.3199982686475917
F20,Times10,-3.2031020500917724
F21,Times1,-5.100772032960577
F21,Times2,-10.153153646722448
F21,Times3,-10.153112287635674
F21,Times4,-5.100772062779611
F21,Times5,-10.153125370909311
F21,Times6,-5.1007720758656845
F21,Times7,-10.153114903312327
F21,Times8,-10.15313410920713
F21,Times9,-10.153189261994216
F21,Times10,-5.100772081426417
F22,Times1,-10.402886013707576
F22,Times2,-10.402703225339245
F22,Times3,-5.1288227815408245
F22,Times4,-10.402725501051819
F22,Times5,-10.402940545450063
F22,Times6,-10.402859341360312
F22,Times7,-10.402877025269023
F22,Times8,-10.402727899070829
F22,Times9,-10.402735232527624
F22,Times10,-5.087671782850756
F23,Times1,-10.536206913417164
F23,Times2,-5.175646500574902
F23,Times3,-10.536295336092287
F23,Times4,-10.536311892041024
F23,Times5,-10.536330975869038
F23,Times6,-10.536251175677187
F23,Times7,-10.536211832426275
F23,Times8,-10.536201576146965
F23,Times9,-10.536317596244505
F23,Times10,-10.53630317211463
