,,Combination1
F1,Times1,29.67664893014597
F1,Times2,0.0
F1,Times3,0.05866221002417223
F1,Times4,18.491059802532433
F1,Times5,0.0
F1,Times6,0.0
F1,Times7,0.0
F1,Times8,28.99887200274358
F1,Times9,41.985381056774436
F1,Times10,0.0
F2,Times1,0.0
F2,Times2,8.031035062131314
F2,Times3,45.23053952787724
F2,Times4,0.0
F2,Times5,0.0
F2,Times6,10.454459151392246
F2,Times7,0.0
F2,Times8,0.0
F2,Times9,37.20499791312428
F2,Times10,15.395241033606506
F3,Times1,20.99595847805873
F3,Times2,0.0
F3,Times3,0.0
F3,Times4,0.0
F3,Times5,0.0
F3,Times6,43.254194840194536
F3,Times7,57.53507214672918
F3,Times8,0.0
F3,Times9,7.479725824783285
F3,Times10,0.0
F4,Times1,2.172005559660629
F4,Times2,32.80746980117508
F4,Times3,15.337587618686063
F4,Times4,0.31250480634035077
F4,Times5,9.438820962225067
F4,Times6,3.9061242586976976
F4,Times7,10.820795539777016
F4,Times8,2.360756718545931
F4,Times9,10.786023687824592
F4,Times10,0.22584975069023047
F5,Times1,7.234159587520365
F5,Times2,9.814790438453548
F5,Times3,0.3631914058424136
F5,Times4,8.425071156204169
F5,Times5,0.0
F5,Times6,3.2568182429601
F5,Times7,3.0699663900379934
F5,Times8,0.0
F5,Times9,10.628836624355
F5,Times10,0.0
F6,Times1,111.40653957626974
F6,Times2,94.0618117958232
F6,Times3,40.138589554853816
F6,Times4,151.4990080875898
F6,Times5,39.22073852162478
F6,Times6,138.8608979206863
F6,Times7,76.70025751814214
F6,Times8,76.34773039345674
F6,Times9,158.17939893153095
F6,Times10,54.033363367255106
F7,Times1,6.009851728942042
F7,Times2,15.784676338312567
F7,Times3,9.103665827894329
F7,Times4,9.141468837379353
F7,Times5,14.185227101203257
F7,Times6,23.769649665888565
F7,Times7,19.257667448443517
F7,Times8,13.047129383209548
F7,Times9,12.18892697004975
F7,Times10,7.722226911651755
F8,Times1,100.84691352603801
F8,Times2,0.0
F8,Times3,111.77193977852733
F8,Times4,143.84541209564696
F8,Times5,92.85716635766408
F8,Times6,163.4842734329215
F8,Times7,0.0
F8,Times8,147.59009813950752
F8,Times9,0.0
F8,Times10,0.0
F9,Times1,2.718674858663578
F9,Times2,0.0
F9,Times3,0.0
F9,Times4,0.6600870711411009
F9,Times5,0.0
F9,Times6,0.11374186871488486
F9,Times7,0.0
F9,Times8,1.520180274677436
F9,Times9,1.1776141669637803
F9,Times10,0.0
F10,Times1,3.0958114608353284
F10,Times2,5.1422375514277086
F10,Times3,9.992122721418884
F10,Times4,0.0
F10,Times5,0.0
F10,Times6,0.0
F10,Times7,5.358410388499303
F10,Times8,2.9051905779037956
F10,Times9,0.09474030189675434
F10,Times10,6.649425812921672
F11,Times1,0.0
F11,Times2,135.81418174773236
F11,Times3,0.0
F11,Times4,0.0
F11,Times5,0.0
F11,Times6,0.0
F11,Times7,176.7770806717009
F11,Times8,0.0
F11,Times9,161.82736534002578
F11,Times10,270.9616747520296
F12,Times1,24.861228272666427
F12,Times2,4.587868448996206
F12,Times3,9.655375408111182
F12,Times4,3.1478991328035
F12,Times5,3.676374049567693
F12,Times6,6.568716846286781
F12,Times7,5.282933893119329
F12,Times8,4.495400386480652
F12,Times9,10.486458674109766
F12,Times10,5.64953355029323
F13,Times1,0.5786783392291139
F13,Times2,0.9318489296847211
F13,Times3,19.98020391409106
F13,Times4,14.198038233189113
F13,Times5,0.23051868714273893
F13,Times6,0.6206798642020781
F13,Times7,0.09151681847597792
F13,Times8,0.0
F13,Times9,0.8145739623054056
F13,Times10,0.0
F14,Times1,0.41684465613261423
F14,Times2,4.9017434333680185
F14,Times3,4.554712221577606
F14,Times4,6.649330881190782
F14,Times5,9.030990555770664
F14,Times6,3.1988645250184424
F14,Times7,13.701609865752353
F14,Times8,14.013698863114286
F14,Times9,3.1553062128063196
F14,Times10,25.93252179027219
F15,Times1,1.0398671775760342
F15,Times2,0.8039945045778892
F15,Times3,0.0
F15,Times4,0.39271531277128635
F15,Times5,0.0
F15,Times6,0.2320889471661331
F15,Times7,1.546089379758774
F15,Times8,0.2637841023462306
F15,Times9,0.6147526922147654
F15,Times10,0.3264337261129233
F16,Times1,1.3630746771705522
F16,Times2,1.6684346907743155
F16,Times3,1.2195420488034578
F16,Times4,48.690150843072864
F16,Times5,2.9259877589651637
F16,Times6,5.8221852458686945
F16,Times7,8.592077299641904
F16,Times8,22.06430698268722
F16,Times9,4.011522908136947
F16,Times10,0.7642734261711936
F17,Times1,6.074196594530164
F17,Times2,5.164686059122879
F17,Times3,2.7515654826002818
F17,Times4,2.0292808032323824
F17,Times5,1.4743703255066494
F17,Times6,53.23227845509185
F17,Times7,17.824240846555842
F17,Times8,30.822413196047492
F17,Times9,0.9390415868994269
F17,Times10,9.044123765886779
F18,Times1,0.19471718509644081
F18,Times2,0.08172749178959093
F18,Times3,0.1280801174692984
F18,Times4,0.1257500255466968
F18,Times5,0.21658285967604246
F18,Times6,0.3679246886198059
F18,Times7,0.41853315436512
F18,Times8,0.02077189117272416
F18,Times9,0.036619294564780046
F18,Times10,0.17018995647413449
F19,Times1,0.03109928205497925
F19,Times2,0.1706891172742021
F19,Times3,0.015579765714822336
F19,Times4,0.0
F19,Times5,0.0
F19,Times6,0.18074753887517525
F19,Times7,0.07179028857752795
F19,Times8,0.14677378866737079
F19,Times9,0.0
F19,Times10,0.11879992961186571
F20,Times1,0.15261535331391185
F20,Times2,0.12368884172252698
F20,Times3,11.103272548874672
F20,Times4,0.07901176279038992
F20,Times5,0.1542402766801697
F20,Times6,0.133695144187172
F20,Times7,0.0
F20,Times8,0.013306123427486605
F20,Times9,0.0
F20,Times10,0.2419424085543594
F21,Times1,0.2997701715595751
F21,Times2,0.0
F21,Times3,0.039095317175250166
F21,Times4,0.5992575735277068
F21,Times5,0.19677135172507576
F21,Times6,0.20586921368678635
F21,Times7,0.004072149200588626
F21,Times8,0.06630398149148409
F21,Times9,0.29550290428493753
F21,Times10,0.0
F22,Times1,1.1317535874225995
F22,Times2,1.075157406558783
F22,Times3,0.2661068614677693
F22,Times4,0.06308245946854951
F22,Times5,0.20597594372955008
F22,Times6,0.546338333707852
F22,Times7,0.7492654616392489
F22,Times8,0.0
F22,Times9,0.7933150010785807
F22,Times10,0.2862796264917839
F23,Times1,0.3933543637158629
F23,Times2,0.09961437615728563
F23,Times3,0.18013977762741984
F23,Times4,0.0
F23,Times5,0.28589399592247566
F23,Times6,0.37098471972673464
F23,Times7,0.27298646619539557
F23,Times8,0.5054401396699912
F23,Times9,0.6093232132421814
F23,Times10,0.29957884329244777
