,,Combination1
F1,Times1,1000199.0
F1,Times2,1000199.0
F1,Times3,1000199.0
F1,Times4,1000199.0
F1,Times5,1000199.0
F1,Times6,1000199.0
F1,Times7,1000199.0
F1,Times8,1000199.0
F1,Times9,1000199.0
F1,Times10,1000199.0
F2,Times1,1000199.0
F2,Times2,1000199.0
F2,Times3,1000199.0
F2,Times4,1000199.0
F2,Times5,1000199.0
F2,Times6,1000199.0
F2,Times7,1000199.0
F2,Times8,1000199.0
F2,Times9,1000199.0
F2,Times10,1000199.0
F3,Times1,1000199.0
F3,Times2,1000199.0
F3,Times3,1000199.0
F3,Times4,1000199.0
F3,Times5,1000199.0
F3,Times6,1000199.0
F3,Times7,1000199.0
F3,Times8,1000199.0
F3,Times9,1000199.0
F3,Times10,1000199.0
F4,Times1,1000199.0
F4,Times2,1000199.0
F4,Times3,1000199.0
F4,Times4,1000199.0
F4,Times5,1000199.0
F4,Times6,1000199.0
F4,Times7,1000199.0
F4,Times8,1000199.0
F4,Times9,1000199.0
F4,Times10,1000199.0
F5,Times1,1000199.0
F5,Times2,1000199.0
F5,Times3,1000199.0
F5,Times4,1000199.0
F5,Times5,1000199.0
F5,Times6,1000199.0
F5,Times7,1000199.0
F5,Times8,1000199.0
F5,Times9,1000199.0
F5,Times10,1000199.0
F6,Times1,1000199.0
F6,Times2,1000199.0
F6,Times3,1000199.0
F6,Times4,1000199.0
F6,Times5,1000199.0
F6,Times6,1000199.0
F6,Times7,1000199.0
F6,Times8,1000199.0
F6,Times9,1000199.0
F6,Times10,1000199.0
F7,Times1,12624.0
F7,Times2,12894.0
F7,Times3,13626.0
F7,Times4,12662.0
F7,Times5,13595.0
F7,Times6,11514.0
F7,Times7,13813.0
F7,Times8,13231.0
F7,Times9,12242.0
F7,Times10,13050.0
F8,Times1,1000199.0
F8,Times2,1000199.0
F8,Times3,1000199.0
F8,Times4,1000199.0
F8,Times5,1000199.0
F8,Times6,1000199.0
F8,Times7,1000199.0
F8,Times8,1000199.0
F8,Times9,1000199.0
F8,Times10,1000199.0
F9,Times1,1000199.0
F9,Times2,1000199.0
F9,Times3,1000199.0
F9,Times4,1000199.0
F9,Times5,1000199.0
F9,Times6,1000199.0
F9,Times7,1000199.0
F9,Times8,1000199.0
F9,Times9,1000199.0
F9,Times10,1000199.0
F10,Times1,1000199.0
F10,Times2,1000199.0
F10,Times3,1000199.0
F10,Times4,1000199.0
F10,Times5,1000199.0
F10,Times6,1000199.0
F10,Times7,1000199.0
F10,Times8,1000199.0
F10,Times9,1000199.0
