,,Combination1
F1,Times1,0.0012034738136570962
F1,Times2,0.0016728788204664977
F1,Times3,0.0029129401816593244
F1,Times4,0.0032753155846113858
F1,Times5,0.0039030943856760707
F1,Times6,0.0022299466295004388
F1,Times7,0.0009381364149145303
F1,Times8,0.004033197424236056
F1,Times9,0.001849544444368289
F1,Times10,0.0036963977458822545
F2,Times1,0.1627148995668254
F2,Times2,0.19623573275016556
F2,Times3,0.17941457375784717
F2,Times4,0.24953118742039293
F2,Times5,0.15228354071508707
F2,Times6,0.24149476737870879
F2,Times7,0.25757102555279504
F2,Times8,0.25496807074460565
F2,Times9,0.23155383180138264
F2,Times10,0.15055120757030757
F3,Times1,0.0763558087105528
F3,Times2,0.07197189805264648
F3,Times3,0.07631039286677166
F3,Times4,0.1101384191989119
F3,Times5,0.1298868023122829
F3,Times6,0.13090161207993722
F3,Times7,0.16213798569289595
F3,Times8,0.10960170532281495
F3,Times9,0.0978674819248096
F3,Times10,0.09142381189450041
F4,Times1,0.2412343499670182
F4,Times2,0.1856699181675081
F4,Times3,0.1852989345005457
F4,Times4,0.21832458260170168
F4,Times5,0.1931272970546805
F4,Times6,0.2057053945697893
F4,Times7,0.18775126313964474
F4,Times8,0.24227249876026188
F4,Times9,0.19224400857177404
F4,Times10,0.21556601072627046
F5,Times1,78.43843991190441
F5,Times2,2.535542514424486
F5,Times3,84.25890492940366
F5,Times4,149.0209350169565
F5,Times5,96.26721023362133
F5,Times6,85.72532120733547
F5,Times7,7.2337428077773165
F5,Times8,153.27827711219211
F5,Times9,82.83269026713396
F5,Times10,71.97347411764132
F6,Times1,0.0012982142522259016
F6,Times2,0.0008862355491043493
F6,Times3,0.0017230194564983212
F6,Times4,0.0022664529829210284
F6,Times5,0.0023014610440208116
F6,Times6,0.0022941472684065993
F6,Times7,0.0021063314186405197
F6,Times8,0.0015483157917366808
F6,Times9,0.002070671207213733
F6,Times10,0.0034762136620086637
F7,Times1,9.419843104823927e-05
F7,Times2,9.961914625389193e-05
F7,Times3,1.7114084935389264e-05
F7,Times4,9.567001334651355e-05
F7,Times5,7.489093551212771e-05
F7,Times6,8.572795996129489e-05
F7,Times7,9.305126620427144e-05
F7,Times8,9.960494135784982e-05
F7,Times9,9.863777248012809e-05
F7,Times10,9.936284080644234e-05
F8,Times1,-18461.928242155613
F8,Times2,-19172.563185915205
F8,Times3,-18461.930227047993
F8,Times4,-19054.127061917927
F8,Times5,-18698.80741107793
F8,Times6,-18935.683198606275
F8,Times7,-18461.93301627988
F8,Times8,-18343.494429424583
F8,Times9,-19291.002115041923
F8,Times10,-18106.618423895863
F9,Times1,0.001185823207915604
F9,Times2,0.0010109595791636394
F9,Times3,0.0011839241928175426
F9,Times4,0.001419933037871246
F9,Times5,0.0014019371652160828
F9,Times6,0.0007793830764182275
F9,Times7,0.0008301507695431809
F9,Times8,0.001569012375769674
F9,Times9,0.00127113557619829
F9,Times10,0.0008407337652727165
F10,Times1,0.007604606611895548
F10,Times2,0.00919079295366032
F10,Times3,0.010994023881806925
F10,Times4,0.006075632160055022
F10,Times5,0.010157481445308036
F10,Times6,0.009778883545486394
F10,Times7,0.008050879343873163
F10,Times8,0.008712840812350464
F10,Times9,0.007590359731160845
F10,Times10,0.011650198988355953
F11,Times1,0.021739453650110097
F11,Times2,0.016017300838070403
F11,Times3,0.03614917338779433
F11,Times4,0.002128369911243211
F11,Times5,0.004208837293453005
F11,Times6,0.0015033953201278871
F11,Times7,0.025337661588988536
F11,Times8,0.003929165869593798
F11,Times9,0.004205842229350165
F11,Times10,0.004868008682671454
F12,Times1,9.250552628690907e-05
F12,Times2,9.85194688989301e-05
F12,Times3,9.950943983642142e-05
F12,Times4,7.356403993473586e-05
F12,Times5,9.587267309449578e-05
F12,Times6,9.984101228378062e-05
F12,Times7,8.845608961720884e-05
F12,Times8,3.0050467327239222e-05
F12,Times9,9.656149281862514e-05
F12,Times10,9.982194076544011e-05
F13,Times1,0.00010828113654826539
F13,Times2,0.0001638710956441505
F13,Times3,0.0001421927780618383
F13,Times4,0.00011795870627023933
F13,Times5,0.0003394047163380771
F13,Times6,0.00040346898313058614
F13,Times7,0.00029067423358033106
F13,Times8,0.00029416116772045854
F13,Times9,0.0002128411404193824
F13,Times10,0.00010989745942637693
F14,Times1,0.9980038385239158
F14,Times2,0.9980038382774598
F14,Times3,0.9980038382639664
F14,Times4,0.9980038378570526
F14,Times5,0.9980038382551076
F14,Times6,0.9980038386952791
F14,Times7,0.9980038385159099
F14,Times8,0.9980038388308768
F14,Times9,0.9980038400440353
F14,Times10,0.9980038379835898
F15,Times1,0.020363362206761725
F15,Times2,0.0012235398061198489
F15,Times3,0.00037605222731337514
F15,Times4,0.001309708999257793
F15,Times5,0.02036334852575498
F15,Times6,0.0003997638723992461
F15,Times7,0.02036335404098262
F15,Times8,0.00039934961375753385
F15,Times9,0.00043637341658059705
F15,Times10,0.0003993065363135056
F16,Times1,-1.0315990428923312
F16,Times2,-1.031601318405204
F16,Times3,-1.0315449474459109
F16,Times4,-1.0316202217814492
F16,Times5,-1.031628050619283
F16,Times6,-1.0315245173402312
F16,Times7,-1.031604557319166
F16,Times8,-1.0315621249169302
F16,Times9,-1.0315561785214955
F16,Times10,-1.0316266076315197
F17,Times1,0.3980464190622648
F17,Times2,0.3979870564329726
F17,Times3,0.39800563208150663
F17,Times4,0.39795866223093945
F17,Times5,0.39808357200022826
F17,Times6,0.39801923284936613
F17,Times7,0.3979862172449735
F17,Times8,0.39790753409306134
F17,Times9,0.39799535531854247
F17,Times10,0.3979497874684732
F18,Times1,3.0000284837461297
F18,Times2,3.0002416184007434
F18,Times3,3.0000111762528823
F18,Times4,3.0002125452274355
F18,Times5,3.000012204075523
F18,Times6,3.0001784230051003
F18,Times7,3.0000335900184267
F18,Times8,3.0000344387533646
F18,Times9,3.000033748911224
F18,Times10,3.0000727717063023
F19,Times1,-3.8627821476022843
F19,Times2,-3.862782147805812
F19,Times3,-3.8627821464576666
F19,Times4,-3.8627821475076836
F19,Times5,-3.8627821477825526
F19,Times6,-3.85999299579814
F19,Times7,-3.8627821478066418
F19,Times8,-3.8627821477206625
F19,Times9,-3.8627821477290056
F19,Times10,-3.8627821476580317
F20,Times1,-3.3219951701628596
F20,Times2,-3.3219951696607235
F20,Times3,-3.2031020486686046
F20,Times4,-3.203102049638189
F20,Times5,-3.203102047525223
F20,Times6,-3.3219951693597762
F20,Times7,-3.2031020464000393
F20,Times8,-3.321995169219728
F20,Times9,-3.3219951671473025
F20,Times10,-3.203102048558418
F21,Times1,-2.6304716553312297
F21,Times2,-10.153122031777356
F21,Times3,-10.153163353703546
F21,Times4,-5.100772137525181
F21,Times5,-5.0551975208575515
F21,Times6,-5.055197697038223
F21,Times7,-10.153179089262057
F21,Times8,-5.1007719243502745
F21,Times9,-10.153164768740824
F21,Times10,-10.15312786380155
F22,Times1,-10.40278040576522
F22,Times2,-2.765897325643072
F22,Times3,-10.40273688124779
F22,Times4,-5.12882270188699
F22,Times5,-10.402831329368386
F22,Times6,-10.402881386890549
F22,Times7,-10.402737083831418
F22,Times8,-10.402713543851597
F22,Times9,-10.402719698540093
F22,Times10,-10.402706133463456
F23,Times1,-10.536260698819536
F23,Times2,-10.536214488202765
F23,Times3,-10.53626760690876
F23,Times4,-2.427335193105111
F23,Times5,-10.536228415586878
F23,Times6,-2.421734005752613
F23,Times7,-2.8066307140350126
F23,Times8,-10.536298401252234
F23,Times9,-5.175646675340545
F23,Times10,-10.536244566290392
