,,Combination1
F1,Times1,0.0
F1,Times2,0.0
F1,Times3,31.52883876167444
F1,Times4,0.0
F1,Times5,14.615635449096786
F1,Times6,16.98673794899738
F1,Times7,18.03069129541346
F1,Times8,13.238170535191013
F1,Times9,0.0
F1,Times10,10.151661730051035
F2,Times1,26.507115965240455
F2,Times2,12.895111951078075
F2,Times3,0.0
F2,Times4,42.95024345974099
F2,Times5,4.954224014016724
F2,Times6,6.141570039895287
F2,Times7,0.0
F2,Times8,40.28580132713323
F2,Times9,0.0
F2,Times10,0.0
F3,Times1,9.9593044059878
F3,Times2,26.87111024756285
F3,Times3,18.751823462718164
F3,Times4,8.336555962203319
F3,Times5,0.0
F3,Times6,17.21193635485396
F3,Times7,6.237172928796175
F3,Times8,5.270364165637314
F3,Times9,21.031255338158697
F3,Times10,22.389881001026414
F4,Times1,0.24955934487675496
F4,Times2,16.71872380027925
F4,Times3,13.67156866322729
F4,Times4,0.0
F4,Times5,16.235507315206103
F4,Times6,0.0
F4,Times7,2.8916078478585234
F4,Times8,18.14302765926289
F4,Times9,20.295197406146563
F4,Times10,9.031397814504977
F5,Times1,1.3935108764384834
F5,Times2,0.0
F5,Times3,0.0
F5,Times4,0.0
F5,Times5,13.213636019642768
F5,Times6,5.074754135072377
F5,Times7,9.510267539918821
F5,Times8,1.6974502083487812
F5,Times9,3.3406141912840432
F5,Times10,5.975012965939336
F6,Times1,100.41998161100746
F6,Times2,278.9665784752101
F6,Times3,228.02450999043486
F6,Times4,189.3772380999153
F6,Times5,223.10914789599195
F6,Times6,170.146228276322
F6,Times7,88.1111319217185
F6,Times8,205.56903591565637
F6,Times9,958.2164470838208
F6,Times10,87.59746880788457
F7,Times1,10.599559174976136
F7,Times2,6.212730973603542
F7,Times3,11.899043031759279
F7,Times4,9.520583425308951
F7,Times5,7.649569119708983
F7,Times6,8.61792143958579
F7,Times7,15.737661514618676
F7,Times8,10.338095861995463
F7,Times9,16.936237550606165
F7,Times10,11.424865853317469
F8,Times1,0.0
F8,Times2,0.0
F8,Times3,26.458300574326245
F8,Times4,0.0
F8,Times5,127.2616979026633
F8,Times6,79.0284775840671
F8,Times7,49.623803476728256
F8,Times8,105.5451039619228
