,,Combination1
F4,Times1,33.09689771700276
F4,Times2,17.191894179847147
F4,Times3,13.964705813338462
F4,Times4,3.959795806243066
F4,Times5,64.65912384558833
F4,Times6,124.43871009112054
F4,Times7,13.42483384664543
F4,Times8,0.8187770788400088
F4,Times9,1.8596436118335025
F4,Times10,29.455754937723178
F4,Times11,14.771566013720264
F4,Times12,32.9874987675862
F4,Times13,33.362429467652156
F4,Times14,15.577229346917232
F4,Times15,46.57542683280206
F4,Times16,106.96348460107372
F4,Times17,50.30281976301531
F4,Times18,13.958342447810638
F4,Times19,38.33579174669866
F4,Times20,2.591878185365866
F10,Times1,17.66762302662199
F10,Times2,7.338290719460613
F10,Times3,0.0
F10,Times4,0.0
F10,Times5,5.799371191382452
F10,Times6,3.0494732828326536
F10,Times7,9.701405244398268
F10,Times8,0.0
F10,Times9,2.553760820084217
F10,Times10,0.0
F10,Times11,24.781824575153525
F10,Times12,16.06731199591756
F10,Times13,0.0
F10,Times14,0.0
F10,Times15,0.2587425797548987
F10,Times16,0.6498407986450423
F10,Times17,6.360970283446624
F10,Times18,0.0
F10,Times19,4.0301171573881
F10,Times20,0.586724269655807
