,,Combination1
F4,Times1,1.2225221417962735
F4,Times2,1.1237664131095635
F4,Times3,1.02504549495188
F4,Times4,1.2515599889116586
F4,Times5,1.4718890982896204
F4,Times6,0.8877389691145936
F4,Times7,1.0930978620331904
F4,Times8,1.258362231686435
F4,Times9,1.0774459794014377
F4,Times10,1.2494758812200342
F4,Times11,0.9846168125586825
F4,Times12,1.100353985941048
F4,Times13,1.577442868009646
F4,Times14,1.0375177727602942
F4,Times15,1.120461966926548
F4,Times16,1.345394841813766
F4,Times17,1.1749340097122194
F4,Times18,0.8633258851397678
F4,Times19,1.2609195614978859
F4,Times20,1.582243720397118
F10,Times1,0.0810926985764624
F10,Times2,0.06546850784910063
F10,Times3,0.084401236614152
F10,Times4,0.0578081870882734
F10,Times5,0.08353810618849522
F10,Times6,0.07179169742217084
F10,Times7,0.08236944120457323
F10,Times8,0.08538632182948902
F10,Times9,0.06731280011174334
F10,Times10,0.07991135670669891
F10,Times11,0.084221110293214
F10,Times12,0.06920492465134842
F10,Times13,0.08714006615911885
F10,Times14,0.09717142610530516
F10,Times15,0.06896595450635701
F10,Times16,0.06867295301545795
F10,Times17,0.061062449357859094
F10,Times18,0.09172586587185805
F10,Times19,0.05918196913536278
F10,Times20,0.08447420482614376
